,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,1,0.4946000366099213,0.7212982809997408,0.5074681969226471,0.0082702198997139,0.0089406734332442,0.0006704531260766,56,10
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,2,0.5053999633900788,0.7626016206744823,0.391169172277566,0.0376538336277008,0.0481350906193256,0.0104812588542699,560,10
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,3,0.5053999633900788,0.8064976683211013,0.3977598996869554,0.0208653807640075,0.0245503149926662,0.0036849337629973,280,10
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,4,0.7056562328390994,0.613732110245336,0.4143069885321894,0.0250672567635774,0.040183275938034,0.0151160191744565,224,10
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,5,0.7706388431264872,0.6169215377698356,0.367496152930211,0.0390364713966846,0.0487534962594509,0.0097170257940888,224,10
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,6,0.8151198974922204,0.5305879508959208,0.284442259315817,0.0504360161721706,0.0605820827186107,0.0101460656151175,280,10
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,7,0.8255537250594911,0.4194327032310809,0.3121382506890119,0.0600202530622482,0.0716705322265625,0.0116502791643142,224,10
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,8,0.7741167856489108,0.5673941021504243,0.2752282777284909,0.084624633193016,0.1008808612823486,0.0162562243640422,336,10
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,9,0.7774116785648911,0.5219827823799055,0.2469380420213981,0.0701905414462089,0.0819630101323127,0.011772465892136,280,10
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,10,0.7924217462932455,0.5174162320446327,0.2289330404858004,0.0795135647058487,0.0917055010795593,0.0121919326484203,280,10
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,11,0.8548416620904266,0.4061105918435115,0.2416352428344751,0.0941642373800277,0.1078855916857719,0.0137213552370667,280,10
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,12,0.8085301116602599,0.6314445326313046,0.2238544696105444,0.1018070578575134,0.1151951476931572,0.0133880898356437,280,10
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,13,0.7924217462932455,0.7779592876625964,0.1673266663573009,0.1184242665767669,0.1339194923639297,0.015495222993195,336,10
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,14,0.8559399597290865,0.4427233858035378,0.2203834326832605,0.1206704378128051,0.1382728666067123,0.0176024325191974,280,10
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,15,0.8321435108914516,0.523419350253399,0.2233008859066883,0.1457857340574264,0.1651540845632553,0.0193683467805385,336,10
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.001,16,0.8394654951491854,0.5033570265726052,0.1826846077646699,0.1231824830174446,0.139488473534584,0.0163059905171394,336,10
