,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,1,0.4946000366099213,0.7212982809997408,0.5074681969226471,0.0082702198997139,0.0089406734332442,0.0006704531260766,56,10
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,2,0.5053999633900788,0.7855671077835786,0.391169172277566,0.0376538336277008,0.0481350906193256,0.0104812588542699,560,10
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,3,0.5053999633900788,0.6998048886373137,0.4195989147152951,0.0190479531884193,0.0210112817585468,0.0019633292686194,112,10
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,4,0.8008420281896393,0.5427069244674498,0.4090605089751381,0.054254662245512,0.0802316665649414,0.0259770043194293,504,10
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,5,0.8134724510342303,0.4547214782735439,0.3553350710210257,0.0389540120959281,0.0526477210223674,0.0136937107890844,224,10
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,6,0.828665568369028,0.4283897545554104,0.2834342834714333,0.056485503911972,0.066385768353939,0.0099002653732895,224,10
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,7,0.8189639392275306,0.4547082939339286,0.2865055636346889,0.0844672471284866,0.1034890189766883,0.0190217681229114,336,10
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,8,0.7677100494233937,0.6879593882966094,0.2704752199847385,0.0762504264712333,0.089895449578762,0.0136450212448835,280,10
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,9,0.8488010250777961,0.3951587972870726,0.2435291948116252,0.0787466019392013,0.0919253975152969,0.013178794644773,280,10
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,10,0.8068826652022698,0.5473366625577015,0.235010022734558,0.0908871069550514,0.1047479659318924,0.0138608589768409,280,10
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,11,0.8592348526450668,0.4024142957173866,0.2478717607401112,0.0920851528644561,0.1058556362986564,0.0137704852968454,280,10
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,12,0.8671059857221307,0.3842135218720703,0.2121127784113576,0.1140833050012588,0.1303162574768066,0.0162329524755477,336,10
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,13,0.847702727439136,0.4538561069607014,0.1861983107555923,0.0976945906877517,0.1103602796792984,0.0126656889915466,280,10
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,14,0.8711330770638843,0.3722502859629756,0.2314842453627248,0.1060332059860229,0.1202924624085426,0.0142592592164874,280,10
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,15,0.8724144243089877,0.3615961030083347,0.2565591618788727,0.1060162335634231,0.1196492910385131,0.0136330612003803,224,10
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,16,0.8746110195863079,0.3879297283889881,0.1930604153277402,0.1331035792827606,0.150376871228218,0.0172732900828123,336,10
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,17,0.8698517298187809,0.4134611427094678,0.1607581207512079,0.1165211051702499,0.1308296918869018,0.0143085876479744,336,10
17,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,18,0.8720483250961011,0.3767861555961791,0.1732849112180078,0.104957066476345,0.1177545115351677,0.0127974478527903,280,10
18,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,19,0.8616144975288303,0.3830096067916629,0.2639689385716338,0.1146675944328308,0.1300462931394577,0.0153786949813365,224,10
