,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,10,250,False,0.0,,AdamW,1e-05,SGD,1e-05,1,0.5270758122743683,0.6924546684537615,0.7011993205838086,0.0001012619468383,0.0001523498503956,5.1087899919366464e-05,410,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,10,250,False,0.0,,AdamW,1e-05,SGD,1e-05,2,0.5270758122743683,0.6921274491718837,0.6740132332965733,3.3355913728883024e-06,1.0596764695947058e-05,7.261173323058756e-06,320,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,10,250,False,0.0,,AdamW,1e-05,SGD,1e-05,3,0.5270758122743683,0.6918061903544834,0.6846245585999837,9.600878547644244e-05,0.0001011863132589,5.177525054023136e-06,410,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,10,250,False,0.0,,AdamW,1e-05,SGD,1e-05,4,0.5270758122743683,0.691581426348005,0.682795645798125,5.94364719290752e-05,5.970672282273881e-05,2.702526842313091e-07,410,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,10,250,False,0.0,,AdamW,1e-05,SGD,1e-05,5,0.5270758122743683,0.691323937688555,0.6888627042421481,0.0001121587119996,0.0001415213482687,2.936263808805961e-05,410,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,10,250,False,0.0,,AdamW,1e-05,SGD,1e-05,6,0.5270758122743683,0.6912063155855451,0.6807176922634245,3.6492037907009936e-06,1.3154919543012513e-05,9.505715752311517e-06,320,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,10,250,False,0.0,,AdamW,1e-05,SGD,1e-05,7,0.5270758122743683,0.691096316065107,0.683213893698483,9.270299051422626e-05,9.568884706823157e-05,2.98585632663162e-06,410,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,10,250,False,0.0,,AdamW,1e-05,SGD,1e-05,8,0.5270758122743683,0.6910048655101231,0.6816262231222013,6.289713928708807e-05,6.406447937479243e-05,1.1673394055833342e-06,410,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,10,250,False,0.0,,AdamW,1e-05,SGD,1e-05,9,0.5270758122743683,0.6909076758793422,0.6787156311186349,0.000108821906906,0.000109179658466,3.577546010546939e-07,410,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,10,250,False,0.0,,AdamW,1e-05,SGD,1e-05,10,0.5270758122743683,0.6908052137919835,0.6852622512200983,5.827016502735205e-05,5.862029138370417e-05,3.50127834281011e-07,410,-1
