,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,1,0.4729241877256318,0.702383690220969,0.7196497326943933,1.2555697139760014e-06,1.92749894267763e-06,6.719292855450476e-07,41,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,2,0.5270758122743683,0.6922693473952157,0.7605162363499403,9.041946213983465e-08,9.61074988481414e-07,8.706555263415794e-07,32,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,3,0.5270758122743683,0.6914935537746975,0.6931208264536973,1.0039206017609104e-06,1.0067199127661295e-06,2.799306120238043e-09,41,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,4,0.5270758122743683,0.6915445242609296,0.6910918107846888,5.592833076661918e-07,5.886910230401554e-07,2.9407701163108868e-08,41,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,5,0.4729241877256318,0.6937143002237592,0.7071497350204281,1.1655373555186088e-06,1.492710453021573e-06,3.271731259246735e-07,41,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,6,0.5270758122743683,0.6912257807595389,0.6982233788818121,5.2898570856996236e-08,2.917601875651599e-07,2.3886161670816364e-07,32,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,7,0.5270758122743683,0.691281521320343,0.6952736886536204,8.330658829436288e-07,8.672256512909371e-07,3.41597470310262e-08,41,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,8,0.5270758122743683,0.6911698290279933,0.6917474618772183,5.44601107321796e-07,5.504188607119431e-07,5.817772930072351e-09,41,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,9,0.5270758122743683,0.6912147062165397,0.6898881138824835,1.1577424174902262e-06,1.1646118309727171e-06,6.869460555947171e-09,41,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,10,0.5270758122743683,0.6911870649882725,0.6920494393604558,4.376295521524298e-07,4.393680228531594e-07,1.738474586510108e-09,41,-1
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,11,0.5270758122743683,0.6914977397237505,0.6925465624506881,9.434767775928776e-07,9.551139328323188e-07,1.1637140140408064e-08,41,-1
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,12,0.5270758122743683,0.6910477791513715,0.6909009075746304,5.379026219998195e-07,5.764640036431956e-07,3.856140295965815e-08,41,-1
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,13,0.5270758122743683,0.6916922109467643,0.6811697229743003,2.6611502335072146e-08,1.29141952243117e-07,1.0253044990804484e-07,32,-1
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,14,0.5270758122743683,0.6912298100335258,0.7068461554806407,1.1141680715809343e-06,1.4198573126122938e-06,3.0568921260965e-07,41,-1
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,15,0.5270758122743683,0.6911831430026463,0.6849502600729466,1.5101832673281024e-08,1.529964919200211e-07,1.3789465924674005e-07,32,-1
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,16,0.5270758122743683,0.6914981569562639,0.704587277842731,9.882268159344676e-07,1.3144639297024696e-06,3.262370853462926e-07,41,-1
16,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,17,0.5270758122743683,0.6914517555918013,0.6899293123221979,8.946412322075048e-07,8.960834634308412e-07,1.4422508742839566e-09,41,-1
17,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,18,0.5270758122743683,0.6911116429737636,0.6928009792072019,5.885865448362892e-07,5.961550755273493e-07,7.568554671877337e-09,41,-1
18,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,19,0.5270758122743683,0.6909077439989363,0.6856306541711092,2.2237045982365092e-08,1.0675531569859233e-07,8.451826971622722e-08,32,-1
19,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,20,0.5270758122743683,0.6916367411613464,0.7006800360795928,1.0591766113066114e-06,1.32153445520089e-06,2.623578723159881e-07,41,-1
20,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,21,0.5270758122743683,0.6908087338720049,0.6936373859643936,4.858338797930629e-08,1.6556636239783987e-07,1.1698297441853357e-07,32,-1
21,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,22,0.5270758122743683,0.6911649022783551,0.6941755600091887,1.2571582601594855e-06,1.343153371635708e-06,8.59950972653678e-08,41,-1
22,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.0001,SGD,1e-05,23,0.5667870036101083,0.6923713173185077,0.6948980982710676,1.0381927495473064e-06,1.154637971012562e-06,1.1644525699239241e-07,41,-1
