,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.01,SGD,0.01,1,0.4729241877256318,3.4804083023752486,0.6357266996691866,0.0234910249710083,0.03149060904979706,0.007999585010111332,41
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.01,SGD,0.01,2,0.5270758122743683,1.2647667697497778,0.852640718780458,0.023537933826446533,0.23833325505256653,0.21479532122612,32
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.01,SGD,0.01,3,0.4729241877256318,3.941208018575396,1.150593163977695,0.14845246076583862,0.2521490454673767,0.10369657725095749,41
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.01,SGD,0.01,4,0.5270758122743683,1.0789788143975394,1.4931896201979793,0.024926595389842987,0.0998736098408699,0.07494701445102692,41
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.01,SGD,0.01,5,0.4729241877256318,0.6971325550760542,1.0014927294474414,0.026336809620261192,0.03543642908334732,0.009099619463086128,41
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.01,SGD,0.01,6,0.5270758122743683,1.3448545157909393,1.341205319587607,0.023930013179779053,0.03220360353589058,0.008273591287434101,32
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.01,SGD,0.01,7,0.4729241877256318,0.7098141380718777,1.2748306935017064,0.030980825424194336,0.04177607223391533,0.010795245878398418,41
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.01,SGD,0.01,8,0.5270758122743683,1.0416865527629853,1.3088529894105727,0.026581384241580963,0.03843764215707779,0.0118562588468194,41
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.01,SGD,0.01,9,0.4729241877256318,0.8279939940997533,1.150814634659214,0.031275875866413116,0.04865685850381851,0.017380984500050545,41
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.01,SGD,0.01,10,0.4729241877256318,1.0734027402741568,1.1425477237417931,0.02451072260737419,0.03228555619716644,0.007774834055453539,41
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.01,SGD,0.01,11,0.5270758122743683,0.6920403565679277,1.1087801805084072,0.0259832926094532,0.03487138822674751,0.008888095617294312,41
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.01,SGD,0.01,12,0.5270758122743683,0.9359387695789337,1.0775882869686295,0.0197494775056839,0.03059915080666542,0.010849673300981522,41
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.01,SGD,0.01,13,0.4729241877256318,0.9509251185825893,1.1289428846910596,0.0152919702231884,0.031070802360773087,0.015778832137584686,32
