,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,1,0.5270758122743683,8.054265887396676,0.7093629162079973,2.4183120727539062,3.716228485107422,1.2979164123535156,41,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,2,0.5270758122743683,2.1226712346076964,16.561787347495557,12.939009666442873,19.97518348693848,7.0361738204956055,32,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,3,0.4729241877256318,16.25087570462908,18.5372898981844,5.117824077606201,6.843482971191406,1.725658893585205,41,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,4,0.5270758122743683,1.2550612773214067,18.40318717274633,5.416210174560547,8.961342811584473,3.545132637023926,41,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,5,0.5270758122743683,2.915666164670672,15.533256084691985,9.061189651489258,10.762336730957031,1.7011473178863523,41,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,6,0.5270758122743683,12.28413590022496,18.828253495019812,4.550224781036377,6.278876781463623,1.7286521196365356,32,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,7,0.5270758122743683,10.01779658453805,18.20391440243899,4.355404376983643,5.21583890914917,0.8604345917701721,41,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,8,0.5270758122743683,9.975129345485142,20.85191642038706,5.365126609802246,6.394773483276367,1.0296467542648315,41,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,9,0.4729241877256318,5.438108931268965,16.445721322444456,5.090536594390869,6.481452465057373,1.390915870666504,41,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,10,0.4729241877256318,9.329982880183628,20.79993181939282,5.330422878265381,6.285192012786865,0.95476895570755,41,-1
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,11,0.5270758122743683,10.492570202691214,17.243656546887724,4.829046249389648,6.750572204589844,1.9215258359909055,41,-1
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,12,0.5270758122743683,7.539321933473859,19.73232002239064,6.036712169647217,7.012791633605957,0.9760794043540956,41,-1
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,13,0.4729241877256318,18.55446752820696,20.004047803394496,3.2432100772857666,6.207540035247803,2.964329957962036,32,-1
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,14,0.4729241877256318,19.099134227207728,17.317231986432727,6.1515655517578125,6.937099456787109,0.7855336666107178,41,-1
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,15,0.5270758122743683,1.1787233454840524,19.172922335005808,3.268649101257324,5.457604885101318,2.188955783843994,32,-1
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,16,0.4729241877256318,1.3547868541308812,16.73053490851172,4.998242378234863,5.73267936706543,0.734437108039856,41,-1
16,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,17,0.4729241877256318,9.555907440185546,18.696096672178992,4.647035598754883,5.758656978607178,1.111621618270874,41,-1
17,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,18,0.5270758122743683,2.1064347658838543,20.56407434446056,5.059284210205078,6.831006050109863,1.771721601486206,41,-1
18,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,19,0.5270758122743683,3.5789737292698454,20.816200105659664,5.178459644317627,6.283546447753906,1.1050866842269895,32,-1
19,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,20,0.4729241877256318,8.126247688702174,17.66250433946374,5.440143585205078,7.32503604888916,1.884892225265503,41,-1
20,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,21,0.5270758122743683,1.745347628423146,20.06014325339347,6.64019775390625,8.725357055664062,2.085159540176392,32,-1
21,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,22,0.4729241877256318,3.778737550122397,15.98042158528072,4.840944290161133,5.891482830047607,1.050538420677185,41,-1
22,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,23,0.4729241877256318,16.680033554349627,18.46219965136388,5.868766784667969,8.592363357543945,2.723596334457397,41,-1
23,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,24,0.4729241877256318,5.329375277246748,19.968886609934227,3.067080020904541,4.619983196258545,1.552903175354004,32,-1
24,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,25,0.4729241877256318,10.129906974520004,18.363011432022763,5.483675479888916,6.804276943206787,1.3206015825271606,41,-1
25,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,26,0.4729241877256318,6.781387748037066,18.9230145694688,3.0462119579315186,3.777268171310425,0.7310561537742615,32,-1
26,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,27,0.5270758122743683,2.4508808050836834,18.673654030570752,7.032085418701172,8.359911918640137,1.327826738357544,41,-1
27,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,28,0.5270758122743683,10.697819709777832,20.3654351795592,4.9190545082092285,6.530966281890869,1.611911654472351,41,-1
28,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,29,0.5270758122743683,7.08716699055263,20.18956595004575,3.861610412597656,4.898853302001953,1.037242770195007,31,-1
29,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,30,0.5270758122743683,0.9894299651895252,17.930599999727136,5.123410224914551,6.23712158203125,1.1137113571166992,41,-1
30,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,31,0.5270758122743683,1.6088593057223728,18.791834550227072,6.956048011779785,8.473382949829102,1.517335057258606,41,-1
31,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,32,0.5270758122743683,9.896864931924002,19.759948099083864,4.734539985656738,6.6652374267578125,1.9306974411010744,41,-1
32,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,33,0.5270758122743683,20.427264513288225,20.269705126991663,4.946768760681152,6.932239055633545,1.9854702949523928,32,-1
33,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,34,0.5270758122743683,5.934627049309867,16.363623275869678,3.232615232467652,5.906940460205078,2.6743252277374268,41,-1
34,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,35,0.5270758122743683,5.516469134603228,19.383659363265444,7.218416213989258,8.22400188446045,1.0055859088897705,41,-1
35,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,36,0.5270758122743683,8.13367645399911,18.46051773971173,9.354321479797363,11.68176555633545,2.327444076538086,41,-1
36,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,37,0.5270758122743683,0.9832683861255646,17.873272680286448,7.82058572769165,9.700987815856934,1.8804020881652832,41,-1
37,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,38,0.5270758122743683,10.571599006652832,17.576361613157317,102.6762924194336,130.4128875732422,27.736595153808597,41,-1
38,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,39,0.4729241877256318,1.0131266151155744,20.112310782976834,5.749497413635254,8.061610221862793,2.312112808227539,41,-1
39,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,40,0.5270758122743683,4.524570723942348,19.87913357455433,4.533746719360352,5.694754600524902,1.1610077619552612,41,-1
40,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,41,0.5270758122743683,4.142197683879307,18.323330168317003,3.573869466781616,4.420027732849121,0.8461583256721497,41,-1
41,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,42,0.4729241877256318,5.026378038951329,19.087965070829505,4.48425817489624,6.257099628448486,1.7728415727615356,41,-1
42,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,43,0.4729241877256318,12.372703967775616,19.04631235462707,3.790580272674561,4.954473495483398,1.1638931035995483,32,-1
43,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,44,0.4729241877256318,25.422717557634627,17.576531198168762,4.544106483459473,6.914065837860107,2.3699593544006348,41,-1
44,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,45,0.4729241877256318,11.569668238503592,18.763941510092067,4.253705024719238,7.04299783706665,2.789292812347412,41,-1
45,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,46,0.4729241877256318,3.712438688959394,19.5260486598331,7.8178253173828125,9.315731048583984,1.497905731201172,41,-1
46,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,0.1,SGD,0.1,47,0.4729241877256318,1.3036182948521204,20.591399882543737,5.413974761962891,6.160501003265381,0.7465263605117798,32,-1
