,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,0.0001,1,0.5270758122743683,0.6922631825719561,0.7019903238226728,0.0001037642286974,0.0001594847708474,5.572054215008393e-05,41,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,0.0001,2,0.5270758122743683,0.6926624349185398,0.6781080976128578,4.915939825878013e-06,1.3196410691307392e-05,8.280470865429379e-06,32,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,0.0001,3,0.5270758122743683,0.692306729725429,0.6857784152030945,9.575048898113891e-05,0.0001035369496094,7.78646153776208e-06,41,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,0.0001,4,0.5270758122743683,0.6922893234661647,0.6819143136826956,5.76313650526572e-05,5.8385103329783306e-05,7.537372539445641e-07,41,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,0.0001,5,0.5270758122743683,0.6917003529412405,0.6923132108479011,0.0001187768793897,0.0001559378870297,3.716101127793081e-05,41,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,0.0001,6,0.5270758122743683,0.6919471093586513,0.6772831931710244,6.1718774304608814e-06,1.552481080580037e-05,9.35293337533949e-06,32,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,0.0001,7,0.5270758122743683,0.6917469825063433,0.6853026163287279,9.66278530540876e-05,0.0001046016259351,7.973771971592214e-06,41,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,0.0001,8,0.5270758122743683,0.6917176587241036,0.6847498288968714,6.210588617250323e-05,6.291301542660221e-05,8.071281172306044e-07,41,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,0.0001,9,0.5270758122743683,0.6915837798799788,0.6765251107332183,0.0001243988226633,0.0001277284900425,3.329660557938041e-06,41,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,0.0001,10,0.5270758122743683,0.6914678403309413,0.6871119781238277,4.9519643653184175e-05,5.239681922830641e-05,2.877176484616939e-06,41,-1
