,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,1e-05,1,0.5270758122743683,0.6923927971294948,0.7196497326943933,1.2555697139760014e-06,1.92749894267763e-06,6.719292855450476e-07,41
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,1e-05,2,0.5270758122743683,0.6927341546331133,0.6789261855185031,5.330025487637613e-08,1.4309812002011313e-07,8.9797865143737e-08,32
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,1e-05,3,0.5270758122743683,0.6923943655831474,0.6972344477002214,1.1560814527911134e-06,1.248186777047522e-06,9.210535267811792e-08,41
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,1e-05,4,0.5270758122743683,0.6923702257020133,0.6879946731939548,6.482207481894875e-07,6.522301987388346e-07,4.009447440722624e-09,41
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,1e-05,5,0.5270758122743683,0.691858298437936,0.7100023121368594,1.4150500646792352e-06,1.8524232245908934e-06,4.37373216755077e-07,41
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,1e-05,6,0.5270758122743683,0.6920565400804792,0.6788640573620797,6.782428840779176e-08,1.6473947539452638e-07,9.691518698673462e-08,32
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,1e-05,7,0.5270758122743683,0.6918795483452933,0.6967718958854675,1.0823000593518373e-06,1.1704436246873229e-06,8.814352980834883e-08,41
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,1e-05,8,0.5270758122743683,0.691858948980059,0.6916503423597755,7.107867077138508e-07,7.201347216323484e-07,9.348004148534983e-09,41
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,1e-05,9,0.5270758122743683,0.6917482716696602,0.6910207332634345,1.4428810573008377e-06,1.4803039221078507e-06,3.7422900334149745e-08,41
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adagrad,1e-05,SGD,1e-05,10,0.5270758122743683,0.6916790774890355,0.693079609696458,5.553241635425366e-07,5.85178725032165e-07,2.9854565042342074e-08,41
