,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.0001,SGD,1e-05,1,0.4729241877256318,0.6963298848697117,0.7196497326943933,1.2555697139760014e-06,1.92749894267763e-06,6.719292855450476e-07,41,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.0001,SGD,1e-05,2,0.4729241877256318,0.6944814784186227,0.7335911329835654,7.66922312323004e-08,6.60581008560257e-07,5.838887773279566e-07,32,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.0001,SGD,1e-05,3,0.4729241877256318,0.6942228504589626,0.6943956825791335,9.429577971786784e-07,9.735434787216946e-07,3.058570285929818e-08,41,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.0001,SGD,1e-05,4,0.5270758122743683,0.691954551424299,0.696004791957576,5.543669203689205e-07,6.528468929900555e-07,9.848000104284439e-08,41,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.0001,SGD,1e-05,5,0.5270758122743683,0.6917984434536525,0.6954398012742764,1.1584234016481787e-06,1.299308792113152e-06,1.4088539046497317e-07,41,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.0001,SGD,1e-05,6,0.5270758122743683,0.6912407449313572,0.6881664827466011,5.2665001248897176e-08,2.100168643437428e-07,1.573518630948456e-07,32,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.0001,SGD,1e-05,7,0.5270758122743683,0.691231450012752,0.6946090241757835,8.35106902741245e-07,8.587850288677146e-07,2.3678140337324294e-08,41,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.0001,SGD,1e-05,8,0.5270758122743683,0.691403899874006,0.6906940463112622,5.333146191333071e-07,5.349925800146593e-07,1.6779539979694391e-09,41,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.0001,SGD,1e-05,9,0.5270758122743683,0.6914407815252032,0.6909463094501962,1.1394688499422043e-06,1.161838554253336e-06,2.236965279678316e-08,41,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.0001,SGD,1e-05,10,0.5270758122743683,0.6913079857826233,0.6925622024187228,4.193663869500597e-07,4.37935767649833e-07,1.8569368265275443e-08,41,-1
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.0001,SGD,1e-05,11,0.5270758122743683,0.6910003900527955,0.6952784744704642,9.167642929241991e-07,9.592829428584082e-07,4.251862151249952e-08,41,-1
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.0001,SGD,1e-05,12,0.5270758122743683,0.6908682703971862,0.6879376949333563,5.110159122523328e-07,5.173451995688083e-07,6.329266444282666e-09,41,-1
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.0001,SGD,1e-05,13,0.5270758122743683,0.6908509816442218,0.6801955096423626,2.5554342641953557e-08,1.2619300093774657e-07,1.00638658295793e-07,32,-1
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.0001,SGD,1e-05,14,0.5270758122743683,0.6907004816191537,0.7006292712397691,1.0829128314071568e-06,1.2880899475931074e-06,2.051771019750959e-07,41,-1
