,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,1,0.4729241877256318,0.8717018604278565,0.6357266996691866,0.0234910249710083,0.03149060904979706,0.007999585010111332,41
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,2,0.5270758122743683,0.8214688786438533,0.7164983110502362,0.010150816291570663,0.03567298874258995,0.025522172451019287,32
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,3,0.4729241877256318,0.7023004293441772,0.660621139552535,0.01139841228723526,0.03633742034435272,0.024939008057117462,41
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,4,0.4729241877256318,0.7154122897556849,0.6686985738393737,0.007662140764296055,0.011287890374660492,0.0036257493775337934,41
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,5,0.4729241877256318,0.7825812493051801,0.6175290386124355,0.010209263302385807,0.011313818395137787,0.0011045550927519798,41
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,6,0.5270758122743683,0.6958233526774815,0.6844689406454563,0.005731094628572464,0.02043425850570202,0.014703163877129555,32
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,7,0.5270758122743683,0.701379542691367,0.6334230078066267,0.01642792299389839,0.018029605969786644,0.0016016822773963213,41
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,8,0.5270758122743683,0.6922787955829075,0.6644981818955119,0.00582481361925602,0.007157223764806986,0.0013324100291356444,41
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,9,0.4729241877256318,0.6978387730462211,0.6212363741746764,0.01455343421548605,0.015410465188324451,0.0008570311474613845,41
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,10,0.4729241877256318,0.6946236218724932,0.6671989478716036,0.007832187227904797,0.009073940105736256,0.0012417525285854936,41
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,11,0.5270758122743683,0.6913533806800842,0.6360886038076587,0.015635764226317406,0.01634589023888111,0.0007101265946403146,41
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,12,0.5270758122743683,0.6964057632855006,0.6592778080847206,0.01008297223597765,0.01115822046995163,0.0010752478847280145,41
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,13,0.5270758122743683,0.7051654253687177,0.6767909521237016,0.0028460142202675343,0.0033327084966003895,0.0004866942181251943,32
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,14,0.4729241877256318,0.6949548704283578,0.6163386316197674,0.01556808315217495,0.025530630722641945,0.009962547570466995,41
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,15,0.4729241877256318,0.7129152485302517,0.6739635856822133,0.0033253857400268316,0.0054060169495642185,0.002080631209537387,32
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,16,0.4729241877256318,0.7348543252263751,0.6126247195208945,0.012686578556895256,0.01323599275201559,0.0005494140204973519,41
16,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,17,0.4729241877256318,0.7104716590472631,0.6349752629675516,0.009912917390465736,0.014206364750862122,0.0042934478260576725,41
17,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,18,0.5270758122743683,0.6927254642759051,0.6607884994367274,0.005062722600996494,0.008696814998984337,0.003634092630818486,41
18,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,19,0.5270758122743683,0.7245223437036786,0.6829997075721621,0.00270743016153574,0.004001866560429335,0.0012944363988935947,32
19,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,20,0.5270758122743683,0.713266943182264,0.6240288575974906,0.014250898733735085,0.021159464493393898,0.0069085657596588135,41
20,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,21,0.5270758122743683,0.6946683185441154,0.6866880893707276,0.0030676505994051695,0.004207074176520109,0.0011394235771149397,32
21,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,22,0.4729241877256318,0.7730224651949746,0.5987468095450867,0.015130599960684776,0.018299220129847527,0.0031686201691627502,41
22,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,23,0.4729241877256318,0.7131861516407558,0.6152965375199551,0.01641765609383583,0.019039681181311607,0.0026220246218144894,41
23,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,24,0.5270758122743683,0.6921079550470625,0.6804902121424675,0.003278229385614395,0.012321949005126953,0.009043719619512558,32
24,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,25,0.5270758122743683,0.6916122998510088,0.6247739120954421,0.011425359174609184,0.012987670488655567,0.0015623117797076702,41
25,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,26,0.5270758122743683,0.6978924359594073,0.6723229732364416,0.0026854299940168858,0.005317582283169031,0.0026321522891521454,32
26,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,27,0.5270758122743683,0.7034829446247646,0.6322608805284268,0.015253470279276371,0.01646779105067253,0.0012143207713961601,41
27,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,28,0.5270758122743683,0.7032220533915928,0.6559601577316843,0.006558112800121307,0.007613619323819876,0.0010555064072832465,41
28,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,29,0.5270758122743683,0.7013945051601955,0.6730561594809255,0.002480274299159646,0.0031591206789016724,0.0006788463797420263,31
29,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,30,0.5270758122743683,0.6914538145065308,0.6277203896423665,0.010440905578434467,0.01560243871062994,0.005161533132195473,41
30,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,31,0.4729241877256318,0.7036194103104728,0.6321961989489997,0.012825759127736092,0.014667823910713196,0.0018420651322230697,41
31,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,32,0.4729241877256318,0.7116960763931275,0.6510426381739174,0.005778234917670488,0.010445705614984035,0.004667470697313547,41
32,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,33,0.4729241877256318,0.695651650428772,0.6875057889148593,0.002289935015141964,0.011312782764434814,0.00902284774929285,32
33,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,34,0.5270758122743683,0.6918995686939784,0.607162525813754,0.014125584624707699,0.015138416551053524,0.0010128316935151815,41
34,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,35,0.5270758122743683,0.6922817332404,0.6547840833663939,0.01038761343806982,0.011349929496645927,0.0009623159421607852,41
35,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,36,0.5270758122743683,0.6966383389064243,0.633431057086805,0.00964699313044548,0.010235889814794064,0.0005888962768949568,41
36,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,37,0.5270758122743683,0.6983847175325666,0.6280391563729543,0.015744255855679512,0.01724475994706154,0.0015005049062892795,41
37,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,38,0.5270758122743683,0.7009634613990784,0.6641195319047787,0.007471364922821522,0.008266257122159004,0.0007948921993374825,41
38,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,39,0.5270758122743683,0.6951462967055184,0.6378538048121987,0.013086125254631042,0.018544059246778488,0.005457934457808733,41
39,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,40,0.5270758122743683,0.6917353578976222,0.6595436353509019,0.007927934639155865,0.008725735358893871,0.0007978005451150239,41
40,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,41,0.5270758122743683,0.691498829637255,0.6578256258150426,0.006286292802542448,0.006825293879956007,0.0005390009609982371,41
41,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,42,0.4729241877256318,0.6932582718985422,0.6266873936100704,0.01628025434911251,0.01671958528459072,0.00043933090637438,41
42,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,43,0.5270758122743683,0.6915577241352626,0.6752769906073809,0.002907810267060995,0.007377285044640303,0.0044694747775793076,32
43,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,44,0.5270758122743683,0.6916894963809422,0.6027214193489494,0.02184131182730198,0.024163294583559036,0.002321982756257057,41
44,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,45,0.5270758122743683,0.6915020551000323,0.6360761661355088,0.009890155866742134,0.010472051799297333,0.0005818958161398768,41
45,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,46,0.5270758122743683,0.6914291313716343,0.655420091312106,0.005821200553327799,0.006913439370691776,0.0010922388173639774,41
46,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,47,0.5270758122743683,0.6960727538381304,0.6666033485904336,0.002343460451811552,0.005416878964751959,0.003073418512940407,32
47,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,48,0.5270758122743683,0.6969086255346025,0.6163478761911392,0.014532702974975109,0.019383694976568222,0.004850992001593113,41
48,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,49,0.5270758122743683,0.6940783262252808,0.6322692541450989,0.011279272846877575,0.01263496559113264,0.0013556929770857096,41
49,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,50,0.5270758122743683,0.6915682945932661,0.6559568080960251,0.008627409115433693,0.009562421590089798,0.000935012474656105,41
50,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,51,0.5270758122743683,0.692416547025953,0.6285171523326781,0.014719989150762558,0.01542915590107441,0.0007091664592735469,41
51,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,52,0.4729241877256318,0.6971505522727967,0.6601876002986257,0.0077830106019973755,0.008334879763424397,0.0005518693942576647,41
52,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,53,0.4729241877256318,0.6949419907161167,0.6703061509516932,0.004014330916106701,0.008348658680915833,0.004334327764809132,31
53,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,54,0.4729241877256318,0.6947197232927594,0.617626271596769,0.012340407818555832,0.013346566818654537,0.0010061593493446708,41
54,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,55,0.4729241877256318,0.6984995365142822,0.6155520015373461,0.009310225956141949,0.011385655030608177,0.002075428841635585,41
55,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,56,0.4729241877256318,0.6957279579980032,0.6741172781214118,0.0033258628100156784,0.00729778129607439,0.003971918486058712,32
56,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,57,0.5270758122743683,0.6929462722369603,0.6285144601289819,0.009005947038531303,0.009652736596763134,0.0006467900238931179,41
57,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,58,0.5270758122743683,0.6922064849308559,0.6591255442398352,0.009866935200989246,0.01065467856824398,0.0007877430180087686,41
58,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,59,0.5270758122743683,0.6917155010359628,0.6756573436781764,0.0032927440479397774,0.006614804267883301,0.0033220602199435234,32
59,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,60,0.5270758122743683,0.6925660508019583,0.6043039219408499,0.018737513571977615,0.020150354132056236,0.0014128406764939427,41
60,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,61,0.5270758122743683,0.6915733626910618,0.6167198248752734,0.011122770607471466,0.017687205225229263,0.006564434617757797,41
61,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,0.01,62,0.5270758122743683,0.692167135647365,0.6727759853486092,0.0023909376468509436,0.004281937610358,0.0018909999635070562,31
