,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,1,0.4729241877256318,1.2116054798875535,0.7196497326943933,1.2555697139760014e-06,1.92749894267763e-06,6.719292855450476e-07,41
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,2,0.5270758122743683,0.7516527261052813,1.4544330700300634,2.3904158297227696e-07,9.722530194267165e-06,9.483488611294888e-06,32
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,3,0.5270758122743683,0.6977360078266689,0.7722293395821641,1.2037439773848746e-06,2.5179303975164657e-06,1.3141864201315911e-06,41
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,4,0.4729241877256318,1.1297733868871416,0.698887801897235,1.8892036450779415e-06,2.5091744646488223e-06,6.199708195708808e-07,41
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,5,0.5270758122743683,0.6915131449699402,0.9633669584262663,3.84961140298401e-06,1.1378323506505694e-05,7.528712103521684e-06,41
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,6,0.5270758122743683,0.7073184541293553,0.681435402855277,4.42699530367463e-08,1.2850793495999824e-07,8.423798192325194e-08,32
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,7,0.5270758122743683,0.6914051703044346,0.7188934327625647,7.300436664081644e-07,1.03470370049763e-06,3.0466006251117506e-07,41
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,8,0.4729241877256318,0.7006936992917742,0.6901520548797235,5.00932458180614e-07,5.038594395045948e-07,2.9270048607088484e-09,41
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,9,0.5270758122743683,0.693057746546609,0.6987624973785586,1.0882448577831383e-06,1.2033965504087973e-06,1.1515165709852226e-07,41
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,10,0.5270758122743683,0.697161683014461,0.6962978848596899,4.488851175210584e-07,4.6260493036243133e-07,1.3719799518696618e-08,41
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,11,0.5270758122743683,0.691569367476872,0.7074567373205977,9.36131471007684e-07,1.137711365117866e-06,2.0157990832103678e-07,41
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,12,0.5270758122743683,0.6924687504768372,0.6893077745670225,5.277397576719522e-07,5.496843300534238e-07,2.194455994697364e-08,41
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,13,0.5270758122743683,0.7064235193388803,0.6934002306312322,2.8001934992971655e-08,1.9674530449265148e-07,1.6874336949967983e-07,32
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,14,0.4729241877256318,0.697694628579276,0.7520457590498577,1.066364688995236e-06,1.920028807944618e-06,8.536641189493821e-07,41
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,15,0.4729241877256318,0.6932680368423462,0.7101641148328781,1.4050698382561677e-08,3.25833639180928e-07,3.117829407983663e-07,32
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,16,0.4729241877256318,0.701790165901184,0.6930341502515281,9.484251677349675e-07,1.0354452797400882e-06,8.702013332140268e-08,41
16,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,17,0.5270758122743683,0.6914366909435817,0.7063613754947011,8.652779683870904e-07,1.0043814882010338e-06,1.3910353402479814e-07,41
17,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,18,0.5270758122743683,0.7213258538927351,0.700491893872982,5.776132638857234e-07,6.037064963493322e-07,2.6093204041899298e-08,41
18,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,19,0.5270758122743683,0.7481962323188782,0.6811981795355677,2.3944739524495162e-08,4.512491713626332e-08,2.118017761176816e-08,32
19,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,20,0.4729241877256318,0.7121162056922913,0.806704119356667,1.0958883649436757e-06,2.780543582048267e-06,1.6846552171045914e-06,41
20,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,21,0.4729241877256318,0.7119402238300868,0.7521831918507814,5.2208690703992033e-08,5.462110266307718e-07,4.940023359267798e-07,32
21,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,22,0.4729241877256318,0.6936222399984088,0.6951362016724377,1.2168209195806412e-06,1.2699819080808084e-06,5.316098139473979e-08,41
22,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,23,0.5270758122743683,0.6922121167182922,0.6949365101209501,1.0216597274848027e-06,1.0876476608245866e-06,6.598796176149335e-08,41
23,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.001,SGD,1e-05,24,0.5270758122743683,0.699794500214713,0.6922315288335085,3.4855759167840006e-08,1.6838158956034022e-07,1.335258303925002e-07,32
