,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,1,0.5270758122743683,11.440016433170864,0.6373186413834735,0.0025736354291439,0.0040158927440643,0.0014422574313357,41,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,2,0.4729241877256318,48.41475440434047,5.803002611119062,0.0024077594280242,0.2319118082523346,0.2295040488243103,32,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,3,0.4729241877256318,27.13324429648263,37.40810514077908,0.0931214094161987,0.7574703097343445,0.6643489003181458,41,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,4,0.5270758122743683,15.884810938153947,18.21204813050061,0.0589228868484497,0.8421436548233032,0.7832207679748535,41,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,5,0.5270758122743683,25.33118659428188,8.98211800405165,0.0253368616104125,0.5823347568511963,0.5569978952407837,41,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,6,0.5270758122743683,21.59859800338745,16.948463428020478,0.0038823336362838,0.2306787073612213,0.2267963737249374,32,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,7,0.5270758122743683,2.70552807705743,14.187444634989992,0.0615781545639038,0.636925458908081,0.5753473043441772,41,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,8,0.4729241877256318,18.904799815586635,1.144042660750267,0.0005678832530975,0.0202841218560934,0.0197162386029958,41,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,9,0.4729241877256318,20.57473670414516,9.338593258218069,0.0777897238731384,0.6734824776649475,0.5956927537918091,41,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,10,0.4729241877256318,6.2912661586489,11.361735803034248,0.0453981161117553,0.721799373626709,0.6764012575149536,41,-1
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,11,0.5270758122743683,10.599358476911272,1.8064807116143,0.0028857588768005,0.0916511341929435,0.088765375316143,41,-1
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,12,0.5270758122743683,15.9199232510158,4.404538062392122,0.0024048388004302,0.2981168329715729,0.2957119941711426,41,-1
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,13,0.5270758122743683,12.695186737605503,9.548156238254158,0.0025894790887832,0.2410124540328979,0.2384229749441146,32,-1
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,14,0.4729241877256318,0.6953526701245989,6.069737096417449,0.0083230733871459,0.4589481949806213,0.4506251215934753,41,-1
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,15,0.4729241877256318,12.826746341160366,0.9963777798227966,0.0004383294435683,0.00061737553915,0.0001790460955817,32,-1
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,16,0.4729241877256318,15.599241427012853,4.575215739713995,0.028307169675827,0.2857972085475921,0.2574900388717651,41,-1
16,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,17,0.4729241877256318,7.340151255471365,6.671219180269939,0.0450603067874908,0.4712724685668945,0.4262121617794037,41,-1
17,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,18,0.5270758122743683,5.205410855157035,2.220415283406221,0.0005916208028793,0.126399353146553,0.1258077323436737,41,-1
18,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,0.1,SGD,0.001,19,0.5270758122743683,11.917201042175291,1.7998937911565007,0.0005037188529968,0.0710678622126579,0.0705641433596611,32,-1
