,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,1,0.5270758122743683,0.6928550464766366,0.6357266996691866,0.0234910249710083,0.031490609049797,0.0079995850101113,41,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,2,0.5270758122743683,0.692694992678506,0.690460055321455,0.0065299342386424,0.011085788719356,0.0045558544807136,32,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,3,0.5270758122743683,0.6924110174179077,0.6512078926694103,0.0532985478639602,0.0682371109724044,0.0149385640397667,41,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,4,0.5270758122743683,0.6922875421387809,0.6690011398094456,0.0105731133371591,0.0138167366385459,0.0032436233013868,41,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,5,0.5270758122743683,0.6920593874795097,0.6231793781606163,0.0166728999465703,0.0218138098716735,0.0051409099251031,41,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,6,0.5270758122743683,0.6919914279665266,0.6804677832871675,0.009696053341031,0.0136130480095744,0.0039169951342046,32,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,7,0.5270758122743683,0.691945549419948,0.6396590360781043,0.0255823321640491,0.0296079348772764,0.0040256036445498,41,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,8,0.5270758122743683,0.6919197712625776,0.6698576623346748,0.0113849164918065,0.0143413664773106,0.0029564499855041,41,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,9,0.5270758122743683,0.691885815347944,0.6252080037826445,0.0142877139151096,0.0160634815692901,0.0017757680034264,41,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,10,0.5270758122743683,0.6918342556272234,0.6754074010907151,0.0105246882885694,0.0129475714638829,0.0024228836409747,41,-1
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,11,0.5270758122743683,0.6917025242533003,0.6465436723537562,0.021892849355936,0.0264709331095218,0.0045780842192471,41,-1
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,12,0.5270758122743683,0.6915866817746844,0.6726486940209458,0.0146021395921707,0.018119990825653,0.0035178516991436,41,-1
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,13,0.5270758122743683,0.6914782217570714,0.6823159661144018,0.0072629274800419,0.0093315467238426,0.0020686190109699,32,-1
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,14,0.5270758122743683,0.6912730404308864,0.6208336901373979,0.0406918302178382,0.0502279810607433,0.0095361499115824,41,-1
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,15,0.5270758122743683,0.691077709197998,0.6801609594374896,0.0073373946361243,0.0094843953847885,0.0021470007486641,32,-1
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,16,0.5270758122743683,0.6908192021506173,0.6226533152708192,0.0175803136080503,0.0222225543111562,0.0046422407031059,41,-1
16,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,17,0.5270758122743683,0.6905513593128749,0.6416632334633571,0.0121004451066255,0.0149005623534321,0.0028001167811453,41,-1
17,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,18,0.5270758122743683,0.6903081587382726,0.6640639072511254,0.0124873705208301,0.0161221530288457,0.0036347820423543,41,-1
18,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,19,0.5270758122743683,0.6900764107704163,0.6922395989298821,0.0063622826710343,0.0090293884277343,0.0026671055238693,32,-1
19,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,20,0.5270758122743683,0.6897552490234375,0.6286917979397425,0.0325331799685955,0.0418987348675727,0.0093655558302998,41,-1
20,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,21,0.5270758122743683,0.6894562772342137,0.6931150102987885,0.008049989119172,0.0109295444563031,0.0028795548714697,32,-1
21,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,22,0.5270758122743683,0.6890565054757255,0.6015953649108002,0.0197177939116954,0.0256983526051044,0.0059805596247315,41,-1
22,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,23,0.5270758122743683,0.6885906168392726,0.6207045499144531,0.0431400761008262,0.0554872825741767,0.0123472055420279,41,-1
23,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,24,0.5270758122743683,0.6880642924989973,0.6717969764024019,0.0103597156703472,0.0151752308011055,0.0048155155964195,32,-1
24,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,25,0.5270758122743683,0.6874104925564357,0.6316734327775676,0.0363080166280269,0.0470936521887779,0.0107856355607509,41,-1
25,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,26,0.5270758122743683,0.6867118835449219,0.6785187646746635,0.0124656483530998,0.0170033834874629,0.0045377351343631,32,-1
26,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,27,0.5270758122743683,0.6859299370220729,0.6350933644466285,0.0528925582766532,0.0681458786129951,0.0152533203363418,41,-1
27,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,28,0.5270758122743683,0.6849645239966257,0.6618603590058117,0.0534704774618148,0.0722446143627166,0.0187741369009017,41,-1
28,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,29,0.5270758122743683,0.6838382772036962,0.682195665951698,0.0146630182862281,0.0201455410569906,0.0054825227707624,31,-1
29,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,30,0.5270758122743683,0.682552262714931,0.6295929513326505,0.0360934808850288,0.0471480004489421,0.0110545204952359,41,-1
30,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,31,0.5270758122743683,0.6810350673539298,0.6331959567055471,0.0461037829518318,0.0595059990882873,0.0134022179991006,41,-1
31,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,32,0.5270758122743683,0.6794460671288627,0.6519845511855149,0.0218724273145198,0.0316582024097442,0.0097857750952243,41,-1
32,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,33,0.5270758122743683,0.6778976014682225,0.6907228253781795,0.0236266776919364,0.0323527678847312,0.0087260911241173,32,-1
33,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,34,0.5270758122743683,0.6762407370976039,0.606416894967963,0.0273532979190349,0.0367798991501331,0.0094266002997756,41,-1
34,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,35,0.5270758122743683,0.6743247151374817,0.6537187614092013,0.0314899310469627,0.0422994643449783,0.0108095342293381,41,-1
35,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,36,0.5342960288808665,0.6724926131112235,0.633650574015408,0.0408421866595745,0.0524647645652294,0.0116225779056549,41,-1
36,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,37,0.5306859205776173,0.6705719436917986,0.6290642097228911,0.0424943342804908,0.0545629262924194,0.0120685929432511,41,-1
37,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,38,0.5342960288808665,0.668999297278268,0.6727004892942382,0.0529716275632381,0.0685310363769531,0.0155594097450375,41,-1
38,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,39,0.5415162454873647,0.6671696475573948,0.6405538928763168,0.0629588365554809,0.0819791555404663,0.0190203227102756,41,-1
39,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,40,0.5415162454873647,0.6653820889336722,0.662921062039166,0.0407312586903572,0.0536450706422328,0.0129138138145208,41,-1
40,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,41,0.5487364620938628,0.6639551895005362,0.6464867852083066,0.0372164733707904,0.0486801676452159,0.0114636942744255,41,-1
41,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,42,0.5523465703971119,0.6625835520880563,0.6207095155992158,0.0398332141339778,0.0498776398599147,0.0100444266572594,41,-1
42,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,43,0.555956678700361,0.6617462285927364,0.6605634447187185,0.0380905717611312,0.0505522899329662,0.0124617191031575,32,-1
43,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,44,0.5595667870036101,0.6607685506343841,0.5988434700159038,0.0504687912762165,0.064667247235775,0.0141984559595584,41,-1
44,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,45,0.5595667870036101,0.6603843680449895,0.6369576016213836,0.0493899472057819,0.0640870407223701,0.0146970944479107,41,-1
45,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,46,0.5667870036101083,0.6604679763317108,0.6516393865027079,0.1558446437120437,0.1992801874876022,0.0434355475008487,41,-1
46,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,47,0.5667870036101083,0.6611176499298641,0.6592798644676805,0.0563723742961883,0.0733728781342506,0.0170005057007074,32,-1
47,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,48,0.5667870036101083,0.6611817632402692,0.6044075783796428,0.0717266649007797,0.0926280617713928,0.020901396870613,41,-1
48,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,49,0.5667870036101083,0.6609883368015289,0.6250365489866676,0.0575023666024208,0.0736016258597374,0.0160992592573165,41,-1
49,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,50,0.5631768953068592,0.6599897401673454,0.6375657430509242,0.0560668036341667,0.0734229236841201,0.0173561219125986,41,-1
50,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,51,0.5703971119133574,0.6583127813679831,0.6117008027143596,0.0638821646571159,0.0806154236197471,0.0167332608252763,41,-1
51,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,52,0.592057761732852,0.6565172263554164,0.6461309180027102,0.6348366737365723,0.7932975888252258,0.1584609150886535,41,-1
52,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,53,0.6064981949458483,0.6552748475755964,0.647359961079013,0.047685157507658,0.0618870258331298,0.0142018673941493,31,-1
53,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,54,0.6028880866425993,0.6535317548683711,0.6067062659597978,0.0636928081512451,0.0817656442523002,0.0180728379637002,41,-1
54,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,55,0.6173285198555957,0.650987184047699,0.6077674455759002,0.0633302927017211,0.0839187800884246,0.0205884836614131,41,-1
55,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,56,0.6245487364620939,0.6490482526166098,0.6578329153358936,0.0875591784715652,0.1134666353464126,0.0259074587374925,32,-1
56,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,57,0.6353790613718412,0.646970442363194,0.6019518793719572,0.0746365413069725,0.0948599502444267,0.020223407074809,41,-1
57,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,AdamW,1e-05,SGD,0.01,58,0.631768953068592,0.6448147671563285,0.6443224588545358,0.0894010365009307,0.1150192767381668,0.025618240237236,41,-1
