,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.0001,SGD,1e-05,1,0.4729241877256318,0.6963299036026,0.7196497326943933,1.2555697139760014e-06,1.92749894267763e-06,6.719292855450476e-07,41,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.0001,SGD,1e-05,2,0.4729241877256318,0.6944814664976937,0.7335913360118866,7.669359547435306e-08,6.605864655284677e-07,5.838928700541146e-07,32,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.0001,SGD,1e-05,3,0.4729241877256318,0.6941539543015617,0.6943955177214087,9.870673238765448e-07,1.026195945996733e-06,3.912862922561544e-08,41,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.0001,SGD,1e-05,4,0.5270758122743683,0.6919454387256078,0.6959699377781007,5.526209747586108e-07,6.500736731140933e-07,9.74526912500551e-08,41,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.0001,SGD,1e-05,5,0.5270758122743683,0.6917708158493042,0.6955141183806628,1.1498822232169914e-06,1.2890229754702889e-06,1.391407948858614e-07,41,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.0001,SGD,1e-05,6,0.5270758122743683,0.6911999957902091,0.6881541434675456,5.274822001410939e-08,2.1025807939167865e-07,1.5750985937756925e-07,32,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.0001,SGD,1e-05,7,0.5270758122743683,0.6911804948534285,0.6946343087568515,8.369310080524883e-07,8.603422543274064e-07,2.3411237393133888e-08,41,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.0001,SGD,1e-05,8,0.5270758122743683,0.6913446205002921,0.6907086096158841,5.355723828870396e-07,5.377180514187785e-07,2.145692734600857e-09,41,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.0001,SGD,1e-05,9,0.5270758122743683,0.6913820675441197,0.6910744731019183,1.140712583946879e-06,1.1632525911409175e-06,2.253998943047009e-08,41,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.0001,SGD,1e-05,10,0.5270758122743683,0.6912626096180507,0.6926257802218926,4.187185140835936e-07,4.3770856450464645e-07,1.8990052197409568e-08,41,-1
