,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.01,SGD,0.01,1,0.4729241877256318,3.462782483441489,0.6357266996691866,0.0234910249710083,0.031490609049797,0.0079995850101113,41,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.01,SGD,0.01,2,0.5270758122743683,2.867339127404349,0.8526121606118977,0.0234848707914352,0.2320220917463302,0.208537220954895,32,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.01,SGD,0.01,3,0.5270758122743683,1.6666524699756078,1.3179252579839469,0.0663589537143707,0.1383949518203735,0.0720359981060028,41,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.01,SGD,0.01,4,0.4729241877256318,6.050679898262024,1.3917798027123618,0.0258735716342926,0.0464788936078548,0.0206053219735622,41,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.01,SGD,0.01,5,0.5270758122743683,5.377684027808053,1.2123679961900586,0.0293914154171943,0.1506774872541427,0.1212860718369484,41,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.01,SGD,0.01,6,0.5270758122743683,1.8696497525487628,1.6872424197503275,0.0281206518411636,0.1311043947935104,0.1029837429523468,32,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.01,SGD,0.01,7,0.4729241877256318,0.6931656752313886,1.3483512742535733,0.0338217429816722,0.0482945591211319,0.0144728161394596,41,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.01,SGD,0.01,8,0.4729241877256318,0.8709929398127965,1.4628799375589572,0.0291702803224325,0.0399901233613491,0.0108198430389165,41,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.01,SGD,0.01,9,0.4729241877256318,1.003724113532475,1.3920849030871492,0.0467846803367137,0.0566522888839244,0.0098676085472106,41,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.01,SGD,0.01,10,0.4729241877256318,1.2588079265185763,1.3755797612548963,0.0270810145884752,0.0348445139825344,0.0077634998597204,41,-1
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.01,SGD,0.01,11,0.4729241877256318,1.116593666587557,1.3320535926835428,0.0296003483235836,0.0383223593235015,0.0087220109999179,41,-1
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.01,SGD,0.01,12,0.5270758122743683,0.6926333444459097,1.4292680512730418,0.0300504509359598,0.0498813390731811,0.0198308881372213,41,-1
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.01,SGD,0.01,13,0.4729241877256318,0.6971996716090612,1.5424199502682314,0.0246080420911312,0.0325384028255939,0.0079303607344627,32,-1
