,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,1,0.5270758122743683,10.99919022832598,0.6357266996691866,0.0234910249710083,0.03149060904979706,0.007999585010111332,41
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,2,0.4729241877256318,14.077838965824672,2.9129348575389487,0.13761234283447266,0.7224260568618774,0.5848137140274048,32
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,3,0.5270758122743683,23.30306371961321,2.1386021610096932,0.11200571060180664,0.48159298300743103,0.3695872724056244,41
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,4,0.4729241877256318,1.2949365581784928,3.6562911808036445,0.06209301948547363,1.5246485471725464,1.4625555276870728,41
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,5,0.4729241877256318,15.913337530408587,1.4421444818854514,0.048540856689214706,0.07354653626680374,0.025005679577589035,41
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,6,0.4729241877256318,4.385845242227827,2.9502921940147644,0.06098443269729614,0.7501258254051208,0.6891413927078247,32
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,7,0.5270758122743683,10.32930874143328,1.6371499785914925,0.04673469066619873,0.1386961042881012,0.09196141362190247,41
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,8,0.5270758122743683,11.404053224836076,2.1864719203825214,0.03672477602958679,0.29887863993644714,0.26215386390686035,41
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,9,0.4729241877256318,1.4066180314336505,2.163571210152095,0.04532638192176819,0.5023050904273987,0.4569787085056305,41
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,10,0.4729241877256318,12.312017236437116,1.5922071169062357,0.04026684910058975,0.05157710239291191,0.011310253292322159,41
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,11,0.4729241877256318,9.66637488092695,2.2551806508141214,0.04484748840332031,0.4068557322025299,0.3620082437992096,41
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,12,0.5270758122743683,2.226992688860212,2.1180141237882397,0.03663027286529541,0.2985161542892456,0.2618858814239502,41
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,13,0.5270758122743683,9.423887143816266,2.1438838749341813,0.02724887616932392,0.054940737783908844,0.027691861614584923,32
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,14,0.5270758122743683,7.160934955733163,1.8847198283779307,0.04643315076828003,0.3086625933647156,0.26222944259643555,41
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,15,0.4729241877256318,0.7893813031060355,1.93819077340886,0.029792621731758118,0.1428975760936737,0.11310495436191559,32
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,16,0.4729241877256318,9.090921013695853,1.467070679609641,0.03562520071864128,0.04377477988600731,0.008149580098688602,41
16,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,17,0.4729241877256318,7.0269424370356965,1.9883682203808661,0.03607073426246643,0.28681790828704834,0.2507471740245819,41
17,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,18,0.5270758122743683,1.8537106582096645,1.7963950564109925,0.03712911903858185,0.19844722747802734,0.1613181084394455,41
18,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,19,0.5270758122743683,7.961441005979266,1.7609489652561023,0.028866220265626907,0.040600281208753586,0.011734060943126678,32
19,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,0.1,SGD,0.01,20,0.5270758122743683,4.692668989726475,1.9578293977779473,0.0534137487411499,0.3464045524597168,0.2929908037185669,41
