,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.001,1,0.5270758122743683,0.6924991130828857,0.6373186413834735,0.0025736354291439,0.0040158927440643,0.0014422574313357,41,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.001,2,0.5270758122743683,0.6922442878995623,0.6730678819119931,0.0002229856618214,0.0004283871676307,0.0002054015058092,32,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.001,3,0.5270758122743683,0.6918960298810687,0.6433457173225356,0.0021982679609209,0.0024598101153969,0.000261542154476,41,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.001,4,0.5270758122743683,0.6916743976729257,0.6594383074016106,0.0013542787637561,0.001401112996973,4.683426959672943e-05,41,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.001,5,0.5270758122743683,0.6911962253706796,0.6257620265571082,0.0023775193840265,0.003229072317481,0.0008515529334545,41,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.001,6,0.5270758122743683,0.6909722243036542,0.6705898270010948,0.0002869074814952,0.0006030034273862,0.0003160959458909,32,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.001,7,0.5270758122743683,0.6906669650759015,0.6341086890639328,0.0026068193838,0.0028310688212513,0.0002242495393147,41,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.001,8,0.5270758122743683,0.6904227256774902,0.6600649692663332,0.0012729852460324,0.0013592314207926,8.624620386399329e-05,41,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.001,9,0.5270758122743683,0.6901043329920088,0.6231094961486212,0.0026876118499785,0.0028782510198652,0.0001906390825752,41,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.001,10,0.5270758122743683,0.689732483455113,0.6626466428361287,0.0010172666516155,0.0011199781438335,0.0001027114340104,41,-1
