,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,1,0.5270758122743683,0.6928550413676671,0.6357266996691866,0.0234910249710083,0.03149060904979706,0.007999585010111332,41
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,2,0.5270758122743683,0.6926950028964451,0.6904600711539388,0.0065299333073198795,0.011085796169936657,0.004555862862616777,32
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,3,0.5270758122743683,0.6924144915172032,0.6512017187185404,0.05179283767938614,0.06634825468063354,0.014555417001247406,41
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,4,0.5270758122743683,0.6922916616712298,0.6689997446246263,0.010624752379953861,0.013889099471271038,0.003264346858486533,41
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,5,0.5270758122743683,0.6920557447842189,0.6227697662464002,0.014243206940591335,0.018903391435742378,0.004660184495151043,41
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,6,0.5270758122743683,0.691987133026123,0.6803733730688691,0.008051089942455292,0.011202520690858364,0.0031514312140643597,32
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,7,0.5270758122743683,0.6919276356697083,0.6390111914495142,0.018218301236629486,0.02047746442258358,0.002259163884446025,41
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,8,0.5270758122743683,0.6918972338948931,0.6697075898327478,0.009242457337677479,0.011714617721736431,0.0024721603840589523,41
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,9,0.5270758122743683,0.6918556111199515,0.6251723602050687,0.014186779968440533,0.015987945720553398,0.0018011655192822218,41
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,10,0.5270758122743683,0.691799761567797,0.6752239712854711,0.010510308668017387,0.012949028983712196,0.0024387198500335217,41
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,11,0.5270758122743683,0.6916792171342032,0.6467767482487167,0.0163143090903759,0.019197003915905952,0.0028826938942074776,41
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,12,0.5270758122743683,0.6915798783302307,0.6725380019443791,0.014591477811336517,0.01777215115725994,0.00318067311309278,41
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,13,0.5270758122743683,0.691483621937888,0.6821189673617483,0.007920568808913231,0.010408793576061726,0.002488224534317851,32
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,14,0.5270758122743683,0.6912455081939697,0.6204370398346971,0.01762087456882,0.023239199072122574,0.005618324037641287,41
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,15,0.5270758122743683,0.6910252809524536,0.6801435958594084,0.006442078854888678,0.00848416332155466,0.002042084466665983,32
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,Adam,1e-05,SGD,0.01,16,0.5270758122743683,0.6907426067761012,0.622430023769053,0.014596843160688877,0.019202565774321556,0.004605722613632679,41
