,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,1,0.5270758122743683,0.6936839342117309,0.7196497326943933,1.2555697139760014e-06,1.92749894267763e-06,6.719292855450476e-07,41
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,2,0.5270758122743683,0.6936839086668832,0.6740803062915802,5.493926380495395e-08,1.0635054792373921e-07,5.141128411878526e-08,32
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,3,0.5270758122743683,0.6936838780130659,0.6990199330376415,1.1826854233731865e-06,1.3110262671034434e-06,1.2834080109769275e-07,41
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,4,0.5270758122743683,0.693683842250279,0.6882196733137456,6.638989020757435e-07,6.779737873330305e-07,1.407488614546537e-08,41
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,5,0.5270758122743683,0.6936837826456342,0.7160483371920703,1.4531519809679594e-06,2.011194283113582e-06,5.580422453022038e-07,41
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,6,0.5270758122743683,0.6936837298529489,0.6734974309802055,6.848949851701036e-08,1.1943174627049302e-07,5.094224775348266e-08,32
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,7,0.5270758122743683,0.693683671951294,0.6999936327701661,1.1264222621321096e-06,1.2795675274901441e-06,1.5314522272547038e-07,41
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,8,0.5270758122743683,0.6936836140496391,0.6925863216562969,7.297358592950332e-07,7.64347475978866e-07,3.4611613131119157e-08,41
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,9,0.5270758122743683,0.6936835408210754,0.6940438064133249,1.4962887462388608e-06,1.5914614550638362e-06,9.517273014125749e-08,41
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,10,0.5270758122743683,0.6936834692955017,0.6959704832332889,5.721488491872151e-07,6.598805839530542e-07,8.773175608212114e-08,41
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,11,0.5270758122743683,0.6936833824430193,0.69965935422153,1.2854579836130142e-06,1.43292379561899e-06,1.474658546385399e-07,41
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,12,0.5270758122743683,0.6936833006995065,0.6883607672482002,7.093546514624904e-07,7.241266644086863e-07,1.4771991629913828e-08,41
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,13,0.5270758122743683,0.6936832462038313,0.6730282697826624,3.47518067655983e-08,6.746862624140704e-08,3.2716819475808734e-08,32
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,14,0.5270758122743683,0.6936831508363996,0.7136482701068971,1.4293209460447542e-06,1.928102165038581e-06,4.987812758372456e-07,41
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,15,0.5270758122743683,0.6936830827168056,0.672310858219862,2.0962104940736026e-08,6.852420142422488e-08,4.756209648348886e-08,32
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,16,0.5270758122743683,0.6936829924583435,0.7173789591324039,1.295970605497132e-06,1.928368419612525e-06,6.323978709588118e-07,41
16,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,17,0.5270758122743683,0.6936828800610133,0.6955831463744001,1.2663306279137032e-06,1.3767322570856777e-06,1.1040167180453864e-07,41
17,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,18,0.5270758122743683,0.693682781287602,0.6943013854143097,7.440384592882765e-07,7.964208066368883e-07,5.2382372217607553e-08,41
18,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,19,0.5270758122743683,0.6936826842171805,0.6762616761028767,3.5703404677178696e-08,5.0431236076065034e-08,1.4727830510707918e-08,32
19,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,20,0.5270758122743683,0.6936825837407793,0.7168672581998313,1.4167949302645866e-06,2.0190841496514622e-06,6.022891625434568e-07,41
20,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,21,0.5270758122743683,0.6936824951853071,0.6797021131962537,6.09467178946943e-08,7.459311035518112e-08,1.3646394236843662e-08,32
21,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,22,0.5270758122743683,0.6936823861939566,0.705892835593805,1.7021367284542066e-06,2.0145869257248705e-06,3.1245022569237335e-07,41
22,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,23,0.5270758122743683,0.6936822652816772,0.7143197556821311,1.3951610071671894e-06,1.899395442706009e-06,5.042343786954007e-07,41
23,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,24,0.5270758122743683,0.6936821562903268,0.6764083664864302,5.5902297901866405e-08,8.181163480003306e-08,2.5909338674523497e-08,32
24,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.0001,SGD,1e-05,25,0.5270758122743683,0.6936820234571185,0.7173998073833745,1.2526910495580523e-06,1.840593768065446e-06,5.879027185073937e-07,41
