,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,1,0.5270758122743683,0.6933672564370291,0.7019903238226728,0.0001037642286974,0.0001594847708474,5.572054215008393e-05,41,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,2,0.5270758122743683,0.6931803805487496,0.6737217027693987,4.94613277624012e-06,9.818376383918803e-06,4.872243607678684e-06,32,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,3,0.5270758122743683,0.6929128646850586,0.6864554629093262,9.6241565188393e-05,0.000105420127511,9.17856323212618e-06,41,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,4,0.5270758122743683,0.6926707318850926,0.681852409897781,5.779642742709257e-05,5.896696893614717e-05,1.1705431006703293e-06,41,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,5,0.5270758122743683,0.6922958953039987,0.6940548419952393,0.0001172242336906,0.0001560585660627,3.88343287340831e-05,41,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,6,0.5270758122743683,0.692077078138079,0.674999414011836,6.001524525345303e-06,1.338636502623558e-05,7.384840500890277e-06,32,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,7,0.5270758122743683,0.6918595399175371,0.6850356014763437,9.454051905777304e-05,0.0001016321693896,7.091649877111195e-06,41,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,8,0.5270758122743683,0.6916980011122568,0.6844611141739823,6.028479765518569e-05,6.084549386287108e-05,5.606959803117206e-07,41,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,9,0.5270758122743683,0.6915769117219107,0.6766935714861242,0.0001209506881423,0.0001229541230713,2.003435838560108e-06,41,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,10,0.5270758122743683,0.6915017536708287,0.686825373114609,4.783486292581074e-05,4.935464312438853e-05,1.519780425951467e-06,41,-1
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,11,0.5270758122743683,0.6914739676884243,0.6819940665873085,0.0001051699873642,0.0001082283488358,3.0583637453673877e-06,41,-1
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,12,0.5270758122743683,0.6914896658488683,0.6819460697290374,5.91358621022664e-05,6.055599806131795e-05,1.4201347084963345e-06,41,-1
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,13,0.5270758122743683,0.6915104269981385,0.6803450979292393,3.2784946597530507e-06,1.4949438991607169e-05,1.1670944331854116e-05,32,-1
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,14,0.5270758122743683,0.6915719526154654,0.6830961541431706,0.0001178619713755,0.0001348117220913,1.6949750715866685e-05,41,-1
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,15,0.5270758122743683,0.6916059408869062,0.6820846412330865,1.8807022570399567e-06,1.707330193312373e-05,1.5192599676083772e-05,32,-1
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,16,0.5270758122743683,0.6917052933147976,0.6832832161973162,0.0001068160927388,0.0001296246191486,2.280852459080052e-05,41,-1
16,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,17,0.5270758122743683,0.6918193595749992,0.6796947025671238,9.898898133542389e-05,9.948257502401248e-05,4.935928359373065e-07,41,-1
17,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,18,0.5270758122743683,0.6919236966541835,0.6853266428156596,5.96897370996885e-05,6.074779594200663e-05,1.0580595244391588e-06,41,-1
18,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,19,0.5270758122743683,0.6919555340494429,0.6850986398756505,2.935305019491352e-06,1.4580567949451506e-05,1.1645262929960154e-05,32,-1
19,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,20,0.5270758122743683,0.6920720662389482,0.6810345143806643,0.0001162813714472,0.0001318361173616,1.555474409542512e-05,41,-1
20,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,21,0.5270758122743683,0.6921030129705157,0.6885983791202307,5.351260369934607e-06,1.7289774405071512e-05,1.1938514035136905e-05,32,-1
21,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,22,0.5270758122743683,0.6921805109296526,0.6752224166218828,0.0001438474282622,0.0001480199134675,4.172487024334259e-06,41,-1
22,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,23,0.5270758122743683,0.6923466801643372,0.6800736386601518,0.0001172503689303,0.0001290828367928,1.1832470590888988e-05,41,-1
23,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,24,0.5270758122743683,0.6923905628068107,0.687867321446538,4.975310730515048e-06,2.1825813746545464e-05,1.6850503016030416e-05,32,-1
24,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,25,0.5234657039711191,0.6925390788487026,0.6817237231789565,0.0001028644765028,0.0001155558857135,1.2691408301179765e-05,41,-1
25,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,26,0.5234657039711191,0.6925145319529942,0.6872250329703092,2.9886614356655627e-06,3.0015065931365825e-05,2.7026404495700262e-05,32,-1
26,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,27,0.5270758122743683,0.6924788866724286,0.6809493535902441,0.0001085847325157,0.0001091038138838,5.190845513425302e-07,41,-1
27,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,28,0.5270758122743683,0.6923792089734758,0.6824535009337633,6.646181282121688e-05,7.196095975814387e-05,5.49914648217964e-06,41,-1
28,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,29,0.5270758122743683,0.6921781778335572,0.689475679013037,2.6838624762604013e-06,2.131121800630353e-05,1.8627355530043133e-05,31,-1
29,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,30,0.5270758122743683,0.6921287127903529,0.6841542520174165,9.463285823585466e-05,0.0001166518923128,2.201903589593712e-05,41,-1
30,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,31,0.5270758122743683,0.692098081111908,0.6850410246267551,9.29930538404733e-05,9.349805623060092e-05,5.05003242778912e-07,41,-1
31,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,32,0.5270758122743683,0.6920030185154507,0.6834679632652098,5.989025885355659e-05,6.946546636754647e-05,9.57520660449518e-06,41,-1
32,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,33,0.5270758122743683,0.6918412600244794,0.6855583056807518,3.667526470962912e-06,1.9992707166238688e-05,1.6325180695275776e-05,32,-1
33,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,0.0001,34,0.5270758122743683,0.6917779088020325,0.6776364361367575,0.000122313882457,0.0001349891535937,1.2675277503149118e-05,41,-1
