,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,1e-05,1,0.5270758122743683,0.6936479585511344,0.7196497326943933,1.2555697139760014e-06,1.92749894267763e-06,6.719292855450476e-07,41,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,1e-05,2,0.5270758122743683,0.6936248830386571,0.674134224280715,5.4931959425630346e-08,1.0693936758343625e-07,5.200740815780591e-08,32,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,1e-05,3,0.5270758122743683,0.6935890538351877,0.6989062794824926,1.1824149623862468e-06,1.3086126955386137e-06,1.2619777578493085e-07,41,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,1e-05,4,0.5270758122743683,0.693552565574646,0.6881637872719184,6.639536422881065e-07,6.770509912712441e-07,1.3097349871316057e-08,41,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,1e-05,5,0.5270758122743683,0.6934886966432844,0.715510448013864,1.453169261367293e-06,2.0009890704386635e-06,5.478198090713704e-07,41,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,1e-05,6,0.5270758122743683,0.693441253049033,0.6738004289567471,6.847585609648378e-08,1.2277655514481012e-07,5.430069549561267e-08,32,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,1e-05,7,0.5270758122743683,0.6933836136545454,0.6994743233773766,1.1277057865299869e-06,1.272711301680829e-06,1.450055577834064e-07,41,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,1e-05,8,0.5270758122743683,0.693325880595616,0.6922950465504716,7.290842631846317e-07,7.586671699755243e-07,2.9582928107174663e-08,41,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,1e-05,9,0.5270758122743683,0.6932633434023175,0.6934446134218357,1.493893478254904e-06,1.5777012549733629e-06,8.380781224559541e-08,41,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,1e-05,10,0.5270758122743683,0.6931974445070539,0.6952914804947085,5.722647529182723e-07,6.477074521171744e-07,7.544272051518419e-08,41,-1
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,1e-05,11,0.5270758122743683,0.6931259036064148,0.6986458336434713,1.2845611081502284e-06,1.412751430507342e-06,1.281903507788229e-07,41,-1
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,1e-05,12,0.5270758122743683,0.6930598497390748,0.68804727734589,7.091881570886471e-07,7.181175760706537e-07,8.929442074645522e-09,41,-1
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,0.1,SGD,1e-05,13,0.5270758122743683,0.6930089320455278,0.6739092390984297,3.531160075453954e-08,7.823905434634072e-08,4.2927453591801175e-08,32,-1
