,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,1,0.4729241877256318,0.7052128263882228,0.7093629162079973,2.4183120727539062,3.716228485107422,1.2979164123535156,41
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,2,0.5270758122743683,0.6918033310345241,0.6932979423552752,0.22268007695674896,0.34999021887779236,0.1273101419210434,32
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,3,0.4729241877256318,0.7018249801227024,0.6543773432330388,0.19797448813915253,0.3118545114994049,0.11388002336025238,41
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,4,0.5270758122743683,0.7004548822130475,0.6764765611508997,0.1885768175125122,0.3477739989757538,0.15919718146324158,41
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,5,0.5270758122743683,0.6950177414076669,0.6498242089661155,0.21741238236427307,0.3931581974029541,0.17574581503868103,41
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,6,0.5270758122743683,0.6931485039847237,0.6959469022229314,0.12336762249469757,0.28097644448280334,0.15760882198810577,32
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,7,0.5270758122743683,0.7061372365270342,0.6298455925431193,0.2086397260427475,0.2504898011684418,0.04185007885098457,41
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,8,0.5270758122743683,0.7184654150690352,0.6646207290451701,0.08914031833410263,0.1372389793395996,0.04809866100549698,41
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,9,0.5270758122743683,0.6915954538754054,0.6270791821363495,0.13545462489128113,0.1944483369588852,0.058993712067604065,41
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,10,0.5270758122743683,0.6917966229575021,0.6759044084607101,0.1432117372751236,0.27004358172416687,0.12683184444904327,41
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,11,0.5270758122743683,0.6922158053943089,0.6408329020549611,0.18379256129264832,0.235187366604805,0.05139480531215668,41
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,12,0.4729241877256318,0.6988109707832336,0.6745321353761161,0.15667831897735596,0.3124377429485321,0.15575942397117615,41
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,13,0.5270758122743683,0.7129401496478489,0.68658138345927,0.06997998058795929,0.14904828369617462,0.07906830310821533,32
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,14,0.5270758122743683,0.6916244864463806,0.6204254820942878,0.19086387753486633,0.29796287417411804,0.10709899663925171,41
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,15,0.4729241877256318,0.7026927930968149,0.6762265466153622,0.06359943747520447,0.12898078560829163,0.06538134813308716,32
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,16,0.4729241877256318,0.6996310744966779,0.6183118199066417,0.14099857211112976,0.17929936945438385,0.038300804793834686,41
16,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,17,0.4729241877256318,0.6952243259974888,0.6411195994150347,0.12273243814706802,0.18681924045085907,0.06408680230379105,41
17,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,18,0.5270758122743683,0.6921130061149597,0.6633116073724701,0.08798647671937943,0.1447014957666397,0.056715019047260284,41
18,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,19,0.5270758122743683,0.7037112423351832,0.6826944716274739,0.05904339253902435,0.11822231113910675,0.0591789186000824,32
19,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,20,0.4729241877256318,0.7040079729897636,0.624349361985195,0.17974340915679932,0.2462649792432785,0.06652157008647919,41
20,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,21,0.5270758122743683,0.6919137001037597,0.6865538559854031,0.05119915306568146,0.12346797436475754,0.07226882129907608,32
21,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,22,0.5270758122743683,0.6947931391852242,0.6039591652409333,0.15580178797245026,0.18066777288913727,0.024865983054041862,41
22,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,23,0.4729241877256318,0.7228637286594936,0.6181148056576891,0.19622232019901276,0.25060370564460754,0.05438138544559479,41
23,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,24,0.5270758122743683,0.6920381886618477,0.6805866515263915,0.06781961023807526,0.16529671847820282,0.09747710824012756,32
24,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,25,0.5270758122743683,0.6917742712157113,0.6227276962977356,0.11814108490943909,0.17894116044044495,0.06080007180571556,41
25,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,26,0.5270758122743683,0.7059795464788164,0.674000202678144,0.049746353179216385,0.08196105808019638,0.032214704900979996,32
26,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,27,0.5270758122743683,0.7013477308409555,0.6347677823610423,0.1495368778705597,0.18697993457317352,0.03744305670261383,41
27,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,28,0.5270758122743683,0.692457035609654,0.6619643606790682,0.08293542265892029,0.11459628492593765,0.031660862267017365,41
28,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,29,0.5270758122743683,0.6966072133609227,0.6691224771161234,0.03865860030055046,0.06933499872684479,0.030676398426294327,31
29,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,30,0.5270758122743683,0.6914581196648734,0.6282488892354616,0.08982960879802704,0.13233885169029236,0.04250924289226532,41
30,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,31,0.4729241877256318,0.7046577760151455,0.633364619859835,0.1503877490758896,0.17200782895088196,0.02162008546292782,41
31,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,32,0.5270758122743683,0.6914512174470084,0.6525767290010684,0.07650676369667053,0.14583781361579895,0.06933104991912842,41
32,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,33,0.5270758122743683,0.7463294778551374,0.6802689166739583,0.03824381157755852,0.07752937078475952,0.039285559207201004,32
33,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,34,0.5270758122743683,0.6914251480783735,0.6195633494272464,0.15462546050548553,0.3020150661468506,0.14738960564136505,41
34,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,35,0.4729241877256318,0.7153663686343602,0.6579882865271918,0.12758047878742218,0.16024629771709442,0.03266581892967224,41
35,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,36,0.5270758122743683,0.6913769194058009,0.6321096684147671,0.08900566399097443,0.1594504863023758,0.07044482231140137,41
36,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,37,0.5270758122743683,0.7098272851535252,0.6284059268672293,0.15709660947322845,0.1756257265806198,0.018529120832681656,41
37,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,38,0.5270758122743683,0.7062703047479902,0.6657766783382835,0.1692020446062088,0.22546301782131195,0.05626097321510315,41
38,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,39,0.4729241877256318,0.6935904928616115,0.6389886106296283,0.1313440203666687,0.1893446296453476,0.058000609278678894,41
39,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,40,0.4729241877256318,0.6963315895625524,0.6621277588896635,0.08693156391382217,0.11792786419391632,0.030996300280094147,41
40,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,41,0.5270758122743683,0.6959374512944903,0.661704434563474,0.07399621605873108,0.11036752909421921,0.03637130931019783,41
41,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,42,0.5270758122743683,0.6982070122446332,0.6276867563041246,0.17049501836299896,0.19538722932338715,0.024892214685678482,41
42,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,43,0.5270758122743683,0.714129490511758,0.6741388367488981,0.03940574824810028,0.05684148147702217,0.01743573322892189,32
43,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,44,0.5270758122743683,0.6925252301352365,0.6133315613720475,0.20180079340934753,0.27870702743530273,0.0769062340259552,41
44,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,45,0.4729241877256318,0.6991022501673018,0.642127486227489,0.09290950000286102,0.12999294698238373,0.03708344325423241,41
45,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,46,0.5270758122743683,0.6942401596478054,0.660386486460523,0.06885888427495956,0.12322842329740524,0.05436953902244568,41
46,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,47,0.5270758122743683,0.7332815800394331,0.6656637609004974,0.032308172434568405,0.05551130697131157,0.023203134536743164,32
47,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,48,0.4729241877256318,0.7012217555727277,0.6250472769868083,0.13965684175491333,0.25155630707740784,0.1118994727730751,41
48,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,49,0.4729241877256318,0.7365662166050502,0.6344224045552858,0.10628339648246765,0.14177356660366058,0.03549017012119293,41
49,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,50,0.5270758122743683,0.692505065032414,0.6640482406790664,0.10039619356393814,0.16260625422000885,0.06221006065607071,41
50,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,51,0.5270758122743683,0.6914341466767447,0.6299365081074761,0.14793583750724792,0.17049983143806458,0.022563999518752098,41
51,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,52,0.5270758122743683,0.693021081175123,0.6620144678325188,0.08657598495483398,0.11918415874242783,0.03260817378759384,41
52,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,53,0.5270758122743683,0.7133930206298829,0.6711451422783636,0.051008954644203186,0.09470384567975998,0.04369489103555679,31
53,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,54,0.5270758122743683,0.691719833442143,0.630606065399763,0.1336909532546997,0.21658067405223846,0.08288972824811935,41
54,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,0.9,1.0,SGD,0.1,55,0.4729241877256318,0.7493194716317313,0.6184019945016721,0.10671499371528625,0.14050407707691193,0.03378908336162567,41
