,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,1,0.4729241877256318,0.7087258270808628,0.6373186413834735,0.0025736354291439,0.0040158927440643,0.0014422574313357,41,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,2,0.5270758122743683,0.6951475484030587,0.6887040518224239,0.0002209503436461,0.0018443380249664,0.0016233876813203,32,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,3,0.4873646209386281,0.6928183504513332,0.6460047921756419,0.0021986793726682,0.0026780592743307,0.0004793797852471,41,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,4,0.5270758122743683,0.6917780501501901,0.660189874724644,0.0013676881790161,0.0015380398835986,0.0001703517336864,41,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,5,0.4729241877256318,0.7070264697074891,0.6276299856784867,0.0023988247849047,0.0032301775645464,0.0008313527796417,41,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,6,0.5270758122743683,0.6993839280945914,0.6819099131971598,0.0002788323909044,0.0019078564364463,0.0016290240455418,32,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,7,0.5054151624548736,0.6924793890544346,0.6395567304477459,0.0026558232493698,0.0032911740709096,0.0006353508215397,41,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,8,0.5270758122743683,0.6913318940571376,0.6601268178079187,0.0012302831746637,0.0013345238985493,0.0001042407675413,41,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,9,0.5270758122743683,0.6915766511644635,0.6250985905164625,0.0024705538526177,0.0025540848728269,8.353107114089653e-05,41,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,10,0.5270758122743683,0.6913827504430499,0.6640392623296598,0.001239911885932,0.0013378112344071,9.789939213078468e-05,41,-1
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,11,0.5090252707581228,0.6930263229778835,0.633737061954126,0.0022434717975556,0.0023582335561513,0.0001147617731476,41,-1
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,12,0.5270758122743683,0.6922522749219622,0.656772318118956,0.001213751733303,0.0014180802972987,0.0002043285930994,41,-1
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,13,0.5270758122743683,0.6991828594888959,0.6723642103374005,0.0002493274805601,0.0003606475074775,0.0001113200341933,32,-1
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,14,0.4729241877256318,0.7128524354525975,0.6189980453107415,0.0023277043364942,0.003611046122387,0.0012833419023081,41,-1
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,15,0.5270758122743683,0.70007232938494,0.6805575553327798,0.0002501198323443,0.0014251733664423,0.0011750535340979,32,-1
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,16,0.4729241877256318,0.7075460570199149,0.6224992608151785,0.0020137163810431,0.0030347590800374,0.0010210428154096,41,-1
16,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,17,0.5270758122743683,0.6903524024145944,0.6302146700824178,0.0014626141637563,0.0018477234989404,0.0003851092769764,41,-1
17,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,18,0.5270758122743683,0.6912602884428841,0.6553383216625307,0.0008712419657967,0.0009663607925176,9.511880489299074e-05,41,-1
18,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,19,0.5270758122743683,0.6982073903083801,0.6745617253705859,0.0002472441410645,0.00036261533387,0.0001153711855295,32,-1
19,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,20,0.4765342960288808,0.6958934545516968,0.6203344168459497,0.00197141058743,0.0025231570471078,0.0005517464596778,41,-1
20,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,21,0.5270758122743683,0.6986775432314192,0.6795565893873572,0.0003192335716448,0.0008308116230182,0.0005115780513733,32,-1
21,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,22,0.4729241877256318,0.6985032950128828,0.6044777648478019,0.0023260442540049,0.0029546523001044,0.0006286081625148,41,-1
22,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,23,0.4729241877256318,0.7080672519547598,0.6119194953179942,0.0022912048734724,0.0024250496644526,0.0001338447764283,41,-1
23,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,24,0.5270758122743683,0.7119234340531485,0.6767024943605066,0.0003764065913856,0.0015979955205693,0.0012215889291837,32,-1
24,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,25,0.4693140794223827,0.6979573488235473,0.6270395010709762,0.0016474756412208,0.0025589754804968,0.0009114997810684,41,-1
25,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,26,0.5270758122743683,0.7163357487746648,0.6693668620660901,0.0003944298368878,0.0013222473207861,0.0009278174838982,32,-1
26,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,27,0.5342960288808665,0.6880386011941092,0.6333847687738697,0.0018879645504057,0.0023835904430598,0.0004956258344464,41,-1
27,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,28,0.5270758122743683,0.6942217128617423,0.6494665645971531,0.0009623754885978,0.0011742407223209,0.0002118652482749,41,-1
28,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,29,0.5270758122743683,0.7028456773076739,0.6679463059671463,0.0004229897167533,0.0005517193349078,0.0001287296181544,31,-1
29,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.001,30,0.4693140794223827,0.6985093832015992,0.6296456712775114,0.0015813233330845,0.0024601619224995,0.0008788386476226,41,-1
