,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.1,1,0.4729241877256318,0.7052128263882228,0.7093629162079973,2.4183120727539062,3.716228485107422,1.2979164123535156,41
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.1,2,0.5270758122743683,0.6918984123638698,0.6932979423552752,0.22268007695674896,0.34999021887779236,0.1273101419210434,32
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.1,3,0.5270758122743683,0.6927613071032933,0.642069920061565,0.1652195155620575,0.20002363622188568,0.034804124385118484,41
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.1,4,0.5270758122743683,0.692824867793492,0.6589952814869765,0.10831154137849808,0.13294434547424316,0.024632802233099937,41
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.1,5,0.4729241877256318,0.6996667691639491,0.6227272886328581,0.1609058976173401,0.21035055816173553,0.049444667994976044,41
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.1,6,0.5270758122743683,0.7024479797908239,0.6730236772447824,0.05840203911066055,0.15063726902008057,0.09223522990942001,32
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.1,7,0.5270758122743683,0.6913461225373404,0.629582866771919,0.16647566854953766,0.20011906325817108,0.03364339470863342,41
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.1,8,0.5270758122743683,0.6941057103020805,0.6603623126338167,0.07202723622322083,0.08885758370161057,0.01683034747838974,41
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.1,9,0.5270758122743683,0.6921551465988159,0.6202340094054618,0.12381859123706818,0.1354450136423111,0.011626418679952621,41
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.1,10,0.5270758122743683,0.6916946513312203,0.6652144607974261,0.11492602527141571,0.1344243735074997,0.019498351961374283,41
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.1,11,0.5270758122743683,0.6913485067231314,0.6311036439930521,0.15628758072853088,0.167094424366951,0.010806840844452381,41
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.1,12,0.5270758122743683,0.694631734916142,0.655233201457233,0.1117955818772316,0.1346503347158432,0.022854752838611603,41
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.1,13,0.5270758122743683,0.6988219022750854,0.6725337198004127,0.026959745213389397,0.03714903071522713,0.01018928550183773,32
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,0.1,14,0.4729241877256318,0.7080556460789271,0.6182318623109562,0.2046011984348297,0.2920353412628174,0.08743414282798767,41
