,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,1,0.5270758122743683,0.6933371680123466,0.7196497326943933,1.2555697139760014e-06,1.92749894267763e-06,6.719292855450476e-07,41,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,2,0.5270758122743683,0.693427836894989,0.6746360640972853,5.4765870061146416e-08,1.123011017511999e-07,5.7535231690053485e-08,32,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,3,0.5270758122743683,0.6932892663138254,0.6985261213488695,1.181478864964447e-06,1.3004952279516149e-06,1.1901640561973181e-07,41,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,4,0.5270758122743683,0.6932534796851022,0.6879951039465462,6.652192041656235e-07,6.756889661119203e-07,1.0469757505404688e-08,41,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,5,0.5270758122743683,0.6929786545889718,0.7142391585722203,1.452906303711643e-06,1.976795601876802e-06,5.238892981651588e-07,41,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,6,0.5270758122743683,0.6930683067866734,0.674731933325529,6.845214528539145e-08,1.3307838742093736e-07,6.462624213554592e-08,32,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,7,0.5270758122743683,0.6929378730910165,0.6986471472716914,1.1228596576984271e-06,1.2521620647021336e-06,1.293023785819969e-07,41,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,8,0.5270758122743683,0.6928884080478124,0.6918677260236044,7.281290095306758e-07,7.503822416765615e-07,2.2253246356740423e-08,41,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,9,0.5270758122743683,0.6927985514913286,0.692688421214499,1.4908100638422184e-06,1.5602781786583364e-06,6.946809349983597e-08,41,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,10,0.5270758122743683,0.6927170855658394,0.6945101592598892,5.774977012151794e-07,6.401962195923261e-07,6.269849706086461e-08,41,-1
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,11,0.5270758122743683,0.6926142811775208,0.6975791564801843,1.2820524943890632e-06,1.3896033124183305e-06,1.0755086776725876e-07,41,-1
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,12,0.5270758122743683,0.6925997734069824,0.6878209640340107,7.09161668055458e-07,7.138895625757868e-07,4.727873648135983e-09,41,-1
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,13,0.5270758122743683,0.6926714794976371,0.6747836217284202,3.5567875755759815e-08,8.870350853840138e-08,5.313563278264156e-08,32,-1
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,14,0.5270758122743683,0.6924709916114807,0.7093652588565176,1.4312726079879212e-06,1.8485618511476789e-06,4.1728921473804803e-07,41,-1
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,15,0.5270758122743683,0.6925525852612087,0.6747568052262067,2.0683344814642624e-08,9.50509644326303e-08,7.436761961798767e-08,32,-1
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,False,0.0,,SGD,1.0,SGD,1e-05,16,0.5270758122743683,0.6923402053969246,0.7118515029186157,1.2915226079712738e-06,1.8231521607958712e-06,5.316295528245973e-07,41,-1
