,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,1,0.4729241877256318,0.7198913540158953,0.6428432876017036,0.0023473040200769,0.0033776664640754,0.0010303625604137,41,10
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,2,0.5270758122743683,0.6911721212523324,0.6731551139988005,0.0021826596930623,0.0117003647610545,0.0095177050679922,320,10
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,3,0.5270758122743683,0.6892477188791547,0.6366094300659692,0.0024729147553443,0.0027367416769266,0.000263826950686,41,10
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,4,0.5270758122743683,0.6934167521340506,0.6382659539507658,0.0089638642966747,0.0160984080284833,0.0071345437318086,410,10
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,5,0.6823104693140795,0.6269899955817632,0.5653815351971765,0.0062506701797246,0.0114973988384008,0.0052467286586761,123,10
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,6,0.592057761732852,0.873292225599289,0.5965478966594674,0.0119291152805089,0.0181675739586353,0.0062384586781263,128,10
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,7,0.6353790613718412,0.82131722761052,0.4767790929209895,0.018436374142766,0.0270003769546747,0.0085640028119087,123,10
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,8,0.6209386281588448,0.800927168556622,0.5006623134380433,0.0308932103216648,0.0409797690808773,0.0100865587592124,123,10
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,9,0.6570397111913358,1.0812150252184698,0.3419728221816988,0.0634283423423767,0.0895396918058395,0.0261113513261079,205,10
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,10,0.6750902527075813,0.8643877229520253,0.3726708660220228,0.0642536878585815,0.0860385224223136,0.0217848364263772,164,10
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,11,0.6750902527075813,1.0884159701211111,0.2631862018929749,0.0847975462675094,0.1126417443156242,0.0278441999107599,205,10
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,12,0.6714801444043321,1.01382775125759,0.3498507200672133,0.1038319319486618,0.1317363828420639,0.0279044546186923,123,10
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,13,0.7075812274368231,1.104412715270051,0.2235942018596688,0.1314842700958252,0.1738895028829574,0.0424052365124225,320,10
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,14,0.7075812274368231,0.9612781833325114,0.3152781994241039,0.0702935233712196,0.0890519693493843,0.0187584441155195,82,10
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,15,0.6787003610108303,1.2908819285620536,0.142859416326828,0.1163247674703598,0.1532966345548629,0.0369718708097934,320,10
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,16,0.7003610108303249,1.001655149592885,0.3454860586741167,0.0589879676699638,0.0772197470068931,0.0182317793369293,82,10
16,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,17,0.7075812274368231,1.1685733452306262,0.092896127425384,0.1366412490606308,0.178399458527565,0.0417582094669342,410,10
17,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adagrad,0.0001,SGD,0.001,18,0.7328519855595668,0.8124025726158705,0.3299237094933121,0.0783895254135131,0.1004637405276298,0.0220742188394069,82,10
