,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,AdamW,1e-05,SGD,1e-05,1,0.5270758122743683,0.6926825898034232,0.7184510876492756,1.253646814802778e-06,1.8971053350469449e-06,6.434585202441667e-07,41,10
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,AdamW,1e-05,SGD,1e-05,2,0.5270758122743683,0.6931494321141924,0.673592511229217,3.2016541808843613e-06,1.0081304935738444e-05,6.879650754854083e-06,320,10
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,AdamW,1e-05,SGD,1e-05,3,0.5270758122743683,0.6933965785162789,0.6954360399304366,4.712267582362983e-06,5.050776962889358e-06,3.385095226349222e-07,82,10
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,AdamW,1e-05,SGD,1e-05,4,0.5270758122743683,0.6934535997254508,0.6873231717435326,1.6059901099652052e-05,1.656997119425796e-05,5.100701514493267e-07,205,10
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,AdamW,1e-05,SGD,1e-05,5,0.5270758122743683,0.6930626256125314,0.7097080944514855,1.967699790839106e-05,2.7687525289366025e-05,8.010528290469665e-06,164,10
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,AdamW,1e-05,SGD,1e-05,6,0.5270758122743683,0.692978390625545,0.6740473891608417,3.72244380741904e-06,6.694181593047688e-06,2.9717377856286475e-06,320,10
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,AdamW,1e-05,SGD,1e-05,7,0.5270758122743683,0.6928318738937378,0.6985179156791874,4.520054972090293e-06,4.993171387468465e-06,4.731161880044965e-07,82,10
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,AdamW,1e-05,SGD,1e-05,8,0.5270758122743683,0.6926637240818568,0.6844316126660603,1.617794441699516e-05,1.6332869563484564e-05,1.5492432225983066e-07,205,10
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,AdamW,1e-05,SGD,1e-05,9,0.5270758122743683,0.6924524732998439,0.688080894438232,1.814257848309353e-05,1.8771388567984104e-05,6.288092890827102e-07,164,10
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,AdamW,1e-05,SGD,1e-05,10,0.5270758122743683,0.6921894260815211,0.6896625170308953,2.630176823004149e-05,2.8214248231961392e-05,1.9124809114146046e-06,287,10
