,Unnamed: 0,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adam,1e-05,SGD,1e-05,1,0.5270758122743683,0.6926826017243521,0.7184510876492756,1.253646814802778e-06,1.8971053350469449e-06,6.434585202441667e-07,41
1,1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adam,1e-05,SGD,1e-05,2,0.5270758122743683,0.6931494201932634,0.6735925072804093,3.201662821084028e-06,1.0081316759169567e-05,6.879653938085539e-06,320
2,2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adam,1e-05,SGD,1e-05,3,0.5270758122743683,0.6933965870312282,0.6954360426926032,4.712361715064617e-06,5.050894742453238e-06,3.3853308423204e-07,82
3,3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adam,1e-05,SGD,1e-05,4,0.5270758122743683,0.6934535162789481,0.687323298221681,1.6050709746195935e-05,1.6557969502173364e-05,5.072589601695654e-07,205
4,4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adam,1e-05,SGD,1e-05,5,0.5270758122743683,0.6930621147155762,0.709708184730716,1.9675553630804643e-05,2.7685557142831385e-05,8.010003512026742e-06,164
5,5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adam,1e-05,SGD,1e-05,6,0.5270758122743683,0.6929752400943211,0.674047267884016,3.727360990524176e-06,6.700128778902581e-06,2.9727677883784054e-06,320
6,6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adam,1e-05,SGD,1e-05,7,0.5270758122743683,0.6928261297089713,0.6985118499616298,4.517894922173582e-06,4.990443812857848e-06,4.725490327928128e-07,82
7,7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adam,1e-05,SGD,1e-05,8,0.5270758122743683,0.6926579560552325,0.6844335829630128,1.6177316865650937e-05,1.633213832974434e-05,1.5482174831049633e-07,205
8,8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adam,1e-05,SGD,1e-05,9,0.5270758122743683,0.6924441354615348,0.688080404953259,1.812652772059664e-05,1.875390807981603e-05,6.273812118706701e-07,164
9,9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adam,1e-05,SGD,1e-05,10,0.5270758122743683,0.6921703900609698,0.689660646026558,2.6297979275113903e-05,2.8208387448103167e-05,1.9104079456155887e-06,287
10,10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adam,1e-05,SGD,1e-05,11,0.5270758122743683,0.6918552075113569,0.6910748738195838,2.6404948584968224e-05,2.8539476261357777e-05,2.134527903763228e-06,205
11,11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,Adam,1e-05,SGD,1e-05,12,0.5270758122743683,0.6915856940405709,0.6835136578888842,3.1774114177096635e-05,3.194406963302754e-05,1.6995592488910918e-07,287
