,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,0.9,0.1,SGD,0.001,1,0.5270758122743683,0.6925339273044041,0.6428432876017036,0.0023473040200769,0.0033776664640754,0.0010303625604137,41,10
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,0.9,0.1,SGD,0.001,2,0.5270758122743683,0.6922437259129115,0.6650990523491055,0.0015029668575152,0.0027893087826669,0.0012863419251516,320,10
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,0.9,0.1,SGD,0.001,3,0.5270758122743683,0.6918208088193621,0.6408843660499992,0.0024588976521044,0.0026341713964939,0.0001752738462528,41,10
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,0.9,0.1,SGD,0.001,4,0.5270758122743683,0.6916013598442078,0.651105677020259,0.0046989098191261,0.0060117738321423,0.0013128641294315,410,10
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,0.9,0.1,SGD,0.001,5,0.5270758122743683,0.6913901669638497,0.6372879798819379,0.0024724402464926,0.0033963478635996,0.0009239075588993,41,10
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,0.9,0.1,SGD,0.001,6,0.5270758122743683,0.6914208241871425,0.6685175354778766,0.0022439444437623,0.0039015603251755,0.0016576158814132,320,10
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,0.9,0.1,SGD,0.001,7,0.5270758122743683,0.6915567091533116,0.6377404690515703,0.0023240235168486,0.002414965070784,9.094148845179006e-05,41,10
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,0.9,0.1,SGD,0.001,8,0.5270758122743683,0.6916313835552761,0.6452532596995189,0.0064338049851357,0.0084060747176408,0.001972269732505,410,10
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,0.9,0.1,SGD,0.001,9,0.5270758122743683,0.6915252821786063,0.6213700957051138,0.0036886371672153,0.0042425650171935,0.0005539277335628,164,10
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,0.9,0.1,SGD,0.001,10,0.5270758122743683,0.6911698307309831,0.6529540389231066,0.0051403734833002,0.0066284672357141,0.0014880939852446,328,10
