,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,1,0.4729241877256318,0.7018089720181057,0.6428432876017036,0.0023473040200769,0.0033776664640754,0.0010303625604137,41,10
1,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,2,0.5270758122743683,0.7062545146260942,0.6663564508222043,0.0025733858346939,0.0058973929844796,0.0033240071497857,320,10
2,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,3,0.5270758122743683,0.6914761049406869,0.644550343257625,0.0024539651349186,0.0032439378555864,0.0007899727206677,41,10
3,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,4,0.5270758122743683,0.6938324809074402,0.6486926647802679,0.0061784167774021,0.0080746440216898,0.0018962272442877,410,10
4,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,5,0.4729241877256318,0.7123640043394907,0.6108640774963348,0.0034309159964323,0.0048855454660952,0.0014546293532475,123,10
5,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,6,0.5270758122743683,0.7051767127854484,0.6628102256264538,0.0053313276730477,0.0097897974774241,0.0044584698043763,320,10
6,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,7,0.5523465703971119,0.6912946207182747,0.6358169551302747,0.0053393552079796,0.0069519104436039,0.0016125552356243,41,10
7,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,8,0.5451263537906137,0.6891368235860552,0.6105729454755784,0.0262911897152662,0.0404491871595382,0.014157997444272,410,10
8,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,9,0.6064981949458483,0.6669390286718097,0.5596991968954481,0.0151087269186973,0.0211352538317441,0.0060265273787081,164,10
9,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,10,0.6245487364620939,0.6646524642195021,0.5934312226326484,0.0212824866175651,0.0281643960624933,0.0068819103762507,123,10
10,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,11,0.6462093862815884,0.6370369485446385,0.5073728157906996,0.036311499774456,0.0526711009442806,0.0163595993071794,205,10
11,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,12,0.6570397111913358,0.7670005253383092,0.5257118942170609,0.0377068817615509,0.0513193011283874,0.0136124193668365,164,10
12,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,13,0.6714801444043321,0.7731677672692707,0.4909498734865337,0.0462124161422252,0.0621389411389827,0.0159265249967575,160,10
13,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,14,0.6750902527075813,0.6236885394368853,0.4316183728461221,0.0548584014177322,0.0727019160985946,0.0178435146808624,164,10
14,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,15,0.6859205776173285,0.8424442759581975,0.3979314286075532,0.0686909556388855,0.0894215926527977,0.0207306370139122,160,10
15,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,16,0.7328519855595668,0.5815493600709097,0.3880106783312995,0.0763835161924362,0.0985915213823318,0.0222080033272504,164,10
16,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,17,0.7292418772563177,0.7493252103882176,0.2946669057602199,0.1093256250023841,0.1413324326276779,0.0320068076252937,205,10
17,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,18,0.7328519855595668,0.7107388153672218,0.3239328879345117,0.1284948885440826,0.1652252972126007,0.0367304012179374,205,10
18,roberta-base,glue,rte,2,10,5,1.0,8,1,250,True,1.0,,SGD,1.0,SGD,0.001,19,0.703971119133574,1.0015720462160451,0.261260361491198,0.1319646835327148,0.1688948720693588,0.0369301959872245,192,10
