,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,rte,2,10,5,1.0,8,5,250,False,0.0,,Adam,1e-05,SGD,1e-05,1,0.5270758122743683,0.6924948487962995,0.7090821672648918,2.934666736109648e-05,4.390708636492491e-05,1.4560419003828429e-05,205,-1
1,roberta-base,glue,rte,2,10,5,1.0,8,5,250,False,0.0,,Adam,1e-05,SGD,1e-05,2,0.5270758122743683,0.6921877316066197,0.6739495092630388,9.750303888722556e-07,3.1097604278329527e-06,2.134730038960697e-06,160,-1
2,roberta-base,glue,rte,2,10,5,1.0,8,5,250,False,0.0,,Adam,1e-05,SGD,1e-05,3,0.5270758122743683,0.6918757132121495,0.6905456177199759,2.7881293135578744e-05,2.960051097034011e-05,1.7192170389535022e-06,205,-1
3,roberta-base,glue,rte,2,10,5,1.0,8,5,250,False,0.0,,Adam,1e-05,SGD,1e-05,4,0.5270758122743683,0.6916671514511108,0.6876186062649983,1.6326359400409274e-05,1.6435667930636555e-05,1.093085089109991e-07,205,-1
4,roberta-base,glue,rte,2,10,5,1.0,8,5,250,False,0.0,,Adam,1e-05,SGD,1e-05,5,0.5270758122743683,0.691422278540475,0.6986705219454882,2.987897460116073e-05,3.805290543823503e-05,8.173929927579593e-06,205,-1
5,roberta-base,glue,rte,2,10,5,1.0,8,5,250,False,0.0,,Adam,1e-05,SGD,1e-05,6,0.5270758122743683,0.6913138066019331,0.6812977721542121,9.260716069547924e-07,3.2358675525756557e-06,2.3097959456208628e-06,160,-1
6,roberta-base,glue,rte,2,10,5,1.0,8,5,250,False,0.0,,Adam,1e-05,SGD,1e-05,7,0.5270758122743683,0.6912194337163653,0.6887750488374291,2.636956560309045e-05,2.7348116418579597e-05,9.785503607417922e-07,205,-1
7,roberta-base,glue,rte,2,10,5,1.0,8,5,250,False,0.0,,Adam,1e-05,SGD,1e-05,8,0.5270758122743683,0.6911513209342957,0.685934967587634,1.7157753973151557e-05,1.7427453713025898e-05,2.697000240914349e-07,205,-1
8,roberta-base,glue,rte,2,10,5,1.0,8,5,250,False,0.0,,Adam,1e-05,SGD,1e-05,9,0.5270758122743683,0.6910890936851501,0.6847869571825352,2.805869917210657e-05,2.8155225663795136e-05,9.652737276155676e-08,205,-1
9,roberta-base,glue,rte,2,10,5,1.0,8,5,250,False,0.0,,Adam,1e-05,SGD,1e-05,10,0.5270758122743683,0.6910295963287354,0.6892964478818382,1.4259010640671477e-05,1.434498426533537e-05,8.597371703444878e-08,205,-1
10,roberta-base,glue,rte,2,10,5,1.0,8,5,250,False,0.0,,Adam,1e-05,SGD,1e-05,11,0.5270758122743683,0.6909717781203134,0.6873699333609604,2.867431248887442e-05,2.921844134107232e-05,5.44129420632089e-07,205,-1
11,roberta-base,glue,rte,2,10,5,1.0,8,5,250,False,0.0,,Adam,1e-05,SGD,1e-05,12,0.5270758122743683,0.690913370677403,0.6841818100068627,1.7721076801535673e-05,1.802777114789933e-05,3.06694857954426e-07,205,-1
12,roberta-base,glue,rte,2,10,5,1.0,8,5,250,False,0.0,,Adam,1e-05,SGD,1e-05,13,0.5270758122743683,0.6908265573637826,0.6826655377447606,1.3411977306532208e-06,3.866627594106831e-06,2.52542986345361e-06,160,-1
