,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,1,0.4988532110091743,0.6847718193990375,0.4547697996888239,0.013217166066169739,0.01498801726847887,0.001770851667970419,1320
1,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,2,0.7396788990825688,0.5898520766390026,0.27373355780678776,0.011571602895855904,0.01915600895881653,0.007584406528621912,1320
2,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,3,0.9002293577981652,0.35597292449188617,0.17308114543557165,0.01427855808287859,0.020865699276328087,0.006587141193449497,1320
3,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,4,0.9139908256880734,0.29480353623645705,0.12499601940659695,0.01707247644662857,0.02059311978518963,0.0035206428728997707,1320
4,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,5,0.926605504587156,0.2701393531127021,0.07347978312086498,0.009990050457417965,0.011403153650462627,0.001413103542290628,1320
5,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,6,0.8761467889908257,0.4785513394478059,0.07698573063349945,0.011288592591881752,0.013073672540485859,0.001785079948604107,1320
6,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,7,0.9334862385321101,0.230806753774165,0.12320074337813298,0.018316244706511497,0.021325726062059402,0.0030094811227172613,1320
7,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,8,0.930045871559633,0.26793961636636643,0.10399544293085591,0.016337962821125984,0.01875142566859722,0.002413463080301881,1320
8,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,9,0.9254587155963303,0.2577064442768727,0.08219517433269755,0.014394177123904228,0.0161980539560318,0.001803876948542893,1320
9,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,10,0.9231651376146789,0.29156635040011464,0.0810923190853756,0.013820385560393333,0.015643959864974022,0.0018235747702419758,1320
10,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,11,0.9197247706422018,0.3090285465608291,0.06345992122949666,0.01288280263543129,0.01442550029605627,0.0015426971949636936,1320
