,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,1,0.49311926605504586,0.686553635181637,0.4547697996888239,0.013217166066169739,0.01498801726847887,0.001770851667970419,1320
1,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,2,0.6387614678899083,0.6053574929406883,0.27557700598174983,0.011519592255353928,0.01904677413403988,0.007527181878685951,1320
2,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,3,0.8990825688073395,0.33662137621586474,0.18884682140108477,0.013573132455348969,0.02303222566843033,0.00945909321308136,1320
3,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,4,0.9151376146788991,0.3834678633266701,0.135670554554866,0.017491713166236877,0.021364014595746994,0.003872301196679473,1320
4,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,5,0.930045871559633,0.3274198094983115,0.08608666959126961,0.013438964262604713,0.015791455283761024,0.0023524907883256674,1320
5,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,6,0.9208715596330275,0.3088941262488108,0.08472719918429379,0.014083418995141983,0.01704387553036213,0.002960456069558859,1320
6,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,7,0.926605504587156,0.2758237489439342,0.12116170143890266,0.0186237171292305,0.021540233865380287,0.002916517201811075,1320
7,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,8,0.9288990825688074,0.24411515182806948,0.10304171014106638,0.015440014190971851,0.018207043409347534,0.002767029218375683,1320
8,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,9,0.9277522935779816,0.26218997882016926,0.0795880659514329,0.013120830059051514,0.015002473257482052,0.00188164331484586,1320
9,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,10,0.9254587155963303,0.3127489286424686,0.0791020354205499,0.013211756944656372,0.01511271484196186,0.0019009578973054886,1320
10,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,11,0.9174311926605505,0.37983364696772515,0.05856038996334202,0.011937560513615608,0.013483310118317604,0.0015457497211173177,1320
11,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,12,0.9254587155963303,0.34456349063425434,0.06340579607966487,0.012151533737778664,0.01401387806981802,0.001862344448454678,1320
12,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,13,0.926605504587156,0.31602983285807534,0.038425563295884674,0.00882449559867382,0.009926601313054562,0.0011021060636267066,1320
13,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,14,0.9311926605504587,0.29866074632165457,0.04446239616811164,0.010902863927185535,0.012406633235514164,0.001503769657574594,1320
14,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,15,0.9357798165137615,0.2852482332657369,0.0372847938317533,0.009128749370574951,0.010319055058062077,0.0011903056874871254,1320
15,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,16,0.9323394495412844,0.2881588427552317,0.04447536561428988,0.009786168113350868,0.0110916243866086,0.001305455924011767,1320
16,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,17,0.9288990825688074,0.30320553700097863,0.04724552347445834,0.010179592296481133,0.011564793065190315,0.0013852010015398264,1320
17,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,18,0.9311926605504587,0.3139159301271312,0.04460244664742112,0.010236810892820358,0.011537648737430573,0.0013008380774408579,1320
18,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,19,0.9357798165137615,0.30129220735852036,0.04791848542939216,0.010658780112862587,0.0121614346280694,0.0015026541659608483,1320
19,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,AdamW,0.0001,SGD,0.0001,20,0.9392201834862385,0.293046717809934,0.037241066802908986,0.008345386013388634,0.009318863973021507,0.0009734781924635172,1320
