,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,1,0.8944954128440367,0.3067860778318633,0.3529915310719022,0.16807344555854797,0.26697608828544617,0.0989026352763176,1320
1,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,2,0.8807339449541285,0.37045184230654066,0.1440686299566049,0.3528592586517334,0.43967899680137634,0.08681973814964294,1320
2,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,3,0.9162844036697247,0.26657191838283056,0.12974662504687193,0.5193057656288147,0.6232835054397583,0.10397771745920181,1320
3,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,4,0.9231651376146789,0.25422780959730235,0.10553643034734486,0.5067256093025208,0.5860813856124878,0.07935577630996704,1320
4,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,5,0.9139908256880734,0.32084046642150765,0.049694888298163827,0.28525984287261963,0.32067835330963135,0.03541851043701172,1320
5,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,6,0.8612385321100917,0.6280525123760309,0.05471137706376876,0.33072948455810547,0.373037725687027,0.04230823367834091,1320
6,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,7,0.9254587155963303,0.2771672951420684,0.08930860272404528,0.49456071853637695,0.5624863505363464,0.06792563199996948,1320
7,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,8,0.9277522935779816,0.3056452896250006,0.07755316079102736,0.49012255668640137,0.554215133190155,0.06409257650375366,1320
8,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,9,0.9254587155963303,0.3437645305105626,0.05762947573009695,0.3646603524684906,0.4097972512245178,0.045136887580156326,1320
9,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,10,0.9139908256880734,0.37093705871332555,0.057077770703978216,0.3750276267528534,0.42126867175102234,0.046241044998168945,1320
10,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,11,0.9128440366972477,0.39749500536495486,0.052676672871009834,0.36796194314956665,0.4126417338848114,0.044679783284664154,1320
11,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,12,0.9357798165137615,0.27853688875527266,0.05620559436274396,0.3552834391593933,0.4004085659980774,0.04512513428926468,1320
12,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,13,0.9139908256880734,0.3988485540904974,0.0308616168952446,0.24442967772483826,0.27372869849205017,0.029299015179276466,1320
13,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,14,0.9288990825688074,0.34136667844242363,0.045451861141927744,0.3700672388076782,0.41517767310142517,0.04511043429374695,1320
14,roberta-base,glue,sst2,2,100,10,1.0,8,15,-1,200,False,0.0,,SGD,1.0,SGD,0.001,15,0.9403669724770642,0.2754707606645502,0.041315813552728016,0.30839452147483826,0.3457717001438141,0.03737717866897583,1320
