,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,1,0.4908256880733945,0.705612155822439,0.6131550418382341,0.0010036120656877756,0.0010158477816730738,1.2235770554980263e-05,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,2,0.5091743119266054,0.6996303403049434,0.4835484590275551,0.008326553739607334,0.010530870407819748,0.0022043169010430574,352
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,3,0.5091743119266054,0.7150686254741949,0.48366048981544435,0.008682513609528542,0.011029942892491817,0.0023474288173019886,1232
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,4,0.5951834862385321,0.689351259021584,0.49034904859833084,0.004401529207825661,0.005147249903529882,0.0007457209285348654,352
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,5,0.4908256880733945,0.7344887445279218,0.3154208156712014,0.00798067171126604,0.008849460631608963,0.0008687892695888877,440
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,6,0.5103211009174312,0.8658143664035228,0.25491460187446824,0.009226074442267418,0.021986810490489006,0.012760736048221588,1232
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,7,0.8853211009174312,0.4243043806711468,0.28862755046310773,0.004866431467235088,0.011931370943784714,0.007064939476549625,616
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,8,0.9048165137614679,0.3382720785822138,0.25287446628578686,0.005614137277007103,0.00780872767791152,0.002194590400904417,440
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,9,0.9139908256880734,0.24375450976808136,0.17517443961471804,0.008722681552171707,0.0112868407741189,0.002564159454777837,704
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,10,0.9162844036697247,0.2202121673339824,0.14562944775324224,0.009012268856167793,0.011051072739064693,0.002038803417235613,880
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,11,0.8360091743119266,0.4385622258580059,0.15490338158101197,0.0065809693187475204,0.008330652490258217,0.0017496829386800528,704
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,12,0.893348623853211,0.3142444197165378,0.1612298565345885,0.006518363021314144,0.008545014075934887,0.0020266512874513865,704
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,13,0.9059633027522935,0.33663981767166234,0.08781483822034884,0.0062812622636556625,0.0072494568303227425,0.0009681947412900627,880
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,14,0.9059633027522935,0.33487606134400233,0.1451443903877755,0.004786037839949131,0.005966028664261103,0.0011799908243119717,528
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,15,0.9197247706422018,0.24570096827030968,0.12295873747291355,0.0061121657490730286,0.007215700577944517,0.001103534596040845,704
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,16,0.908256880733945,0.24613989560668348,0.11189463716287269,0.0057724290527403355,0.006758031435310841,0.0009856022661551833,792
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,17,0.8956422018348624,0.292088704508379,0.13667496553933817,0.00520704872906208,0.006210078485310078,0.001003029989078641,704
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,18,0.9151376146788991,0.2689043537141123,0.12298693146511408,0.0050418684259057045,0.005927484016865492,0.0008856154163368046,704
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,19,0.9185779816513762,0.22720495928313855,0.14533911484260853,0.00460076704621315,0.005460139364004135,0.0008593722013756633,616
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,20,0.926605504587156,0.20993579962876105,0.1075640685066896,0.004661120008677244,0.005469400901347399,0.0008082808344624937,704
20,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,21,0.9243119266055045,0.20637883551828906,0.10943196832887037,0.004670265596359968,0.0053336904384195805,0.0006634247256442904,704
21,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,22,0.9036697247706422,0.2774766438785906,0.11675477901103244,0.004329189192503691,0.0050145406275987625,0.00068535131867975,616
22,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,23,0.9174311926605505,0.27086030868834754,0.10494844512329304,0.004894749727100134,0.005838691722601652,0.0009439418208785355,704
23,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,24,0.9243119266055045,0.2849337856112787,0.08770540364034529,0.004576603416353464,0.005325866863131523,0.0007492635049857199,704
24,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,25,0.9243119266055045,0.27085068340131846,0.08408464953826497,0.004343606531620026,0.005304740276187658,0.0009611336281523108,616
25,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,26,0.8967889908256881,0.4132549323332752,0.1102772806746221,0.005057523958384991,0.00604413403198123,0.0009866103064268827,616
26,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,27,0.8967889908256881,0.3921243481406378,0.12638406524414553,0.005903502926230431,0.006975993048399687,0.0010724901221692562,704
27,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,28,0.9059633027522935,0.3520922885370364,0.0811891644642339,0.005652233026921749,0.006374263670295477,0.0007220305851660669,880
28,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,29,0.930045871559633,0.21292045273830892,0.08209102444229874,0.004029113333672285,0.004837560933083296,0.000808447424788028,704
29,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,30,0.9334862385321101,0.21244994468277817,0.11049666094554444,0.003994196653366089,0.0047956304624676704,0.0008014339837245643,616
30,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,31,0.9094036697247706,0.3142793700147053,0.06899873688695127,0.004434320610016584,0.005229967180639505,0.0007956466870382428,792
31,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,32,0.8784403669724771,0.4455422114727991,0.08772258284445326,0.0039894236251711845,0.0045087928883731365,0.000519369263201952,616
32,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,33,0.9139908256880734,0.3269308240862068,0.0808025758761693,0.0043749725446105,0.005120838992297649,0.00074586650589481,616
33,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,34,0.926605504587156,0.2571981584745643,0.06719304405513198,0.004494751337915659,0.005025794729590416,0.0005310433334670961,704
34,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,35,0.930045871559633,0.21882539326186215,0.1040669617035622,0.00450632069259882,0.005235379561781883,0.0007290586945600808,616
35,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,36,0.9334862385321101,0.22169890145930343,0.08873040319311475,0.004618242848664522,0.0055740708485245705,0.0009558278834447265,704
36,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,37,0.9380733944954128,0.23096465303641617,0.08565486590071755,0.00450208131223917,0.005297779571264982,0.0007956980261951685,704
37,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,38,0.9380733944954128,0.25222648354954785,0.07380757314834754,0.004440768156200647,0.0051873610354959965,0.0007465928792953491,704
38,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,0.9,1.0,SGD,0.0001,39,0.9392201834862385,0.26061566362230626,0.09322526824384125,0.004002837464213371,0.004660706967115402,0.00065786944469437,528
