,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,1,0.4908256880733945,0.7112812120980079,0.4763949740667489,0.012285305187106133,0.013488157652318478,0.0012028521159663796,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,2,0.5837155963302753,0.591098305008827,0.2781669738798085,0.09993383288383484,0.14813989400863647,0.048206061124801636,968
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,3,0.8646788990825688,0.3567223678761666,0.3341353680608638,0.07567726075649261,0.09732517600059509,0.021647917106747627,264
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,4,0.9059633027522935,0.2606694836237835,0.24876220523949466,0.1812899261713028,0.22449319064617157,0.043203264474868774,528
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,5,0.908256880733945,0.29325910543578615,0.09891475419083219,0.2197481393814087,0.25805899500846863,0.03831084817647934,968
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,6,0.8394495412844036,0.5582490199450574,0.1325007773004031,0.14036084711551666,0.1607053279876709,0.020344477146863937,528
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,7,0.9208715596330275,0.21233400309441286,0.2107862715097144,0.1957784742116928,0.22581343352794647,0.03003496490418911,440
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,8,0.9288990825688074,0.233178246176776,0.16577435421130018,0.30476921796798706,0.3492206931114197,0.04445148631930351,704
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,9,0.926605504587156,0.2292020723176693,0.12154453491773236,0.27034977078437805,0.3067609369754791,0.03641115874052048,704
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,10,0.9139908256880734,0.2813624211206793,0.10004483652864102,0.25108829140663147,0.28402504324913025,0.03293674439191818,792
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,11,0.9105504587155964,0.29952131401119464,0.11655999216804272,0.21079976856708527,0.23668240010738373,0.025882627815008163,528
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,12,0.9288990825688074,0.2516935160949638,0.10935459318447183,0.24911771714687347,0.2821691334247589,0.033051420003175735,704
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,13,0.9059633027522935,0.3713791052551316,0.045817973336743784,0.22978365421295166,0.25956135988235474,0.029777713119983673,1232
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,14,0.9151376146788991,0.28029271797597444,0.12052813909390762,0.13075754046440125,0.1471039354801178,0.01634640246629715,352
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,15,0.9334862385321101,0.25057394342249206,0.07485676217624167,0.2374076545238495,0.2670665979385376,0.029658939689397812,792
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,16,0.9094036697247706,0.33115129828679485,0.07379136422570229,0.2009812593460083,0.22561073303222656,0.02462947741150856,704
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,17,0.9277522935779816,0.24069155870462605,0.1007667852905136,0.17659103870391846,0.19787690043449402,0.02128586918115616,528
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,18,0.9323394495412844,0.24640397773094372,0.07946596538534904,0.21838946640491486,0.24473750591278076,0.026348045095801353,704
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,19,0.9323394495412844,0.22588811262826855,0.105074238236772,0.1948116421699524,0.21810702979564667,0.023295393213629723,528
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,20,0.9277522935779816,0.29167842697870167,0.0498685090418831,0.2465924322605133,0.2768811285495758,0.030288690701127052,1056
20,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,21,0.9334862385321101,0.2510096911237353,0.07440971104842906,0.14716652035713196,0.16398654878139496,0.016820034012198448,528
21,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,22,0.9243119266055045,0.2915695963508595,0.0754843087492214,0.1865151822566986,0.20833349227905273,0.021818311884999275,616
22,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,23,0.9311926605504587,0.24619834939575405,0.06324167161812756,0.19453081488609314,0.21805396676063538,0.023523150011897087,704
23,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,24,0.9288990825688074,0.24392419911220398,0.05283956550533521,0.18259911239147186,0.20395950973033905,0.02136039547622204,704
24,roberta-base,glue,sst2,2,100,10,1.0,8,1,14,200,True,0.0,,SGD,1.0,SGD,0.001,25,0.9139908256880734,0.34108366566889603,0.05392653442819747,0.1686633825302124,0.1892610788345337,0.020597700029611588,704
