,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,1,0.4908256880733945,0.7269376565557008,0.6700091351162303,1.5155747860262636e-05,1.5225307834043631e-05,6.955972509103958e-08,88,-1
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,2,0.5894495412844036,0.6910395594911838,0.7642529072070665,2.4426080926787108e-05,3.4916563890874386e-05,1.0490482054592576e-05,88,-1
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,3,0.4908256880733945,0.6987164523623405,0.6933974098752845,1.5873261872911826e-05,1.7143856894108467e-05,1.2705952485703165e-06,88,-1
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,4,0.4908256880733945,0.6936507099265352,0.6884574625302445,1.409755896020215e-05,1.439414972992381e-05,2.965906844565325e-07,88,-1
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,5,0.4908256880733945,0.6907799615772492,0.6749375827610492,2.178949762310367e-05,2.1806545191793703e-05,1.7048174427714002e-08,88,-1
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,6,0.5091743119266054,0.6852296973587176,0.7168125798079101,9.87418297881959e-06,2.4204206056310795e-05,1.4330023077491203e-05,88,-1
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,7,0.7752293577981652,0.6842532803159241,0.6906615984033454,1.6662241250742227e-05,1.8049997379421256e-05,1.387756356052705e-06,88,-1
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,8,0.7981651376146789,0.6769778367576249,0.6796617470004342,1.075219188351184e-05,1.0915642633335663e-05,1.6345090614322546e-07,88,-1
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,9,0.5091743119266054,0.658753083933384,0.6682925979522141,1.28725132526597e-05,1.618820897419937e-05,3.315695948913344e-06,88,-1
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,10,0.6123853211009175,0.601519782882218,0.6338712601499125,1.8502121747587807e-05,1.942550989042502e-05,9.233888249582378e-07,88,-1
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,11,0.5091743119266054,1.264327547145546,0.5500336001881143,1.5347732187365182e-05,3.46396082022693e-05,1.929187601490412e-05,88,-1
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,12,0.5091743119266054,0.6967730904937884,1.4768148189071906,4.934915341436863e-05,0.000252942321822,0.0002035931684076,88,-1
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,13,0.5091743119266054,0.6879254574075752,0.6670150736516172,2.9716878998442556e-05,2.9907236239523627e-05,1.90356786333723e-07,88,-1
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,14,0.5091743119266054,0.673811008077149,0.6506000285121527,2.8302427381277084e-05,2.8673914130195044e-05,3.714869762916351e-07,88,-1
