,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,1,0.4908256880733945,1.7728847027371784,0.6700091351162303,1.5155747860262636e-05,1.5225307834043633e-05,6.955972509103958e-08,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,2,0.5091743119266054,1.1107178610672646,1.4063230921345,0.00021479636779986322,0.0006810465711168945,0.00046625020331703126,88
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,3,0.4908256880733945,1.07559111003482,1.3784822385504163,3.816392563749105e-05,0.00012361786502879113,8.545393939130008e-05,88
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,4,0.5091743119266054,1.1336234500375362,0.9124400513246655,5.749268166255206e-05,0.00011211350647499785,5.462082481244579e-05,88
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,5,0.4908256880733945,0.7689599277229484,1.0136427889747375,9.052187670022249e-05,0.00016688642790541053,7.636455120518804e-05,88
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,6,0.5091743119266054,0.7298562920421635,1.0782577612521973,3.426926923566498e-06,1.6288229744532146e-05,1.2861302820965648e-05,88
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,7,0.5091743119266054,0.6959271091933644,0.7955146955156868,2.6505679215915734e-06,4.319453182688449e-06,1.6688852610968752e-06,88
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,8,0.5091743119266054,0.6940744612195077,0.6970425114712933,9.61933983489871e-06,1.0300814210495446e-05,6.81474205066479e-07,88
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,9,0.5091743119266054,0.7003337374520958,0.6711541010574862,4.244175670464756e-06,4.5984156713529956e-06,3.54240029309949e-07,88
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,10,0.5091743119266054,0.6978063856789826,0.6808548921888524,3.7776899262098595e-06,3.821121026703622e-06,4.343104365034378e-08,88
