,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,1,0.4908256880733945,0.7054160182629157,0.6110270930623467,0.0010277529945597,0.0010400653118267,1.2312351827858947e-05,88,-1
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,2,0.4908256880733945,0.7021202494245057,0.6197319235991349,0.0014282884076237,0.0017710402607917,0.0003427517949603,88,-1
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,3,0.4908256880733945,0.7023867264800115,0.6165045784617013,0.0010278577683493,0.0010348327923566,6.97500900059822e-06,88,-1
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,4,0.4908256880733945,0.7014535731131878,0.6206195951862769,0.0011535902740433,0.001191706280224,3.811599162872881e-05,88,-1
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,5,0.4908256880733945,0.7013193336101847,0.5677872881970621,0.0017980255652219,0.0018187629757449,2.0737445083796047e-05,88,-1
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,6,0.4908256880733945,0.6978459090267847,0.6249493871900168,0.0008003709372133,0.0021248152479529,0.0013244443107396,88,-1
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,7,0.4908256880733945,0.6970999027610919,0.6340807332572612,0.0009027440682984,0.0009388076141476,3.606352402130142e-05,88,-1
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,8,0.4908256880733945,0.6966557098091195,0.6275435739958828,0.0009390086634084,0.0009485346381552,9.525992027192842e-06,88,-1
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,9,0.4908256880733945,0.6944359333143322,0.612652829120105,0.0011300427140668,0.0015668243868276,0.0004367817018646,88,-1
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,10,0.4908256880733945,0.6924292576422385,0.5919383590532974,0.0014597920235246,0.0017192503437399,0.0002594582620076,88,-1
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,11,0.5229357798165137,0.6895776948797594,0.6023764260451901,0.0009464091854169,0.0016352821839973,0.0006888729985803,88,-1
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,12,0.4942660550458715,0.689686624281997,0.5928209071470933,0.0010681711137294,0.0013791325036436,0.0003109614190179,88,-1
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,13,0.6192660550458715,0.686118644858719,0.497383431548422,0.0022805985063314,0.0026328086387366,0.0003522102197166,88,-1
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,14,0.6146788990825688,0.6827215311724112,0.5319472770968622,0.0015288135036826,0.0018124564085155,0.0002836429630406,88,-1
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,15,0.6181192660550459,0.6801064708910951,0.527594288353893,0.001588816056028,0.0017348984256386,0.0001460823550587,88,-1
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,16,0.5240825688073395,0.6792832853597238,0.4649913955225863,0.0015320684760808,0.0019399632001295,0.0004078947531525,88,-1
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,17,0.5263761467889908,0.6762989863343195,0.5234201782891019,0.0012608835240826,0.0013897087192162,0.0001288251805817,88,-1
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,18,0.5298165137614679,0.6736821406478182,0.5077852297235619,0.0012384909205138,0.0013702936703339,0.0001318027789238,88,-1
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,19,0.5837155963302753,0.669122793258877,0.5273816149935804,0.0010866792872548,0.0013072321889922,0.0002205528726335,88,-1
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,20,0.5630733944954128,0.6662325629400551,0.44701296440749,0.0014634045073762,0.0016853840788826,0.0002219795860582,88,-1
20,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,21,0.5974770642201835,0.6616192339757166,0.4804044407538392,0.0011846687411889,0.0014643970644101,0.000279728352325,88,-1
21,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,22,0.6055045871559633,0.6576700451177194,0.4873840336772528,0.0010019936598837,0.0011277195299044,0.0001257258263649,88,-1
22,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,23,0.7075688073394495,0.6521649737970545,0.5001537573862482,0.0009324238635599,0.0014080014079809,0.0004755775444209,88,-1
23,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,24,0.7098623853211009,0.6501516896650332,0.4372047451578758,0.001071473234333,0.0017250955570489,0.0006536223227158,88,-1
24,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,25,0.6869266055045872,0.6435964512168815,0.387405073498799,0.001225663931109,0.0015022876905277,0.0002766237594187,88,-1
25,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,26,0.6055045871559633,0.6400800090317332,0.4733193078078329,0.0007260198472067,0.0008729731780476,0.000146953316289,88,-1
26,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,27,0.643348623853211,0.6285266744981118,0.5159248213368384,0.0006200866773724,0.0007721175788901,0.0001520309015177,88,-1
27,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,28,0.5481651376146789,0.6377984640795157,0.3659612369511954,0.0008160161669366,0.0010630240431055,0.0002470078761689,88,-1
28,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,29,0.625,0.6171416366865875,0.3895462710071694,0.0010752658126875,0.0014709894312545,0.0003957236185669,88,-1
29,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,30,0.569954128440367,0.6214870110564276,0.4273369427431713,0.000494394917041,0.0007165631395764,0.0002221682370873,88,-1
30,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,31,0.5458715596330275,0.6278120451564089,0.3519481212578036,0.0008288660319522,0.0010159404482692,0.0001870744454208,88,-1
31,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,32,0.6020642201834863,0.5997463872126483,0.4277342532888394,0.0007313888054341,0.0009872451191768,0.0002558563137426,88,-1
32,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,33,0.6353211009174312,0.5831385208379238,0.3937971188305793,0.0007113817264325,0.0009597326861694,0.0002483509597368,88,-1
33,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,34,0.6651376146788991,0.5704298979098644,0.312245700626888,0.0009389481274411,0.0011998408008366,0.0002608926442917,88,-1
34,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,35,0.7327981651376146,0.5368872440736229,0.4038588454354216,0.0006477081333287,0.0010087800910696,0.0003610719577409,88,-1
35,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,36,0.8176605504587156,0.501657927255018,0.3931444925764068,0.0006188316619955,0.0011106472229585,0.000491815560963,88,-1
36,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,37,0.8142201834862385,0.488077384342841,0.3650481361049142,0.0006187018589116,0.0009542230400256,0.000335521181114,88,-1
