,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,1,0.4908256880733945,0.7039237771559199,0.47218662931223987,0.0123992208391428,0.013635322451591492,0.0012361016124486923,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,2,0.4908256880733945,0.7018405067811319,0.3911572395866229,0.015543588437139988,0.020477600395679474,0.004934011958539486,88
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,3,0.4908256880733945,0.7026157100266273,0.49139906476378786,0.00865926407277584,0.009718923829495907,0.0010596595238894224,88
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,4,0.4908256880733945,0.7022979970372051,0.4805860077623617,0.009127607569098473,0.010457118041813374,0.001329510472714901,88
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,5,0.4908256880733945,0.7026359859956514,0.31942803598199554,0.013935798779129982,0.016551479697227478,0.0026156804524362087,88
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,6,0.4908256880733945,0.6997031788213537,0.3537501671997068,0.006168492138385773,0.015499675646424294,0.00933118350803852,88
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,7,0.4908256880733945,0.6991326426147321,0.5211169266268949,0.004811071325093508,0.006526376586407423,0.0017153052613139153,88
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,8,0.4908256880733945,0.6984710261362408,0.5091285505755382,0.006343120243400335,0.009437593631446362,0.0030944733880460262,88
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,9,0.4908256880733945,0.6960484593286427,0.4129797016291625,0.008604574017226696,0.014488416723906994,0.005883842706680298,88
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,10,0.4908256880733945,0.6930653184925745,0.3655307825178501,0.009873321279883385,0.016711505129933357,0.0068381838500499725,88
