,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,1,0.4908256880733945,0.7047069734389629,0.6700091351162303,1.5155747860262636e-05,1.5225307834043631e-05,6.955972509103958e-08,88,-1
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,2,0.4908256880733945,0.7014838719586713,0.7203376262702725,2.0331592168076892e-05,2.5213113985955715e-05,4.881521363131469e-06,88,-1
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,3,0.4908256880733945,0.7013906885724549,0.6772474884309554,1.4193269635143224e-05,1.4200434634403791e-05,7.165015247778683e-09,88,-1
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,4,0.4908256880733945,0.7005772639852051,0.6897442878647284,1.5402640201500617e-05,1.5770934624015354e-05,3.6829430882789893e-07,88,-1
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,5,0.4908256880733945,0.7001983523368835,0.6763371400535108,2.3832139049773104e-05,2.38790762523422e-05,4.693805522038019e-08,88,-1
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,6,0.4908256880733945,0.697827120439722,0.7451847810298204,1.0491052307770588e-05,2.7389463866711598e-05,1.6898411558941007e-05,88,-1
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,7,0.4908256880733945,0.6974026413138853,0.6912316707724874,1.1677263501042034e-05,1.2047180462104734e-05,3.699167336890241e-07,88,-1
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,8,0.4908256880733945,0.6971898532788688,0.6853257868100295,1.1821441148640588e-05,1.1855039701913483e-05,3.3598720250438425e-08,88,-1
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,9,0.4908256880733945,0.696045207321097,0.7078743031079119,1.4050099707674237e-05,1.937169326993171e-05,5.321594017004827e-06,88,-1
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,10,0.4908256880733945,0.695238899747166,0.6976254936646331,1.7370924979331903e-05,2.0053957996424288e-05,2.683032334971358e-06,88,-1
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,11,0.4908256880733945,0.6941726913145922,0.7065477019683881,9.635164133214856e-06,1.704914029687643e-05,7.413976163661573e-06,88,-1
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,12,0.4908256880733945,0.694708721900205,0.6756917634470896,1.1344467566232195e-05,1.4276184629125057e-05,2.9317168355191825e-06,88,-1
