,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.01,1,0.4908256880733945,0.7098976625215023,0.4350278527815879,0.075264923274517,0.0847260132431984,0.0094610899686813,88,-1
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.01,2,0.4977064220183486,0.66736595236927,0.3291526285488957,0.114544428884983,0.1340757608413696,0.0195313300937414,88,-1
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.01,3,0.8371559633027523,0.5470332681039057,0.4540866111368152,0.2244833409786224,0.2693214416503906,0.0448380969464778,88,-1
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.01,4,0.8360091743119266,0.4880721517112277,0.4538291215505028,0.2413966208696365,0.2836738526821136,0.0422772355377674,88,-1
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.01,5,0.8360091743119266,0.4486009246165599,0.2574578482201269,0.1536548137664795,0.1746793240308761,0.0210245139896869,88,-1
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.01,6,0.8577981651376146,0.3742764864219438,0.2988811248418642,0.2314579486846923,0.2723380029201507,0.0408800467848777,88,-1
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.01,7,0.8532110091743119,0.3598757744382281,0.4843345629712778,0.3501013517379761,0.4020105302333832,0.0519091933965683,88,-1
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.01,8,0.8463302752293578,0.3777303887069772,0.4994144266058522,0.665955662727356,0.7483479380607605,0.0823922753334045,88,-1
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.01,9,0.8532110091743119,0.3795808225596717,0.3841268275848547,0.4638702869415283,0.5274171233177185,0.0635468512773513,88,-1
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.01,10,0.8704128440366973,0.3678494097169386,0.3302689189473643,0.4073008596897125,0.4633723199367523,0.0560714602470397,88,-1
