,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,1,0.4908256880733945,0.7221598176781191,0.6700091351162303,1.5155747860262636e-05,1.5225307834043631e-05,6.955972509103958e-08,88,-1
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,2,0.4908256880733945,0.6976196071423522,0.7590049027380619,2.289744770678226e-05,3.2044634281191975e-05,9.147186574409716e-06,88,-1
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,3,0.4908256880733945,0.6911415260866147,0.6772167753766883,1.4269377061282285e-05,1.4337055290525312e-05,6.76778455499516e-08,88,-1
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,4,0.5091743119266054,0.6888302624772448,0.686198218031363,1.5051018635858782e-05,1.5081495803315192e-05,3.047756180762917e-08,88,-1
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,5,0.5114678899082569,0.6863732687923887,0.6838368572972037,2.30341811402468e-05,2.364650390518364e-05,6.123224807197403e-07,88,-1
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,6,0.5091743119266054,0.685335207422939,0.6586743185465986,1.0000509973906446e-05,1.9838515072478916e-05,9.838005098572468e-06,88,-1
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,7,0.5091743119266054,0.6816436085132284,0.6849345363676548,1.1823362910945434e-05,1.2351706573099364e-05,5.283433779368352e-07,88,-1
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,8,0.5091743119266054,0.6657154461659422,0.6928663370961494,1.2812392014893703e-05,1.5070668268890586e-05,2.258276708744233e-06,88,-1
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,9,0.5091743119266054,0.6292825308414774,0.6216081330044704,1.5169495782174636e-05,1.7059619494830258e-05,1.8901235989687848e-06,88,-1
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,10,0.6272935779816514,0.564558274292071,0.5898828345604918,2.334309283469338e-05,2.4889823180274107e-05,1.5467302318938891e-06,88,-1
