,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,1,0.4908256880733945,0.7039165551509332,0.4721866293122398,0.0123992208391428,0.0136353224515914,0.0012361016124486,88,-1
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,2,0.4908256880733945,0.7027714099359075,0.3913588266354054,0.0155782848596572,0.0205232389271259,0.0049449540674686,88,-1
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,3,0.4908256880733945,0.7021846957162979,0.4912241554882547,0.0086670350283384,0.0097601627930998,0.001093127997592,88,-1
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,4,0.4908256880733945,0.701409880721241,0.4782671259250491,0.0088582281023263,0.0101395677775144,0.001281340024434,88,-1
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,5,0.4908256880733945,0.7006712637910055,0.3128887196219611,0.0135357873514294,0.0157620124518871,0.0022262253332883,88,-1
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,6,0.4908256880733945,0.6977996596502601,0.3429615521634167,0.0063430424779653,0.0148019632324576,0.0084589207544922,88,-1
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,7,0.4908256880733945,0.6919740011932654,0.5145909899041394,0.0048524201847612,0.0066565088927745,0.0018040885915979,88,-1
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,8,0.5355504587155964,0.6807333788740526,0.5021776696709408,0.0067568095400929,0.0097247809171676,0.002967971144244,88,-1
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,9,0.7178899082568807,0.6651126293961062,0.4036123192191801,0.0094990339130163,0.0143727678805589,0.0048737344332039,88,-1
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,10,0.680045871559633,0.6496793485562736,0.3509335633780045,0.0105263935402035,0.0166988167911767,0.0061724232509732,88,-1
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,11,0.6479357798165137,0.630068743447645,0.3851282941664315,0.0131058357656002,0.0216687247157096,0.0085628889501094,88,-1
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,12,0.680045871559633,0.5986353667504197,0.3757932500204664,0.016425346955657,0.0264145489782094,0.0099892020225524,88,-1
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,13,0.7327981651376146,0.5596887160331832,0.2440893237203867,0.0107236132025718,0.0151478620246052,0.0044242492876946,88,-1
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,14,0.7729357798165137,0.5151762672520559,0.3402973814613439,0.0143083427101373,0.0217734836041927,0.007465140428394,88,-1
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,15,0.8119266055045872,0.4622722834075263,0.3032587762615135,0.0171853490173816,0.0250004660338163,0.0078151179477572,88,-1
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,16,0.8497706422018348,0.4100446408494896,0.2717175145284273,0.016121570020914,0.0214547887444496,0.0053332182578742,88,-1
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,17,0.8646788990825688,0.363891193352708,0.3310341284885494,0.0203294120728969,0.0271398909389972,0.0068104788661003,88,-1
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,18,0.8761467889908257,0.3282320806329403,0.3070659162741239,0.0221557561308145,0.0285527296364307,0.0063969739712774,88,-1
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,19,0.8795871559633027,0.3006332839984412,0.3329831337164664,0.023722942918539,0.0304955337196588,0.006772591266781,88,-1
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.001,20,0.8807339449541285,0.2843616719981399,0.2548208410216664,0.018711369484663,0.022154638543725,0.003443269059062,88,-1
