,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,1,0.4908256880733945,0.7039997479237547,0.43502785278158795,0.07526492327451706,0.0847260132431984,0.009461089968681335,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,2,0.4908256880733945,0.7036829601734056,0.3378744721986798,0.08582668006420135,0.10125911235809326,0.015432432293891907,88
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,3,0.4908256880733945,0.7036155511479859,0.47444756209495775,0.08638501167297363,0.09854070842266083,0.012155699543654919,88
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,4,0.4908256880733945,0.7033994279870199,0.4689369777111675,0.18321391940116882,0.20665095746517181,0.023437030613422394,88
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,5,0.4908256880733945,0.7032738360789937,0.28088190047221195,0.09468241035938263,0.11006533354520798,0.015382920391857624,88
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,6,0.4908256880733945,0.702108645111049,0.3212403582652438,0.06945611536502838,0.0985846146941185,0.02912849932909012,88
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,7,0.4908256880733945,0.7007834709018742,0.5259022344316524,0.17864055931568146,0.20947931706905365,0.030838752165436745,88
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,8,0.4908256880733945,0.6992714749563724,0.526614134719553,0.11557458341121674,0.14082591235637665,0.02525133267045021,88
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,9,0.4908256880733945,0.6972285771588667,0.4314174621530005,0.22391262650489807,0.2589525282382965,0.03503990173339844,88
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,10,0.4908256880733945,0.6947296660974485,0.38809779635610697,0.14471076428890228,0.1727474182844162,0.028036650270223618,88
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,11,0.4908256880733945,0.6915606435285796,0.4520441418413115,0.14873462915420532,0.18635742366313934,0.03762279823422432,88
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,12,0.4908256880733945,0.68812737607081,0.46216538556459874,0.15953058004379272,0.1964292824268341,0.036898694932460785,88
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,13,0.4908256880733945,0.6839443461610637,0.28957440941621,0.1166369765996933,0.13677696883678436,0.020139990374445915,88
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,14,0.4908256880733945,0.678910105053438,0.43691653243983064,0.164126455783844,0.19346307218074799,0.029336612671613693,88
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,15,0.4908256880733945,0.6729344370168283,0.4116800280928146,0.1485304832458496,0.17628535628318787,0.02775486558675766,88
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,16,0.4954128440366973,0.6656401955753292,0.35762074543083805,0.31298232078552246,0.3511279225349426,0.03814558684825897,88
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,17,0.5584862385321101,0.6569461488942487,0.4448132836667355,0.36603280901908875,0.4215952455997467,0.05556244030594826,88
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,18,0.6479357798165137,0.6467787251559967,0.43376336890108763,0.24305269122123718,0.283935010433197,0.040882326662540436,88
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,19,0.7465596330275229,0.6353405730439983,0.46457090639795007,0.2210400253534317,0.25551897287368774,0.034478943794965744,88
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,20,0.8165137614678899,0.6228115454726263,0.3461177667610834,0.16250573098659515,0.18887647986412048,0.026370754465460777,88
20,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,21,0.8394495412844036,0.6092379240814699,0.40133533411267724,0.18134631216526031,0.2121538370847702,0.030807528644800186,88
21,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,22,0.8681192660550459,0.5939136147499084,0.4333188916274759,0.22041788697242737,0.2549513280391693,0.03453344106674194,88
22,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,23,0.8727064220183486,0.5782804431718424,0.4350833891626363,0.23283003270626068,0.2653394341468811,0.032509397715330124,88
23,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,24,0.8784403669724771,0.5636823817130623,0.35340060451364314,0.22738918662071228,0.2614647448062897,0.034075550734996796,88
24,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,25,0.8830275229357798,0.5489049321467724,0.31911114132685314,0.1800207495689392,0.21570594608783722,0.03568519651889801,88
25,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,26,0.8899082568807339,0.5339181770425324,0.4539562460637006,0.18567585945129395,0.21414755284786224,0.0284716859459877,88
26,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,27,0.8887614678899083,0.5198340353068955,0.5240368564163377,0.414734810590744,0.4683952033519745,0.05366039648652077,88
27,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,28,0.8899082568807339,0.5060744217229546,0.33995309791723477,0.2642464339733124,0.31216350197792053,0.047917068004608154,88
28,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,29,0.8899082568807339,0.4928985197062886,0.32524522158174396,0.24702250957489014,0.2858806550502777,0.03885814547538757,88
29,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,30,0.8944954128440367,0.48011151284252834,0.44187340160384664,0.3320768177509308,0.39258715510368347,0.06051034480333328,88
30,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,31,0.8967889908256881,0.4673352353616592,0.33305056043516906,0.40270325541496277,0.45071539282798767,0.0480121448636055,88
