,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,1,0.4908256880733945,0.7045435287536831,0.6700091351162303,1.5155747860262636e-05,1.5225307834043631e-05,6.955972509103958e-08,88,-1
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,2,0.4908256880733945,0.7027599226444139,0.720035424286669,2.0214922187733464e-05,2.5029037715285085e-05,4.814115527551621e-06,88,-1
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,3,0.4908256880733945,0.7014773783333804,0.6772525454109364,1.4296190784079954e-05,1.4304195246950258e-05,8.004255036553332e-09,88,-1
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,4,0.4908256880733945,0.7002181749825084,0.6899366314438256,1.5381012417492457e-05,1.5751476894365624e-05,3.704649031988083e-07,88,-1
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,5,0.4908256880733945,0.699162229485468,0.6765197326513854,2.37550339079462e-05,2.3792155843693763e-05,3.7122589446880745e-08,88,-1
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,6,0.4908256880733945,0.6977891479063472,0.738034843721173,1.036043067870196e-05,2.644019514264073e-05,1.6079764463938773e-05,88,-1
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,7,0.4908256880733945,0.6966033009214139,0.6913553621281278,1.1555764103832187e-05,1.1912541594938377e-05,3.567775763713144e-07,88,-1
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,8,0.4908256880733945,0.6956412885167184,0.6854514059695329,1.1666828868328594e-05,1.1681030628096778e-05,1.4201654963130751e-08,88,-1
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,9,0.4908256880733945,0.6946596814951765,0.700640184770931,1.3815339116263203e-05,1.8419674233882688e-05,4.604334662872134e-06,88,-1
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,10,0.4908256880733945,0.6937764768206746,0.6928009312261235,1.6951100406004116e-05,1.9129160136799328e-05,2.1780599581688875e-06,88,-1
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,11,0.4908256880733945,0.6929992437362671,0.6957788264209573,9.368881364935078e-06,1.5640876881661825e-05,6.271995971474098e-06,88,-1
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,12,0.4988532110091743,0.6925718882761964,0.6850693962790748,1.091645026463084e-05,1.443267956346972e-05,3.5162295262125558e-06,88,-1
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,13,0.5756880733944955,0.6922173833628313,0.6791608456860889,2.3524797143181783e-05,2.418795520497952e-05,6.631579481108929e-07,88,-1
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,14,0.5160550458715596,0.6919437450006467,0.6817492131482471,1.5921415979391895e-05,1.6989424693747424e-05,1.0680086006686906e-06,88,-1
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,15,0.5091743119266054,0.6917615379762212,0.6858173089271242,1.7331478375126608e-05,1.7534030121169053e-05,2.02551163397402e-07,88,-1
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,16,0.5091743119266054,0.6916600782936866,0.6722450484606353,1.6619071175227873e-05,1.9451732441666536e-05,2.8326614938123384e-06,88,-1
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,17,0.5091743119266054,0.6916243045701893,0.6855542340061882,1.537625394121278e-05,1.5410929336212575e-05,3.467483367103341e-08,88,-1
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,18,0.5091743119266054,0.6916340562181735,0.682494555278258,1.6968711861409247e-05,1.705217255221214e-05,8.346139424020295e-08,88,-1
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,19,0.5091743119266054,0.6915912223518441,0.6914538240568204,1.5535215425188653e-05,1.6274172594421543e-05,7.389568850157957e-07,88,-1
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,20,0.5091743119266054,0.6915212618101627,0.6800405586985023,2.13256153074326e-05,2.1355115677579303e-05,2.9500220932732194e-08,88,-1
20,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,21,0.5091743119266054,0.6913375482646698,0.691409864818508,1.877108297776431e-05,1.960184999916237e-05,8.307671350848977e-07,88,-1
21,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,22,0.5091743119266054,0.6911177104766216,0.6813449293375016,1.5861494830460288e-05,1.5887753761489876e-05,2.6258927476874305e-08,88,-1
22,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,23,0.5091743119266054,0.6907119953304256,0.7022651053287766,1.5361090845544823e-05,1.8434251614962704e-05,3.0731614515389083e-06,88,-1
23,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,24,0.5091743119266054,0.690168871245253,0.7026391566477039,1.8407925381325185e-05,2.3418597265845165e-05,5.010672794014681e-06,88,-1
24,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,25,0.5091743119266054,0.6897014538082508,0.6684713793071833,2.0170209609204903e-05,2.086950371449348e-05,6.992936505412217e-07,88,-1
25,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,26,0.5091743119266054,0.6892832632458538,0.6695634604177692,1.2011804756184574e-05,1.3516133549273944e-05,1.504328452028858e-06,88,-1
26,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,27,0.5091743119266054,0.6888285973750123,0.6813223182477733,1.0870078767766245e-05,1.0894377737713512e-05,2.4299316336851007e-08,88,-1
27,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,28,0.5091743119266054,0.6884315954435856,0.6572805269197983,1.5051215996209066e-05,1.9907651221728884e-05,4.856435225519817e-06,88,-1
28,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,29,0.5091743119266054,0.687919012450297,0.6853303107348355,2.045926703431178e-05,2.141744698747061e-05,9.581806352798594e-07,88,-1
29,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,30,0.5091743119266054,0.6874607544426524,0.6571731339801442,8.345130481757224e-06,1.4075539183977526e-05,5.730408247472951e-06,88,-1
30,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,31,0.5091743119266054,0.6870012753600374,0.6611252560534261,1.884485573100392e-05,2.0483179469010796e-05,1.6383229421990109e-06,88,-1
31,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,32,0.5091743119266054,0.6864460378611853,0.6752326439050111,1.6275707821478136e-05,1.6349798897863366e-05,7.409162350313636e-08,88,-1
32,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,33,0.5091743119266054,0.6858169726275523,0.6666067636148496,1.6808944565127604e-05,1.730532676447183e-05,4.963826540915761e-07,88,-1
33,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,34,0.5091743119266054,0.6850243396715286,0.6664165920831941,2.4960882001323625e-05,2.5078812541323717e-05,1.17930390786114e-07,88,-1
34,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,35,0.5091743119266054,0.6840709125230072,0.6624958195130933,1.5182335118879564e-05,1.5608753528795205e-05,4.264188646629919e-07,88,-1
35,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,36,0.5091743119266054,0.6825069653878518,0.6903764220801266,1.7598607882973738e-05,1.982658068300225e-05,2.2279734821495367e-06,88,-1
36,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,37,0.5091743119266054,0.680445454536228,0.6621509235013614,1.8301905583939515e-05,1.8554497728473507e-05,2.525925140162144e-07,88,-1
37,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,38,0.5091743119266054,0.6773774859008439,0.6972446770491925,2.225586104032118e-05,2.758674963843077e-05,5.330888598109596e-06,88,-1
38,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,39,0.5091743119266054,0.6733465325941733,0.6641057257286527,1.993606747419108e-05,2.0397568732732907e-05,4.615012585418299e-07,88,-1
39,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,40,0.5103211009174312,0.6677927440459576,0.6458291611210866,2.500772097846493e-05,2.584915819170419e-05,8.414373837695166e-07,88,-1
40,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,41,0.5309633027522935,0.660561068889198,0.6868605344471608,1.748672002577223e-05,2.4363971533603035e-05,6.877251962578157e-06,88,-1
41,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,42,0.6754587155963303,0.6509173146081627,0.6482287430966442,2.4785840651020408e-05,2.5951831048587337e-05,1.1659907386274426e-06,88,-1
42,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,43,0.8084862385321101,0.6383808375498571,0.6351817297664555,3.6280773201724514e-05,3.822882354143076e-05,1.948050339706242e-06,88,-1
43,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,44,0.8543577981651376,0.6194850682118617,0.6214924172244288,2.9010363505221903e-05,3.217026460333727e-05,3.159900643368019e-06,88,-1
44,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,45,0.8577981651376146,0.5878350286308779,0.5810396856882356,6.581342313438654e-05,7.221661508083344e-05,6.403195129678352e-06,88,-1
45,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,46,0.8646788990825688,0.5404740454406913,0.5754675454714081,2.996612965944223e-05,3.701021341839805e-05,7.044083758955821e-06,88,-1
46,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,47,0.856651376146789,0.488572938179751,0.5079187214713204,5.960131966276094e-05,7.263784209499136e-05,1.3036521522735711e-05,88,-1
