,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.0001,1,0.4908256880733945,1.0442975833328492,0.6110270930623467,0.0010277529945597,0.0010400653118267,1.2312351827858947e-05,88,-1
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.0001,2,0.5091743119266054,2.2435315408820817,0.6374954902609302,0.002148731611669,0.0046182344667613,0.0024695028550922,88,-1
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.0001,3,0.5091743119266054,0.9062552237455996,2.45391700680537,0.0013465681113302,0.0057315919548273,0.004385023843497,88,-1
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.0001,4,0.4908256880733945,0.7306291116486996,1.0279328898780724,0.0004452232096809,0.0009249071008525,0.0004796838911715,88,-1
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.0001,5,0.4908256880733945,0.8495596089494337,0.7317372098565103,0.000610252842307,0.0007118426146917,0.0001015897651086,88,-1
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.0001,6,0.4908256880733945,0.7098491437938235,1.2782510704953562,0.0003239806974306,0.0018385511357337,0.001514570438303,88,-1
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.0001,7,0.5091743119266054,0.7327228762687893,0.7287805980918083,0.0002985846949741,0.0003972173726651,9.86326631391421e-05,88,-1
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.0001,8,0.5091743119266054,0.8008214473177534,0.7447542382573541,0.0003038251306861,0.0004631444462575,0.0001593193155713,88,-1
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.0001,9,0.5091743119266054,0.8184499931991647,0.6633149398321456,0.000403193233069,0.0004661011043936,6.29078786005266e-05,88,-1
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.0001,10,0.5091743119266054,0.7670687147236745,0.7164477834986015,0.0005499506369233,0.0006991394329816,0.0001491888106102,88,-1
