,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,1,0.5091743119266054,0.6970558943004783,0.4680134426759728,7.984995365142822,9.047904968261719,1.062909483909607,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,2,0.5091743119266054,0.6932457149575609,0.3444744319502527,19.47892189025879,21.6798152923584,2.2008941173553467,88
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,3,0.4908256880733945,0.7012912532605162,0.477396377043227,0.4448069632053375,0.5651180148124695,0.12031105160713196,88
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,4,0.4908256880733945,0.7186625129585966,0.47006625864781776,0.4661141633987427,0.5638155341148376,0.09770137071609497,88
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,5,0.4908256880733945,0.7056726315699586,0.27473762203940577,0.5675203204154968,0.6106735467910767,0.043153245002031326,88
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,6,0.5091743119266054,0.7095177288449138,0.31584405142698835,0.3462519645690918,0.5509652495384216,0.20471327006816864,88
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,7,0.5091743119266054,0.7345192123443709,0.5285408903479534,0.291718989610672,0.4572642743587494,0.1655452847480774,88
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,8,0.5091743119266054,0.7102679386051423,0.5270865871063011,0.3401920199394226,0.5085217356681824,0.16832971572875977,88
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,9,0.5091743119266054,0.698478679044531,0.42721537341501314,0.35338208079338074,0.4081047475337982,0.054722655564546585,88
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,10,0.5091743119266054,0.6983203280956374,0.39075937409758227,0.42305663228034973,0.4676932394504547,0.04463661462068558,88
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,11,0.5091743119266054,0.7082387356583132,0.4601004320829154,0.3374623954296112,0.4090285897254944,0.07156619429588318,88
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,12,0.5091743119266054,0.7059792723130742,0.4710195112445284,0.3934972286224365,0.49319663643836975,0.09969940781593323,88
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,13,0.5091743119266054,0.7071738893832635,0.28746089462124064,0.42216426134109497,0.44497331976890564,0.02280905283987522,88
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,14,0.5091743119266054,0.7114906245415363,0.4358387243055569,0.3901030719280243,0.442091703414917,0.0519886389374733,88
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,15,0.5091743119266054,0.7106968115229125,0.4151579705745627,0.4001898467540741,0.4394223392009735,0.039232488721609116,88
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,16,0.5091743119266054,0.7141617104547833,0.3544466060627945,0.35655999183654785,0.3829748332500458,0.02641485631465912,88
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,17,0.5091743119266054,0.7122546286757933,0.452668874354144,0.3649728298187256,0.40531983971595764,0.04034702107310295,88
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,18,0.5091743119266054,0.7088883705095413,0.4368140706846713,0.3632849156856537,0.3904552161693573,0.027170291170477867,88
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,19,0.5091743119266054,0.7019916187732591,0.4714844610224563,0.3493894934654236,0.40532341599464417,0.05593392997980118,88
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,20,0.5091743119266054,0.6977225963128816,0.355985358654057,0.4494987726211548,0.4676046371459961,0.01810585893690586,88
20,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,21,0.5091743119266054,0.6953084528993029,0.4107141121118646,0.40152686834335327,0.42906999588012695,0.02754312753677368,88
21,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,22,0.5091743119266054,0.6948845654452612,0.44082201454287073,0.4074026346206665,0.4317699074745178,0.02436726540327072,88
22,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,23,0.5091743119266054,0.6938383344116561,0.4391832132834348,0.3433005213737488,0.39259928464889526,0.04929877445101738,88
23,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,24,0.5091743119266054,0.6930199719350273,0.3602145156140481,0.3572474420070648,0.4081108272075653,0.050863392651081085,88
24,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.1,25,0.5091743119266054,0.6930548548698425,0.3309776419704576,0.38003599643707275,0.4180443286895752,0.038008324801921844,88
