,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,1,0.4908256880733945,0.7039165628065757,0.4721866293122398,0.0123992208391428,0.0136353224515914,0.0012361016124486,88,-1
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,2,0.4908256880733945,0.702771425794024,0.3913587822928093,0.0155782764777541,0.020523227751255,0.0049449512735009,88,-1
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,3,0.4908256880733945,0.7021847071997617,0.4912241091676564,0.0086670173332095,0.0097601441666483,0.0010931269498541,88,-1
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,4,0.4908256880733945,0.7014098845490622,0.4782668851612305,0.0088582802563905,0.0101396134123206,0.0012813333887606,88,-1
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,5,0.4908256880733945,0.7006712763681324,0.3128884484314105,0.013535764068365,0.0157619658857584,0.002226201351732,88,-1
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,6,0.4908256880733945,0.6977996634780814,0.3429614316015928,0.006343045271933,0.0148019669577479,0.0084589216858148,88,-1
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,7,0.4908256880733945,0.6919739476037682,0.5145907739346678,0.0048523428849875,0.0066564232110977,0.0018040802096948,88,-1
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,8,0.5355504587155964,0.6807328030603741,0.5021786314223639,0.0067543904297053,0.0097213266417384,0.002966936212033,88,-1
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,9,0.7190366972477065,0.6650984041187742,0.4036518427649174,0.0095371343195438,0.0144085185602307,0.0048713837750256,88,-1
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,10,0.680045871559633,0.6495743492327699,0.3565190152095799,0.010548454709351,0.0162820871919393,0.0057336324825882,88,-1
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,11,0.6467889908256881,0.6298468643372211,0.3889313006710092,0.0125589147210121,0.0209508370608091,0.008391922339797,88,-1
