,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,1,0.4908256880733945,0.7039997550325656,0.43502785278158795,0.07526492327451706,0.0847260132431984,0.009461089968681335,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,2,0.4908256880733945,0.7036399600702689,0.33672814019598507,0.09318225085735321,0.1105244904756546,0.01734224148094654,88
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,3,0.4908256880733945,0.7035482318029491,0.47449740358226167,0.1001964882016182,0.11340155452489853,0.013205066323280334,88
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,4,0.4908256880733945,0.7032852867327699,0.46935007123445927,0.07856884598731995,0.09087731689214706,0.012308469973504543,88
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,5,0.4908256880733945,0.7030927112343115,0.2807130161021302,0.08106227964162827,0.09572196751832962,0.014659689739346504,88
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,6,0.4908256880733945,0.7019297677442569,0.32308213959794646,0.09786223620176315,0.13102760910987854,0.03316537290811539,88
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,7,0.4908256880733945,0.7005935469898609,0.5234936293807219,0.1468084156513214,0.1746039241552353,0.02779550477862358,88
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,8,0.4908256880733945,0.6990558614424609,0.5234739640293726,0.12984341382980347,0.16114194691181183,0.03129852935671806,88
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,9,0.4908256880733945,0.6969601889269068,0.429885761247715,0.13610389828681946,0.16716523468494415,0.031061328947544098,88
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,10,0.4908256880733945,0.6944176915588729,0.38960409564097065,0.13634485006332397,0.15582619607448578,0.0194813534617424,88
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,11,0.4908256880733945,0.6912036002229113,0.4556348208046984,0.13400179147720337,0.16506965458393097,0.0310678631067276,88
