,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,1,0.4908256880733945,0.7034302517908428,0.6110270930623467,0.0010277529945597,0.0010400653118267,1.2312351827858947e-05,88,-1
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,2,0.4908256880733945,0.7021266167316962,0.6226366979493337,0.0013616980286315,0.0016590917948633,0.0002973937662318,88,-1
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,3,0.4908256880733945,0.7010557416382186,0.6224052820354701,0.0009634418529458,0.0009693570318631,5.915173915127525e-06,88,-1
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,4,0.4908256880733945,0.6998008298217704,0.6283983102237637,0.0010560166556388,0.0010828932281583,2.6876616175286472e-05,88,-1
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,5,0.4908256880733945,0.6987208275619997,0.5829126489772037,0.0016252531204372,0.0016435611760243,1.83081046998268e-05,88,-1
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,6,0.4908256880733945,0.6960005716446342,0.6335937009277668,0.0007083755917847,0.0017826234688982,0.0010742478771135,88,-1
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,7,0.4908256880733945,0.6942043353658204,0.6435153354975309,0.0007910670246928,0.0008079797844402,1.6912737919483334e-05,88,-1
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,8,0.4908256880733945,0.6933575710025403,0.6392695743929256,0.000816517334897,0.00082394387573,7.426545380440075e-06,88,-1
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,9,0.5091743119266054,0.6932643673835545,0.6154013995758512,0.0009668224374763,0.0011874231277033,0.000220600690227,88,-1
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,10,0.5091743119266054,0.6944038594534637,0.6044601110233502,0.001196893164888,0.0012720130616798,7.51199186197482e-05,88,-1
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,11,0.5091743119266054,0.6974767041862557,0.6084181690419261,0.000678553013131,0.0009191464050672,0.0002405933773843,88,-1
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,12,0.5091743119266054,0.6999788153062173,0.6548678184436127,0.0007887005340307,0.0013151690363883,0.0005264685023576,88,-1
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,13,0.5091743119266054,0.7027266763765877,0.5714433165097779,0.001714336220175,0.0017335200682282,1.918380439747125e-05,88,-1
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,14,0.5091743119266054,0.7057006419251818,0.6011263236403466,0.0011650930391624,0.0011747995158657,9.706472155812662e-06,88,-1
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,15,0.5091743119266054,0.7072732672778839,0.6257422237911008,0.0012855374952778,0.0014546673046424,0.0001691298530204,88,-1
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,16,0.5091743119266054,0.7095243187125669,0.5681360689753836,0.0012466937769204,0.0012893269304186,4.263318987796083e-05,88,-1
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,17,0.5091743119266054,0.7104259051314188,0.6269045193425633,0.0011637498391792,0.0012702452950179,0.000106495404907,88,-1
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,18,0.5091743119266054,0.7103517471103493,0.6113284827972001,0.0012639418710023,0.0013214926002547,5.7550689234631136e-05,88,-1
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,19,0.5091743119266054,0.7082187221684587,0.6393595518036322,0.0011715996079146,0.0014269592938944,0.0002553596568759,88,-1
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,20,0.5091743119266054,0.7054954903935073,0.5878878997300159,0.001615451532416,0.0016871000407263,7.16484573786147e-05,88,-1
20,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,21,0.5091743119266054,0.7017534987642131,0.61447886377573,0.0014411471784114,0.001653560088016,0.0002124129096046,88,-1
21,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,22,0.5091743119266054,0.6985175839257897,0.6076837937940252,0.0012568394886329,0.0012861608993262,2.9321387046366e-05,88,-1
22,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,23,0.5091743119266054,0.6950852061630389,0.6230916816402565,0.0012196815805509,0.0015749201411381,0.0003552385314833,88,-1
23,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,24,0.5091743119266054,0.692884917652935,0.5903146518902346,0.0014803833328187,0.0019347959896549,0.0004544127150438,88,-1
24,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,25,0.4954128440366973,0.6930991974445658,0.56728454885835,0.0016498827608302,0.0017548348987475,0.0001049521306413,88,-1
25,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,26,0.4908256880733945,0.694129445137234,0.6116716218604283,0.0010005984222516,0.001231781207025,0.0002311827702214,88,-1
26,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,27,0.4908256880733945,0.6953766685013377,0.6296610448509454,0.0009216686012223,0.0009600386256352,3.836999894701876e-05,88,-1
27,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,28,0.4908256880733945,0.6950652446221868,0.5796852717684075,0.0012762227561324,0.002001370768994,0.0007251480128616,88,-1
28,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,29,0.4908256880733945,0.6949691586538193,0.5613469898700714,0.001782520674169,0.001822930178605,4.040953717776574e-05,88,-1
29,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,30,0.4908256880733945,0.6934179116826539,0.6096325797113505,0.0007307255873456,0.0015390833141282,0.0008083577267825,88,-1
30,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,31,0.5103211009174312,0.6923233380011462,0.5597541404549371,0.0016556843183934,0.0019764397293329,0.0003207553818356,88,-1
31,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.0001,32,0.5091743119266054,0.6928815644815427,0.5874508899043905,0.00142318662256,0.0014700621832162,4.687561158789322e-05,88,-1
