,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.001,1,0.4908256880733945,0.7035853086261574,0.47218662931223987,0.0123992208391428,0.013635322451591492,0.0012361016124486923,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.001,2,0.4908256880733945,0.6996455805017314,0.3975832318527286,0.016588203608989716,0.02174329198896885,0.005155087448656559,88
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.001,3,0.4908256880733945,0.6972567220346644,0.4957751072731546,0.009779851883649826,0.010800614953041077,0.0010207627201452851,88
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.001,4,0.4908256880733945,0.6951034468248349,0.48348295227836136,0.009968546219170094,0.011124711483716965,0.0011561650317162275,88
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.001,5,0.4908256880733945,0.6936003658749642,0.3271491888762367,0.015565175563097,0.018199816346168518,0.002634640783071518,88
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.001,6,0.5091743119266054,0.694797155507114,0.353745561950332,0.006628277711570263,0.014669221825897694,0.00804094411432743,88
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.001,7,0.5091743119266054,0.713166993145549,0.525035511643033,0.004526544362306595,0.005098930560052395,0.0005723859649151564,88
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.001,8,0.5091743119266054,0.7469946124138088,0.5212015189061111,0.005100505892187357,0.005993529688566923,0.0008930236217565835,88
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.001,9,0.5091743119266054,0.7755363400376171,0.4255570579849353,0.00648650573566556,0.007259565871208906,0.0007730601355433464,88
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.001,10,0.5091743119266054,0.7867416422301476,0.3895565562119538,0.008888662792742252,0.010454684495925903,0.0015660214703530073,88
