,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,1,0.4908256880733945,0.7032322227408033,0.6700091351162303,1.5155747860262636e-05,1.5225307834043631e-05,6.955972509103958e-08,88,-1
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,2,0.4908256880733945,0.7030618699318772,0.7166816097768869,1.997001163545065e-05,2.443940866214689e-05,4.469397936190944e-06,88,-1
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,3,0.4908256880733945,0.70290449999888,0.6775320190597665,1.4186453881848138e-05,1.4195582480169833e-05,9.128301670102701e-09,88,-1
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,4,0.4908256880733945,0.7027040342672155,0.6912894104692069,1.5277943020919338e-05,1.5738693036837503e-05,4.607501580267126e-07,88,-1
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,5,0.4908256880733945,0.7024995301841596,0.677411675317721,2.364717329328414e-05,2.3743863494019024e-05,9.668930545103649e-08,88,-1
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,6,0.4908256880733945,0.7019594492168602,0.7579591332172806,1.0269845006405376e-05,2.777124427666422e-05,1.7501399270258844e-05,88,-1
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,7,0.4908256880733945,0.7014182034982454,0.6963526576080106,1.1486544281069657e-05,1.2198711374367122e-05,7.121672069843044e-07,88,-1
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,8,0.4908256880733945,0.7009136201044835,0.6880400725386361,1.1584817002585623e-05,1.1753943908843212e-05,1.691265083536564e-07,88,-1
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,9,0.4908256880733945,0.7002818529758978,0.7224066455255855,1.3692862012248952e-05,1.9939001504099e-05,6.246139491850045e-06,88,-1
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,10,0.4908256880733945,0.6995995979790294,0.7101387706669895,1.6667774616507813e-05,2.0205345208523795e-05,3.537571046763333e-06,88,-1
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,11,0.4908256880733945,0.698813320299901,0.7282100116664714,9.172597856377251e-06,1.7893016774905846e-05,8.720418918528594e-06,88,-1
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,12,0.4908256880733945,0.6982313208623764,0.6626474041153084,1.0596274478302805e-05,1.2237075679877307e-05,1.6408012015745044e-06,88,-1
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,13,0.4908256880733945,0.6976521999464123,0.6958234131336212,2.2634598281001672e-05,2.44994862441672e-05,1.8648883042260424e-06,88,-1
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,14,0.4908256880733945,0.6970703087815451,0.7016273713247342,1.5218654880300164e-05,1.7805234165280126e-05,2.586579284979962e-06,88,-1
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,15,0.4908256880733945,0.6965698392019359,0.6839444846592166,1.647913086344488e-05,1.6533955204067752e-05,5.4825093798172027e-08,88,-1
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,16,0.4908256880733945,0.6960390543718951,0.7050794203173031,1.5833969882805832e-05,2.0957430024282075e-05,5.123459686728893e-06,88,-1
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,17,0.4908256880733945,0.6955716429500405,0.6901387369768186,1.4507841115118936e-05,1.4928897144272923e-05,4.210562849493727e-07,88,-1
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,18,0.4908256880733945,0.695149178351831,0.6924371174790644,1.5768857338116504e-05,1.6656309526297264e-05,8.874526997715293e-07,88,-1
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,19,0.4908256880733945,0.6948082430647053,0.6836612602526492,1.4339399058371782e-05,1.435568992746994e-05,1.6290936599716588e-08,88,-1
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,20,0.4908256880733945,0.6945059425240263,0.6860638010230932,1.981252535188105e-05,2.0322906493674964e-05,5.103813691675896e-07,88,-1
20,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,21,0.4908256880733945,0.6942659988315827,0.6828917787156321,1.735843761707656e-05,1.73978551174514e-05,3.9417066943769896e-08,88,-1
21,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,22,0.4908256880733945,0.6940524075009408,0.6887163874777881,1.4661465684184805e-05,1.5136195543163922e-05,4.7472948949689453e-07,88,-1
22,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,23,0.4908256880733945,0.6939059408432847,0.6807308399541813,1.4223727703210898e-05,1.540055382065475e-05,1.176826572191203e-06,88,-1
23,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,24,0.4908256880733945,0.6938214389556044,0.6762254272672263,1.7247628420591354e-05,1.986328061320819e-05,2.61565196524316e-06,88,-1
24,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,25,0.4908256880733945,0.6937228435770088,0.6858392134986141,1.9024862922378816e-05,2.0678337023127824e-05,1.653473418627982e-06,88,-1
25,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,26,0.4908256880733945,0.6936106556052462,0.6898719223385508,1.141148641181644e-05,1.4062631635169964e-05,2.651144768606173e-06,88,-1
26,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,27,0.4873853211009174,0.6935141004553629,0.688197273151441,1.0376408681622706e-05,1.0550566912570504e-05,1.741583588454887e-07,88,-1
27,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,28,0.485091743119266,0.6934040823114027,0.6850563725287263,1.4322129572974518e-05,2.04813877644483e-05,6.159258646221133e-06,88,-1
28,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,29,0.4782110091743119,0.6933309310073152,0.6821701387112791,1.930432154040318e-05,1.9714720110641792e-05,4.103988544557069e-07,88,-1
29,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,30,0.5022935779816514,0.6932574811331723,0.6838716995309702,7.83841278462205e-06,1.4592379557143431e-05,6.75396677252138e-06,88,-1
30,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,31,0.5091743119266054,0.693207949673364,0.6797483927146954,1.7543696230859496e-05,1.975055602088105e-05,2.20686047214258e-06,88,-1
31,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,32,0.5091743119266054,0.6931896942471145,0.6841440047052774,1.4937374544388147e-05,1.5113332665350754e-05,1.7595816359516905e-07,88,-1
32,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,33,0.5091743119266054,0.6931996422076444,0.6818956679241224,1.5062423699419014e-05,1.5868648915784433e-05,8.062256711127702e-07,88,-1
33,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,34,0.5091743119266054,0.6932356275549723,0.6790885511447083,2.192489591834601e-05,2.2134418031782843e-05,2.0952271029273106e-07,88,-1
34,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,35,0.5091743119266054,0.6932978066829366,0.6805565015836196,1.2969645467819646e-05,1.365358093607938e-05,6.83935525103152e-07,88,-1
35,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,36,0.5091743119266054,0.6933635544339452,0.6895220344039525,1.4408322385861538e-05,1.54256649693707e-05,1.0173426971959998e-06,88,-1
36,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,37,0.5091743119266054,0.6934435750366351,0.6812973847443408,1.4405643014470115e-05,1.4684613233839627e-05,2.789699067307083e-07,88,-1
37,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,38,0.5091743119266054,0.6935003782631061,0.6947595114735041,1.6653519196552224e-05,1.955500556505285e-05,2.901486595874303e-06,88,-1
38,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,1e-05,39,0.5091743119266054,0.6935554239728036,0.6851795571771535,1.4610383004765026e-05,1.4617852684750687e-05,7.469480145516627e-09,88,-1
