,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,1,0.4908256880733945,0.7034384695761794,0.6700091351162303,1.5155747860262636e-05,1.5225307834043633e-05,6.955972509103958e-08,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,2,0.4908256880733945,0.7017734078092313,0.7172023241154172,1.998326843022369e-05,2.4498445782228373e-05,4.515176442509983e-06,88
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,3,0.4908256880733945,0.7004072759129586,0.6774813244965944,1.4169801033858676e-05,1.4175335309118964e-05,5.534112279548253e-09,88
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,4,0.4908256880733945,0.6989006689929087,0.6892508491196416,1.5246848306560423e-05,1.5543650079052895e-05,2.968016872273438e-07,88
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,5,0.4908256880733945,0.6976470908987413,0.6764002597467466,2.353267336729914e-05,2.3547716409666464e-05,1.5042239454032824e-08,88
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,6,0.4908256880733945,0.6948956705014641,0.7286003915423697,1.0250364539388102e-05,2.5265049771405756e-05,1.5014685232017655e-05,88
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,7,0.4793577981651376,0.6934757555296661,0.688940580053763,1.1380567229934968e-05,1.1482843547128141e-05,1.0227669378082282e-07,88
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,8,0.5091743119266054,0.6931922567000083,0.6874470211565494,1.1486175026220735e-05,1.1607262422330678e-05,1.210871687362669e-07,88
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,9,0.5091743119266054,0.6939897591914606,0.6771299156952988,1.3481419046001974e-05,1.5897237972239964e-05,2.4158186988643138e-06,88
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,10,0.5091743119266054,0.6961398080948296,0.6741094852713021,1.6511503417859785e-05,1.7043936168192886e-05,5.324325229594251e-07,88
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,11,0.5091743119266054,0.7003832453981452,0.6534749600020322,9.05700471776072e-06,1.1553106560313608e-05,2.496101842552889e-06,88
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,12,0.5091743119266054,0.7029836642632791,0.745176730508154,1.0692343494156376e-05,1.928029269038234e-05,8.587949196225964e-06,88
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,13,0.5091743119266054,0.705327758001625,0.6744388380172578,2.3018072170089e-05,2.3139638869906776e-05,1.2156723983025586e-07,88
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,14,0.5091743119266054,0.7074462875313715,0.6710572569207712,1.5593670468661003e-05,1.5639516277587973e-05,4.584547497188396e-08,88
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,15,0.5091743119266054,0.7077039780966733,0.7149350720034404,1.67379967024317e-05,1.929855534399394e-05,2.5605586415622383e-06,88
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,16,0.5091743119266054,0.7085025534717315,0.644570110670545,1.595862522663083e-05,1.6230686014750972e-05,2.72061043915528e-07,88
