,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,1,0.4908256880733945,0.697703218788182,0.43502785278158795,0.07526492327451706,0.0847260132431984,0.009461089968681335,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,2,0.5091743119266054,0.7595856225271838,0.33199601076498353,0.12218672037124634,0.1379227638244629,0.01573604717850685,88
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,3,0.4908256880733945,0.7063415110658068,0.47077254221129056,0.13289038836956024,0.15684077143669128,0.023950379341840744,88
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,4,0.7763761467889908,0.6123689752106273,0.4634625610493292,0.23252160847187042,0.26607075333595276,0.033549144864082336,88
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,5,0.8497706422018348,0.49175295616508624,0.2659639625139376,0.1175774559378624,0.13251084089279175,0.014933384023606777,88
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,6,0.5091743119266054,1.2198996931451176,0.30445354580786604,0.11290605366230011,0.13821075856685638,0.025304706767201424,88
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,7,0.8658256880733946,0.5352552935070948,0.5168546136553315,0.24265073239803314,0.2894206643104553,0.04676993191242218,88
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,8,0.823394495412844,0.5202563003115698,0.5008217706810684,0.25567278265953064,0.29140961170196533,0.03573684021830559,88
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,9,0.6571100917431193,0.647785709538591,0.3974959600685079,0.6201174855232239,0.6979016661643982,0.07778419554233551,88
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,10,0.716743119266055,0.5101203232866909,0.35666831032298935,0.23627245426177979,0.2843876779079437,0.04811522737145424,88
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,11,0.8463302752293578,0.4147288993411108,0.4022489210365827,0.39716637134552,0.4568150043487549,0.059648625552654266,88
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,12,0.8577981651376146,0.3967368400424992,0.4174172164290212,0.46527373790740967,0.544819176197052,0.07954542338848114,88
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,13,0.8899082568807339,0.29613412014388163,0.2373091243215392,0.3640124797821045,0.414144903421402,0.05013240873813629,88
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,14,0.8704128440366973,0.3555999678482703,0.35769342294211537,0.5764561891555786,0.6573286056518555,0.08087240159511566,88
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,15,0.8589449541284404,0.31955892975450656,0.31517329394939053,0.6099523305892944,0.6950595378875732,0.08510717749595642,88
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,16,0.8176605504587156,0.4268531050840649,0.26461017397682135,0.5298639535903931,0.5989981889724731,0.06913421303033829,88
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,17,0.8910550458715596,0.2797840212326531,0.32570315657807936,0.7172212600708008,0.8097674250602722,0.09254619479179382,88
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,18,0.8795871559633027,0.27473033711724326,0.28903185907269785,0.9866064786911011,1.1103190183639526,0.12371255457401276,88
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,19,0.8600917431192661,0.3272378177749454,0.31315799519440835,0.8071065545082092,0.9072669148445129,0.10016035288572311,88
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,20,0.8348623853211009,0.4245225283394166,0.2309458499033512,1.1464544534683228,1.2826170921325684,0.13616260886192322,88
20,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,21,0.8784403669724771,0.28342930644477177,0.28245541757311343,0.9476902484893799,1.0790915489196777,0.13140131533145905,88
21,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,22,0.8967889908256881,0.26541895173284985,0.269163614440847,0.859883725643158,0.9690521359443665,0.10916841775178909,88
22,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,23,0.8876146788990825,0.2570780735086957,0.2536383678649806,0.8463748693466187,0.9509291648864746,0.10455429553985596,88
23,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,24,0.8979357798165137,0.25162559492223036,0.20193053204619157,0.7166839838027954,0.8005831837654114,0.08389922231435776,88
24,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,25,0.8727064220183486,0.31502065766568577,0.19606411921188488,0.7297387719154358,0.8179419636726379,0.08820319175720215,88
25,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,26,0.8876146788990825,0.27415969772178916,0.2714082026642493,0.9532228708267212,1.0660555362701416,0.11283265054225922,88
26,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,27,0.9094036697247706,0.22326194831605897,0.2995244219917698,1.0900154113769531,1.2243740558624268,0.13435861468315125,88
27,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,28,0.8153669724770642,0.45593985552908084,0.18584180739840533,0.7426496148109436,0.8320257067680359,0.08937609940767288,88
28,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,29,0.908256880733945,0.22519457840933166,0.1815971250262175,0.715003252029419,0.8060529828071594,0.09104974567890167,88
29,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,30,0.8681192660550459,0.3473652507682596,0.24883475373234512,1.041158676147461,1.1679584980010986,0.1267998218536377,88
30,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.01,31,0.8830275229357798,0.3341385775476421,0.17652145779376788,0.8180307149887085,0.9103526473045349,0.0923219546675682,88
