,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.1,1,0.4908256880733945,0.6965773089216389,0.4680134426759728,7.984995365142822,9.04790496826172,1.062909483909607,88,-1
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.1,2,0.5091743119266054,0.7023532658541968,0.3367439242558413,1.619834065437317,1.815203309059143,0.1953692138195037,88,-1
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.1,3,0.4908256880733945,0.7184155003740154,0.473150955110164,1.8115789890289309,2.3916356563568115,0.5800567269325256,88,-1
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.1,4,0.4908256880733945,0.6990041503118812,0.465310341162099,0.4500222504138946,0.4981438815593719,0.0481216236948967,88,-1
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.1,5,0.4908256880733945,0.6961748102389345,0.2750591998250787,0.5725011825561523,0.634077250957489,0.0615760535001754,88,-1
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.1,6,0.5091743119266054,1.0097160039965165,0.3149619624126154,0.3301845192909241,0.4876281917095184,0.1574436575174331,88,-1
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.1,7,0.4908256880733945,0.6950248665765885,0.5258748287948865,0.295532763004303,0.4987649619579315,0.2032321840524673,88,-1
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.1,8,0.4908256880733945,0.696748034122887,0.5182153396160257,0.3562265038490295,0.378783643245697,0.0225571431219577,88,-1
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.1,9,0.5091743119266054,0.7479425942132233,0.425093500474362,0.3658639788627624,0.4471173286437988,0.0812533497810363,88,-1
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.1,10,0.5091743119266054,0.7621377804957399,0.3867880575059891,0.4233055412769317,0.4454264640808105,0.0221209358423948,88,-1
