,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,1,0.4908256880733945,0.7034384695761794,0.6700091351162303,1.5155747860262636e-05,1.5225307834043633e-05,6.955972509103958e-08,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,2,0.4908256880733945,0.7015851900118206,0.7172023241154172,1.998326843022369e-05,2.4498445782228373e-05,4.515176442509983e-06,88
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,3,0.4908256880733945,0.7016007714315292,0.6774913269687782,1.4160473256197292e-05,1.4166270375426393e-05,5.797126778617212e-09,88
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,4,0.4908256880733945,0.7011020440574086,0.6902077928185462,1.5260280633810908e-05,1.563405203341972e-05,3.7377162698248867e-07,88
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,5,0.4908256880733945,0.7009331239472836,0.6768781450661747,2.3595974198542535e-05,2.364942520216573e-05,5.345120968058836e-08,88
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,6,0.4908256880733945,0.6980183649500575,0.7493495475500822,1.0264226148137823e-05,2.703974132600706e-05,1.6775515177869238e-05,88
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,7,0.4908256880733945,0.6976508416167093,0.6921014640818943,1.1413193533371668e-05,1.177498597826343e-05,3.61792245939796e-07,88
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,8,0.4908256880733945,0.6975520400825991,0.6863732020285996,1.1524875844770577e-05,1.1555907803995069e-05,3.10318775120777e-08,88
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,9,0.4908256880733945,0.6963037400070681,0.7096338620917364,1.3610542737296782e-05,1.877186332421843e-05,5.161320586921647e-06,88
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,10,0.4908256880733945,0.6955548787335737,0.6980520209128207,1.6569008948863484e-05,1.909465754579287e-05,2.5256485969293863e-06,88
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,11,0.4908256880733945,0.6945436700768427,0.7066683723167939,9.10592370928498e-06,1.6008489183150232e-05,6.902565473865252e-06,88
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,12,0.4908256880733945,0.695150235924152,0.6765002569014377,1.0545560144237243e-05,1.3331989066500682e-05,2.7864293770107906e-06,88
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,13,0.4908256880733945,0.694737368220583,0.6877497025511482,2.2591011656913906e-05,2.3793711079633795e-05,1.2026997637804016e-06,88
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,14,0.4908256880733945,0.6943025496027885,0.6917312070727348,1.5211723621177953e-05,1.696937579254154e-05,1.7576523987372639e-06,88
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,15,0.4908256880733945,0.6943228310401287,0.6833964709531177,1.6444877473986708e-05,1.645493284740951e-05,1.0055818400189764e-08,88
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,16,0.4908256880733945,0.6937934750810676,0.6921971022405407,1.5812645870028064e-05,1.9887795133399777e-05,4.0751488086243626e-06,88
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,17,0.4908256880733945,0.6937161930110476,0.6865860872647979,1.4456914868787862e-05,1.4586934412363917e-05,1.3001924514810526e-07,88
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,18,0.4873853211009174,0.6935851431767875,0.6872829776595941,1.577483089931775e-05,1.6234780559898354e-05,4.599502574365033e-07,88
