,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.0001,1,0.4908256880733945,0.7567853722550454,0.6131550418382341,0.0010036120656877,0.001015847781673,1.2235770554980265e-05,88,10
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.0001,2,0.5091743119266054,0.7015933347951382,0.4851627617058429,0.0061948862858116,0.0093023488298058,0.0031074625439941,264,10
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.0001,3,0.5160550458715596,1.0028589438954625,0.45764455888251,0.0052331299521028,0.0082008074969053,0.0029676775448024,880,10
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.0001,4,0.6387614678899083,1.1065776476790323,0.2925284805275838,0.0025123069062829,0.006879277061671,0.0043669701553881,440,10
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.0001,5,0.8337155963302753,0.5478697863979898,0.1531937097125178,0.002781331539154,0.0037689309101551,0.0009875994874164,352,10
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.0001,6,0.6571100917431193,1.100565996012488,0.1355765587666114,0.0036769062280654,0.0055163810029625,0.0018394748913124,528,10
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.0001,7,0.9059633027522936,0.2658259841280246,0.2209290520161052,0.0030646794475615,0.0045941770076751,0.0015294974436983,352,10
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.0001,8,0.9151376146788992,0.2289814224398327,0.1691684576275292,0.004564362578094,0.005491885356605,0.000927522778511,528,10
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.0001,9,0.9220183486238532,0.2405294687786233,0.1325737317859117,0.0043652271851897,0.0049476861022412,0.0005824591498821,528,10
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.0001,10,0.8979357798165137,0.2870442593863251,0.1284062433639491,0.0040600653737783,0.0046116560697555,0.0005515904631465,528,10
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.0001,11,0.9220183486238532,0.2562163060129441,0.1161044319722515,0.004167674575001,0.0047196489758789,0.0005519745755009,528,10
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.0001,12,0.9346330275229358,0.1961939585258449,0.1362026375589299,0.0035943435505032,0.0043124174699187,0.0007180738612078,440,10
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.0001,13,0.9208715596330276,0.2770120351844459,0.0771380447804498,0.0036503234878182,0.0042807161808013,0.0006303926929831,616,10
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.0001,14,0.9220183486238532,0.2486722651108621,0.1118847976127819,0.0027604959905147,0.0030809771269559,0.0003204810200259,352,10
