,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,1,0.4908256880733945,0.7502623326187834,0.6131550418382341,0.0010036120656877,0.001015847781673,1.2235770554980265e-05,88,10
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,2,0.5504587155963303,0.677503986642995,0.4904969069203643,0.0062989694997668,0.0092988684773445,0.0029998992104083,264,10
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,3,0.6490825688073395,0.5916322658368207,0.4591817112451165,0.0053003742359578,0.0071757347323,0.0018753604963421,880,10
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,4,0.8623853211009175,0.3663362686718822,0.3337436357614669,0.0025258520618081,0.0069526904262602,0.0044268383644521,440,10
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,5,0.8555045871559633,0.5552506626438384,0.1503986465181647,0.0028842973988503,0.0037856232374906,0.0009013258968479,440,10
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,6,0.6880733944954128,1.2375572433934436,0.1796525723195042,0.0031410208903253,0.0043070050887763,0.0011659843148663,264,10
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,7,0.8245412844036697,0.4351916715776154,0.2192542272234497,0.0055529070086777,0.0081040048971772,0.0025510978884994,528,10
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,8,0.9105504587155964,0.2306774384897509,0.1759236984481043,0.0051322318613529,0.006939782295376,0.0018075506668537,616,10
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,9,0.9094036697247706,0.2619386910965,0.1317858053455597,0.0043916073627769,0.0055379793047904,0.0011463720584288,616,10
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,10,0.9231651376146788,0.2459875083135423,0.1266117482724605,0.0036260779015719,0.0044517982751131,0.0008257204317487,528,10
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,11,0.8371559633027523,0.513463697265919,0.1198237269196595,0.0033203321509063,0.0038704627659171,0.0005501307314261,440,10
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,12,0.8761467889908257,0.4185278193337347,0.1344901641880145,0.003635517321527,0.0047668814659118,0.0011313641443848,440,10
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,13,0.9139908256880734,0.2792909889163689,0.074067702886721,0.0037862309254705,0.0043719909153878,0.0005857599899172,616,10
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,14,0.9403669724770642,0.2238880131028404,0.0983619696637139,0.0033340947702527,0.0039342981763184,0.000600203522481,440,10
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,15,0.9311926605504588,0.2367779828016347,0.0883336822997741,0.0038565665017813,0.0044663329608738,0.0006097664590924,528,10
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,16,0.9288990825688074,0.2222001825463573,0.0844142038664413,0.0034571273718029,0.0042650843970477,0.0008079570252448,528,10
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,17,0.9288990825688074,0.2453297840777374,0.1001900000705063,0.0029073171317577,0.0033950358629226,0.0004877186729572,440,10
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,18,0.9128440366972476,0.2878110228104243,0.0885294313428665,0.0035054022446274,0.0040096971206367,0.0005042949342168,528,10
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,19,0.9208715596330276,0.2776973665891634,0.0967540707345919,0.0031662210822105,0.0037428219802677,0.0005766009562648,528,10
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,20,0.9346330275229358,0.2671671352539331,0.0775815752429094,0.0028953661676496,0.003246133448556,0.0003507672518026,528,10
20,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,21,0.9323394495412844,0.2521990398655286,0.0721314661117404,0.0024340238887816,0.0027485645841807,0.0003145407536067,440,10
21,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,22,0.9288990825688074,0.2571440888387193,0.0702442564752941,0.0026469135191291,0.0030568772926926,0.0004099638026673,440,10
22,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,23,0.93348623853211,0.2660310808027167,0.0587947472052016,0.0026463842950761,0.0030492655932903,0.0004028813564218,528,10
23,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,24,0.9403669724770642,0.2762178176305889,0.0462008839075872,0.0024520277511328,0.0027794216293841,0.0003273939073551,528,10
24,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,25,0.9426605504587156,0.2626543412774848,0.049774635407944,0.0021485770121216,0.0025377452839165,0.0003891682717949,352,10
25,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,26,0.93348623853211,0.2796592209092982,0.0572262851226586,0.002907503163442,0.0033789109438657,0.0004714078095275,528,10
26,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,27,0.9174311926605504,0.3079397917031994,0.0759184023007632,0.0026713467668741,0.0031017113942652,0.0004303645400796,440,10
27,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,28,0.8944954128440367,0.3730292597699081,0.044624514541276,0.0028959279879927,0.0032673352397978,0.0003714071644935,616,10
28,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,29,0.9094036697247706,0.3278999465865878,0.0465491952437939,0.0022653508931398,0.0027315646875649,0.0004662136780098,528,10
29,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,30,0.9197247706422018,0.3060869201633293,0.0601616735543774,0.0019839673768728,0.0022516921162605,0.0002677247684914,440,10
30,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.0001,31,0.9231651376146788,0.300376823655257,0.0367895155843694,0.0020343186333775,0.0022749118506908,0.000240593260969,528,10
