,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,1,0.4908256880733945,0.750262629548344,0.6131550418382341,0.0010036120656877,0.001015847781673,1.2235770554980265e-05,88,10
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,2,0.5504587155963303,0.6775041632696029,0.4904963537853098,0.0062989629805088,0.0092988731339573,0.0029999099206179,264,10
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,3,0.6490825688073395,0.5916336534220145,0.4591813826160928,0.0053003262728452,0.007175724953413,0.001875398796983,880,10
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,4,0.8623853211009175,0.3663342057154813,0.3337418920673768,0.0025258315727114,0.0069526932202279,0.0044268616475164,440,10
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,5,0.8555045871559633,0.5554918491648971,0.1504244948421943,0.0028962220530956,0.0038011751603335,0.0009049531654454,440,10
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,6,0.698394495412844,1.1785799302075295,0.1772581420517808,0.0030531317461282,0.0042329891584813,0.0011798574123531,264,10
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,7,0.8371559633027523,0.400764969630389,0.2147250402853718,0.0057728113606572,0.0083364835008978,0.0025636721402406,528,10
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,8,0.908256880733945,0.232690021669099,0.1742636406604448,0.0053188726305961,0.0070325755514204,0.0017137031536549,616,10
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,9,0.9128440366972476,0.2564007661202837,0.1320675204271396,0.004496828187257,0.0056316219270229,0.0011347936233505,616,10
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,10,0.9231651376146788,0.2491570928885917,0.1263420017790243,0.003626647638157,0.0044561275281012,0.0008294798899441,528,10
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,11,0.8371559633027523,0.5134877055689026,0.1195244640053715,0.0032719923183321,0.0037981197237968,0.0005261272890493,440,10
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,12,0.8784403669724771,0.3992784209250378,0.1333386783965133,0.0036398540250957,0.0047160568647086,0.0010762029560282,440,10
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,13,0.9185779816513762,0.2649842504499514,0.073874502893329,0.0037777975667268,0.0043319035321474,0.0005541060236282,616,10
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,14,0.9369266055045872,0.2172271466318415,0.1030447793418716,0.0026811531279236,0.0031284231226891,0.0004472699365578,352,10
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,15,0.9311926605504588,0.2280967480283008,0.0879632957396427,0.0035163261927664,0.0040847635827958,0.0005684373900294,528,10
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,16,0.93348623853211,0.224646937019841,0.085403333056842,0.0033230299595743,0.0041183116845786,0.0007952817832119,528,10
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,17,0.9185779816513762,0.2768807974179412,0.0995239181556099,0.0028172307647764,0.0032450333237648,0.0004278026171959,440,10
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,18,0.904816513761468,0.3401521863319715,0.0887930460884021,0.0034964652732014,0.0039634453132748,0.0004669801564887,528,10
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,19,0.9174311926605504,0.2905836360210792,0.0994465531395469,0.0034459785092622,0.0041463235393166,0.0007003449718467,528,10
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,20,0.9323394495412844,0.247738532606115,0.076944046644307,0.0029560881666839,0.0033415083307772,0.0003854201349895,528,10
20,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,21,0.93348623853211,0.2326838006601891,0.0694181002327158,0.0028459038585424,0.0032214820384979,0.0003755780926439,528,10
21,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,22,0.9311926605504588,0.2469791092978226,0.0703489989177879,0.0025642744731158,0.0029938514344394,0.0004295769322197,440,10
22,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,23,0.9357798165137616,0.2676146552212314,0.0569449003241502,0.0027344452682882,0.0031344320159405,0.0003999868058599,528,10
23,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,24,0.9380733944954128,0.2839890428294893,0.0462602704886277,0.0024962145835161,0.0028211211320012,0.0003249066066928,528,10
