,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.0001,1,0.4908256880733945,0.705612155822439,0.6131550418382341,0.0010036120656877,0.001015847781673,1.2235770554980265e-05,88,10
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.0001,2,0.5091743119266054,0.6956495719218473,0.5138174788179722,0.0062172678299248,0.007762424647808,0.0015451567014679,264,10
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.0001,3,0.5091743119266054,0.6994546208906611,0.4947212050264619,0.0087313307449221,0.0105880508199334,0.0018567200750112,880,10
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.0001,4,0.5688073394495413,0.689781229977214,0.4998777320894243,0.0048550507053732,0.0054377284832298,0.0005826778360642,352,10
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.0001,5,0.4908256880733945,0.7078871497320472,0.3583279359930506,0.0066713728010654,0.007003276143223,0.0003319032839499,264,10
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.0001,6,0.5091743119266054,1.019947060477843,0.3315120277663862,0.0045902989804744,0.0131006566807627,0.0085103577002882,880,10
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.0001,7,0.5263761467889908,0.7387817221087053,0.4603711734324777,0.0023920433595776,0.0065117515623569,0.0041197082027792,352,10
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.0001,8,0.875,0.3376995165482027,0.3050265119965611,0.003193886950612,0.0091102151200175,0.0059163281694054,440,10
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.0001,9,0.8990825688073395,0.3342131454275425,0.2269051988352492,0.0041712112724781,0.0054673599079251,0.001296148635447,352,10
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.0001,10,0.8268348623853211,0.4744539150173579,0.1991078155026171,0.0060011865571141,0.0077787558548152,0.0017775695305317,528,10
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.0001,11,0.7855504587155964,0.5308021363469029,0.1906822394711939,0.0055378880351781,0.0070478352718055,0.0015099470037966,528,10
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,0.9,1.0,SGD,0.0001,12,0.911697247706422,0.2302497179683195,0.1804664105575497,0.0055895131081342,0.007424181792885,0.0018346689175814,616,10
