,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,1,0.4908256880733945,0.7112812120980079,0.4763949740667489,0.0122853051871061,0.0134881576523184,0.0012028521159663,88,10
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,2,0.5114678899082569,0.6863757571496001,0.2936669164345963,0.0622265040874481,0.0958267450332641,0.033600240945816,792,10
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,3,0.8922018348623854,0.3206793335052805,0.338224426220404,0.0443281419575214,0.0603692904114723,0.0160411484539508,176,10
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,4,0.9002293577981652,0.2547587268738024,0.2599003293940967,0.1333219707012176,0.1708330363035202,0.0375110656023025,440,10
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,5,0.8956422018348624,0.2666179625949728,0.1188808385049357,0.1415151953697204,0.1654799431562423,0.0239647552371025,616,10
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,6,0.8268348623853211,0.5308867117407126,0.1462488856421921,0.1185656711459159,0.1366864293813705,0.0181207600980997,440,10
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,7,0.9151376146788992,0.2145560098760718,0.2684469717718788,0.1230301707983017,0.1423731595277786,0.019342990592122,264,10
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,8,0.9288990825688074,0.2180722781858586,0.1857089941873159,0.2077075242996215,0.2401181310415268,0.0324105992913246,528,10
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,9,0.9231651376146788,0.2521697560414979,0.1409405309893896,0.189464658498764,0.2154995054006576,0.0260348506271839,528,10
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,10,0.9071100917431192,0.3155142875524973,0.1285101864272402,0.16665118932724,0.189131960272789,0.0224807746708393,528,10
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,True,1.0,,SGD,1.0,SGD,0.001,11,0.9071100917431192,0.3106885697658456,0.136159872416346,0.1613583415746688,0.1812888830900192,0.0199305452406406,440,10
