,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,1,0.4908256880733945,0.750262629548344,0.6131550418382341,0.0010036120656877756,0.0010158477816730738,1.2235770554980263e-05,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,2,0.6811926605504587,0.6525730474279561,0.3589905660349003,0.013494858518242836,0.02076454646885395,0.007269688416272402,1320
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,3,0.6697247706422018,0.6121695842081254,0.3223643196021445,0.01152317225933075,0.030437326058745384,0.018914153799414635,1496
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,4,0.8910550458715596,0.386653624500635,0.19632308853016617,0.009199375286698341,0.016115467995405197,0.0069160922430455685,968
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,5,0.911697247706422,0.37727678064983167,0.09328518944927386,0.011748719960451126,0.013810436241328716,0.0020617160480469465,1408
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,6,0.911697247706422,0.38021766493489983,0.11618757567137969,0.01075242180377245,0.013507264666259289,0.0027548426296561956,792
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,7,0.9277522935779816,0.2606628279398204,0.14812489186022415,0.017605479806661606,0.02118663862347603,0.0035811583511531353,1144
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,8,0.926605504587156,0.225346993221346,0.10726457265916003,0.01948772743344307,0.02279706671833992,0.0033093392848968506,1496
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,9,0.9288990825688074,0.22076630748278642,0.08050237585154132,0.016369270160794258,0.01874212920665741,0.002372858813032508,1584
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,10,0.9243119266055045,0.27381969857085153,0.08172837726612911,0.013568472117185593,0.015779534354805946,0.00221106200478971,1408
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,11,0.8807339449541285,0.47564427686829563,0.06770960902258978,0.01219703909009695,0.013960273936390877,0.001763234962709248,1320
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,12,0.9013761467889908,0.45830708208767307,0.07317527562123809,0.01156851090490818,0.013875111937522888,0.0023066014982759953,1232
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,13,0.9185779816513762,0.39776720899667745,0.038250593187498114,0.011796423234045506,0.013330275192856789,0.0015338518423959613,1760
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,14,0.9243119266055045,0.3438850708061257,0.06138208818260947,0.00890252273529768,0.010242491960525513,0.0013399688759818673,880
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,15,0.9357798165137615,0.31109099635195386,0.03592568521955649,0.013105041347444057,0.014813999645411968,0.001708958181552589,1760
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,16,0.9346330275229358,0.29350637476020836,0.04764649298297144,0.009660263545811176,0.011106087826192379,0.0014458246296271682,1232
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,17,0.930045871559633,0.2758460981769214,0.05303802459463099,0.010091600939631462,0.011396105401217937,0.0013045048108324409,1232
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,18,0.926605504587156,0.27172577682532234,0.049189337819434624,0.010483630932867527,0.011715085245668888,0.001231454312801361,1232
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,19,0.9311926605504587,0.26703849460592133,0.05089784930858884,0.010985803790390491,0.012534297071397305,0.0015484933974221349,1408
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,20,0.9334862385321101,0.27796439815728086,0.036372358812815996,0.010087819769978523,0.011347508989274502,0.0012596893357113004,1672
20,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,21,0.9357798165137615,0.29762453244493875,0.03294867054508139,0.007694621104747057,0.008653911761939526,0.0009592906571924686,1320
21,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,22,0.9380733944954128,0.32705013832937685,0.030993192694168326,0.007552559021860361,0.008511913008987904,0.0009593538125045598,1232
22,roberta-base,glue,sst2,2,100,10,1.0,8,1,28,200,True,0.0,,Adam,0.0001,SGD,0.0001,23,0.9392201834862385,0.34692217565743455,0.024031453170045382,0.007649917155504227,0.008670983836054802,0.0010210666805505753,1408
