,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,1,0.4908256880733945,0.7502623326187834,0.6131550418382341,0.0010036120656877756,0.0010158477816730738,1.2235770554980263e-05,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,2,0.7591743119266054,0.6086858500034438,0.3247285528225746,0.01893310621380806,0.031526535749435425,0.01259343046694994,2992
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,3,0.7844036697247706,0.5337822596892852,0.27283296063905216,0.010310500860214233,0.026370501145720482,0.01606000028550625,1232
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,4,0.8956422018348624,0.4200544542667174,0.16637353962661255,0.014781388454139233,0.021383011713624,0.006601623259484768,1320
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,5,0.9128440366972477,0.4281376096603691,0.08226182805210926,0.01887405291199684,0.022224316373467445,0.0033502636943012476,2024
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,6,0.9139908256880734,0.3833349283086136,0.10825692893531405,0.015915319323539734,0.019366182386875153,0.0034508639946579933,1144
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,7,0.9288990825688074,0.25569981883852444,0.1407180772954729,0.023440290242433548,0.02815808728337288,0.004717797040939331,1408
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,8,0.9311926605504587,0.22075090674392947,0.08826922021543236,0.02890247292816639,0.03419724106788635,0.00529476860538125,2200
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,9,0.9311926605504587,0.23516759573302548,0.07054009778926244,0.022643353790044785,0.026216892525553703,0.0035735396668314934,2024
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,10,0.926605504587156,0.2909652342124834,0.06647051263024586,0.019007638096809387,0.021842701360583305,0.002835062798112631,1936
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,11,0.9139908256880734,0.3923041648909646,0.054319378577211794,0.01628664880990982,0.01846255175769329,0.0021759027149528265,1760
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,12,0.9162844036697247,0.37416867903858814,0.05988562154711673,0.015732334926724434,0.01811201497912407,0.0023796793539077044,1672
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,13,0.9288990825688074,0.35699358652933255,0.031111426397766578,0.01577695831656456,0.01772555150091648,0.0019485936500132084,2464
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,14,0.9311926605504587,0.32324407873632505,0.05548311045981378,0.01060729194432497,0.012204012833535671,0.0015967206563800573,1056
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,15,0.9323394495412844,0.2938544154832024,0.025730593967105732,0.01705663837492466,0.019509797915816307,0.0024531602393835783,2640
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,16,0.926605504587156,0.290572987066223,0.042592596629985616,0.010795343667268753,0.012245012447237968,0.0014496688963845372,1408
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,17,0.9323394495412844,0.2856903656841354,0.046180259761055956,0.013088095933198929,0.014740156941115856,0.0016520610079169273,1672
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,18,0.9346330275229358,0.2965290024211746,0.039840585552348304,0.013042183592915535,0.014699572697281837,0.0016573895700275898,1672
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,19,0.9369266055045872,0.3078285704265133,0.04668487090408887,0.013035424053668976,0.014762813225388527,0.0017273889388889074,1584
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,38,200,True,0.0,,AdamW,0.0001,SGD,0.0001,20,0.9403669724770642,0.3178363770734195,0.030458030459237784,0.013932138681411743,0.015565931797027588,0.001633792999200523,2112
